got_type,name,node_type,status,url
Religious cult; Assassin guild,Faceless Men,Organization,Active,Faceless_Men
Polytheistic; Animistic; Henotheistic,Old Gods of the Forest,Organization,,Old_Gods_of_the_Forest
Ditheism,"R'hllor, the Lord of Light",Organization,,R%27hllor
Monolatristic,Drowned God,Organization,,Drowned_God
Spear infantry,Unsullied,Organization,Active,Unsullied
Monotheism  (seven aspects of one god),Faith of the Seven,Organization,,Faith_of_the_Seven
Outlaw brotherhood; Resistance group,Brotherhood Without Banners,Organization,Active,Brotherhood_Without_Banners
Financial institution,Iron Bank of Braavos,Organization,Active,Iron_Bank_of_Braavos
Sworn brotherhood; Royal guard,The Kingsguard,Organization,Active,Kingsguard
,Qyburn,Person,Alive,Qyburn
Scholastic order,Order of Maesters,Organization,Active,Maesters
Initiatic order,Warlocks,Organization,Active,Warlocks
,Luwin,Person,Deceased,Luwin
Privy council; Royal advisory body,Small council,Organization,Active,Small_Council
Sworn brotherhood; Military order,The Night's Watch,Organization,Active,Night%27s_Watch
,Wolkan,Person,Alive,Wolkan
,Bear Island maester,Person,Alive,Bear_Island_maester
,Cressen,Person,Deceased,Cressen
Law enforcement; City guard,City Watch,Organization,Active,City_Watch_of_King%27s_Landing
,Sack of Highgarden,Event,,Sack_of_Highgarden
,Margaery Tyrell,Person,Deceased,Margaery_Tyrell
,Daenerys Targaryen's invasion of Westeros,Event,,Daenerys_Targaryen%27s_invasion_of_Westeros
,Battle of Ironrath,Event,,Battle_of_Ironrath
,Volarik,Person,Uncertain,Volarik
,Vaull,Person,Deceased,Vaull
,The Old Gods and the New,Episode,,The_Old_Gods_and_the_New
,Captured wight,Person,Deceased,Captured_wight
,Balerion,Animal,Deceased,Balerion
Stable for dragons,Dragonpit,Location,Destroyed,Dragonpit
,Battle of the Goldroad,Event,,Battle_of_the_Goldroad
,Northern Allegiances to House Stark,HistoriesNLore,,Northern_Allegiances_to_House_Stark
Sellsword company,Golden Company,Organization,Active,Golden_Company
,Tyene Sand,Person,Deceased,Tyene_Sand
,The North,HistoriesNLore,,The_North_(Histories_%26_Lore)
,Citadel maester,Person,Alive,Citadel_maester_(The_Winds_of_Winter)
,The Maester's Chain,HistoriesNLore,,The_Maester%27s_Chain
,Brandon Stark,Person,Deceased,Brandon_Stark_(son_of_Rickard)
,Abandonment of Dragonstone,Event,,Abandonment_of_Dragonstone
