Source,Label,Target,Source_Node_Type,Target_Node_Type,Relation
Faceless_Men,Season(s),Season_2,Organization,Season,SeenOrMentioned
Faceless_Men,Season(s),Season_5,Organization,Season,SeenOrMentioned
Faceless_Men,Season(s),Season_6,Organization,Season,SeenOrMentioned
Faceless_Men,Mentioned in,Valar_Morghulis,Organization,Episode,SeenOrMentioned
Faceless_Men,Notable Members,Jaqen_H%27ghar,Organization,Person,Membership
Faceless_Men,Notable Members,Waif,Organization,Person,Membership
Faceless_Men,Former Members,Arya_Stark,Organization,Person,Membership
Faceless_Men,Religion,Many-Faced_God,Organization,Religion,Religion
Faceless_Men,Center,House_of_Black_and_White,Organization,House,Center
Faceless_Men,Center,Braavos,Organization,Location,Center
Old_Gods_of_the_Forest,Location,The_North,Organization,Location,Location
Old_Gods_of_the_Forest,Location,Beyond_the_Wall,Organization,Location,Location
R%27hllor,Location,Free_Cities,Organization,Location,Location
R%27hllor,Location,Asshai,Organization,Location,Location
R%27hllor,Location,Dragonstone_(castle),Organization,Location,Location
R%27hllor,Location,Hollow_Hill,Organization,Location,Location
R%27hllor,Location,Myr,Organization,Location,Location
R%27hllor,Location,Volantis,Organization,Location,Location
R%27hllor,Notable Members,Melisandre,Organization,Person,Membership
R%27hllor,Notable Members,Kinvara,Organization,Person,Membership
R%27hllor,Notable Members,Zanrush,Organization,Person,Membership
R%27hllor,Former Members,Thoros,Organization,Person,Membership
Drowned_God,Clergy,Drowned_Men,Organization,Organization,Clergy
Drowned_God,Location,Braavos,Organization,Location,Location
Drowned_God,Location,Many-Faced_God,Organization,Religion,Location
Drowned_God,Location,King%27s_Landing,Organization,Location,Location
Drowned_God,Notable Members,Aeron_Greyjoy,Organization,Person,Membership
Drowned_God,Notable Members,Drowned_Priest,Organization,Person,Membership
Drowned_God,Former Members,Lodos,Organization,Person,Membership
Unsullied,Season(s),Season_1,Organization,Season,SeenOrMentioned
Unsullied,Season(s),Season_3,Organization,Season,SeenOrMentioned
Unsullied,Season(s),Season_4,Organization,Season,SeenOrMentioned
Unsullied,Season(s),Season_5,Organization,Season,SeenOrMentioned
Unsullied,Season(s),Season_6,Organization,Season,SeenOrMentioned
Unsullied,Season(s),Season_7,Organization,Season,SeenOrMentioned
Unsullied,Mentioned in,The_Broken_Man,Organization,Episode,SeenOrMentioned
Unsullied,Allegiance,House_Targaryen,Organization,House,Allegiance
Unsullied,Allegiance,Good_Masters,Organization,Organization,Allegiance
Unsullied,Leader,Grey_Worm,Organization,Person,Leader
Unsullied,Former Members,White_Rat,Organization,Person,Membership
Unsullied,Founder,Good_Masters,Organization,Organization,Founder
Faith_of_the_Seven,Location,Seven_Kingdoms,Organization,Location,Location
Faith_of_the_Seven,Center,Starry_Sept,Organization,Location,Center
Faith_of_the_Seven,Center,Great_Sept_of_Baelor,Organization,Location,Center
Faith_of_the_Seven,Center,King%27s_Landing,Organization,Location,Center
Brotherhood_Without_Banners,Season(s),Season_2,Organization,Season,SeenOrMentioned
Brotherhood_Without_Banners,Season(s),Season_3,Organization,Season,SeenOrMentioned
Brotherhood_Without_Banners,Season(s),Season_6,Organization,Season,SeenOrMentioned
Brotherhood_Without_Banners,Season(s),Season_7,Organization,Season,SeenOrMentioned
Brotherhood_Without_Banners,Mentioned in,Garden_of_Bones,Organization,Episode,SeenOrMentioned
Brotherhood_Without_Banners,Mentioned in,A_Man_Without_Honor,Organization,Episode,SeenOrMentioned
Brotherhood_Without_Banners,Mentioned in,Blood_of_My_Blood,Organization,Episode,SeenOrMentioned
Brotherhood_Without_Banners,Allegiance,R%27hllor,Organization,Organization,Allegiance
Brotherhood_Without_Banners,Leader,Beric_Dondarrion,Organization,Person,Leader
Brotherhood_Without_Banners,Notable Members,Anguy,Organization,Person,Membership
Brotherhood_Without_Banners,Notable Members,Sandor_Clegane,Organization,Person,Membership
Brotherhood_Without_Banners,Former Members,Lem,Organization,Person,Membership
Brotherhood_Without_Banners,Former Members,Gatins,Organization,Person,Membership
Brotherhood_Without_Banners,Former Members,Morgan,Organization,Person,Membership
Brotherhood_Without_Banners,Former Members,Steve,Organization,Person,Membership
Brotherhood_Without_Banners,Former Members,Riddell,Organization,Person,Membership
Brotherhood_Without_Banners,Former Members,Thoros,Organization,Person,Membership
Brotherhood_Without_Banners,Center,Hollow_Hill,Organization,Location,Center
Brotherhood_Without_Banners,Center,The_Riverlands,Organization,Location,Center
Brotherhood_Without_Banners,Founder,Eddard_Stark,Organization,Person,Founder
Iron_Bank_of_Braavos,Season(s),Season_3,Organization,Season,SeenOrMentioned
Iron_Bank_of_Braavos,Season(s),Season_4,Organization,Season,SeenOrMentioned
Iron_Bank_of_Braavos,Season(s),Season_5,Organization,Season,SeenOrMentioned
Iron_Bank_of_Braavos,Season(s),Season_7,Organization,Season,SeenOrMentioned
Iron_Bank_of_Braavos,Appeared in,The_Laws_of_Gods_and_Men,Organization,Episode,SeenOrMentioned
Iron_Bank_of_Braavos,Mentioned in,Walk_of_Punishment,Organization,Episode,SeenOrMentioned
Iron_Bank_of_Braavos,Mentioned in,The_Lion_and_the_Rose,Organization,Episode,SeenOrMentioned
Iron_Bank_of_Braavos,Mentioned in,First_of_His_Name,Organization,Episode,SeenOrMentioned
Iron_Bank_of_Braavos,Notable Members,Tycho_Nestoris,Organization,Person,Membership
Iron_Bank_of_Braavos,Center,Braavos,Organization,Location,Center
Iron_Bank_of_Braavos,Center,Free_Cities,Organization,Location,Center
Kingsguard,Season(s),Season_1,Organization,Season,SeenOrMentioned
Kingsguard,Season(s),Season_2,Organization,Season,SeenOrMentioned
Kingsguard,Season(s),Season_3,Organization,Season,SeenOrMentioned
Kingsguard,Season(s),Season_4,Organization,Season,SeenOrMentioned
Kingsguard,Season(s),Season_5,Organization,Season,SeenOrMentioned
Kingsguard,Season(s),Season_6,Organization,Season,SeenOrMentioned
Kingsguard,Season(s),Season_7,Organization,Season,SeenOrMentioned
Kingsguard,Allegiance,Cersei_Lannister,Organization,Person,Allegiance
Kingsguard,Notable Members,Boros_Blount,Organization,Person,Membership
Kingsguard,Notable Members,Preston_Greenfield,Organization,Person,Membership
Kingsguard,Notable Members,Arys_Oakheart,Organization,Person,Membership
Kingsguard,Notable Members,Balon_Swann,Organization,Person,Membership
Kingsguard,Notable Members,Osmund_Kettleblack,Organization,Person,Membership
Kingsguard,Notable Members,Gregor_Clegane,Organization,Person,Membership
Kingsguard,Former Members,Barristan_Selmy,Organization,Person,Membership
Kingsguard,Former Members,Jaime_Lannister,Organization,Person,Membership
Kingsguard,Former Members,Sandor_Clegane,Organization,Person,Membership
Kingsguard,Former Members,Mandon_Moore,Organization,Person,Membership
Kingsguard,Former Members,Meryn_Trant,Organization,Person,Membership
Kingsguard,Former Members,Arthur_Dayne,Organization,Person,Membership
Kingsguard,Former Members,Gerold_Hightower,Organization,Person,Membership
Kingsguard,Center,White_Sword_Tower,Organization,Location,Center
Kingsguard,Center,Red_Keep,Organization,Location,Center
Kingsguard,Center,King%27s_Landing,Organization,Location,Center
Kingsguard,Founder,Aegon_I_Targaryen,Organization,Person,Founder
Kingsguard,Founder,Visenya_Targaryen,Organization,Person,Founder
Qyburn,Season(s),Season_3,Person,Season,SeenOrMentioned
Qyburn,Season(s),Season_4,Person,Season,SeenOrMentioned
Qyburn,Season(s),Season_5,Person,Season,SeenOrMentioned
Qyburn,Season(s),Season_6,Person,Season,SeenOrMentioned
Qyburn,Season(s),Season_7,Person,Season,SeenOrMentioned
Qyburn,Season(s),Season_8,Person,Season,SeenOrMentioned
Qyburn,First seen,Valar_Dohaeris,Person,Episode,SeenOrMentioned
Qyburn,Allegiance,House_Lannister,Person,House,Allegiance
Qyburn,Allegiance,House_Baratheon_of_King%27s_Landing,Person,House,Allegiance
Qyburn,Allegiance,House_Bolton,Person,House,Allegiance
Qyburn,Allegiance,Maesters,Person,Organization,Allegiance
Qyburn,Predecessor,Varys,Person,Person,Predecessor
Qyburn,Predecessor,Kevan_Lannister,Person,Person,Predecessor
Maesters,Season(s),Season_1,Organization,Season,SeenOrMentioned
Maesters,Season(s),Season_2,Organization,Season,SeenOrMentioned
Maesters,Season(s),Season_3,Organization,Season,SeenOrMentioned
Maesters,Season(s),Season_4,Organization,Season,SeenOrMentioned
Maesters,Season(s),Season_5,Organization,Season,SeenOrMentioned
Maesters,Season(s),Season_6,Organization,Season,SeenOrMentioned
Maesters,Season(s),Season_7,Organization,Season,SeenOrMentioned
Maesters,Leader,Conclave,Organization,Organization,Leader
Maesters,Notable Members,Wolkan,Organization,Person,Membership
Maesters,Notable Members,Bear_Island_maester,Organization,Person,Membership
Maesters,Notable Members,Helliweg,Organization,Person,Membership
Maesters,Notable Members,Ebrose,Organization,Person,Membership
Maesters,Former Members,Qyburn,Organization,Person,Membership
Maesters,Former Members,Aemon,Organization,Person,Membership
Maesters,Former Members,Cressen,Organization,Person,Membership
Maesters,Former Members,Luwin,Organization,Person,Membership
Maesters,Former Members,Ortengryn,Organization,Person,Membership
Maesters,Former Members,Caleotte,Organization,Person,Membership
Maesters,Former Members,Ch%27Vyalthan,Organization,Person,Membership
