Source,Target,Relation,Label
Nagga,Sea_dragons,Species,Species
Bastard%27s_girls,Dogs,Species,Species
The_red,Horses,Species,Species
Blood_(horse),Horses,Species,Species
Shadow_(snow_bear),Snow_bears,Species,Species
The_silver,Horses,Species,Species
Stormcloud,Dragons,Species,Species
Seasmoke,Dragons,Species,Species
Sunfyre,Dragons,Species,Species
Caraxes,Dragons,Species,Species
Sheepstealer,Dragons,Species,Species
Silverwing,Dragons,Species,Species
Vermithor,Dragons,Species,Species
Syrax,Dragons,Species,Species
Tyraxes,Dragons,Species,Species
Morghul,Dragons,Species,Species
Shrykos,Dragons,Species,Species
Dreamfyre,Dragons,Species,Species
Dancer,Horses,Species,Species
Ser_Pounce,Cats,Species,Species
Stranger,Horses,Species,Species
