Source,Target,Relation,Label
Grey_Wind,Red_Wedding,Death,Death
Vermax,Battle_of_the_Gullet,Death,Death
Caraxes,Battle_Above_the_Gods_Eye,Death,Death
Meleys,Siege_of_Rook%27s_Rest,Death,Death
Vhagar,Battle_Above_the_Gods_Eye,Death,Death
Meraxes,First_Dornish_War,Death,Death
Syrax,Storming_of_the_Dragonpit,Death,Death
Tyraxes,Storming_of_the_Dragonpit,Death,Death
Morghul,Storming_of_the_Dragonpit,Death,Death
Shrykos,Storming_of_the_Dragonpit,Death,Death
Dreamfyre,Storming_of_the_Dragonpit,Death,Death
Dancer,Sack_of_Winterfell,Death,Death
Viserion,Wight_Hunt,Death,Death
