Source,Target,Relation,Label
Seasmoke,House_Targaryen,Allegiance,Allegiance
Last_dragon,House_Targaryen,Allegiance,Allegiance
Vermithrax,House_Targaryen,Allegiance,Allegiance
Valryon,House_Targaryen,Allegiance,Allegiance
Ghiscar_(dragon),House_Targaryen,Allegiance,Allegiance
Syrax,House_Targaryen,Allegiance,Allegiance
Tyraxes,House_Targaryen,Allegiance,Allegiance
Morghul,House_Targaryen,Allegiance,Allegiance
Shrykos,House_Targaryen,Allegiance,Allegiance
Dreamfyre,House_Targaryen,Allegiance,Allegiance
Essovius,House_Targaryen,Allegiance,Allegiance
Archonei,House_Targaryen,Allegiance,Allegiance
