Source,Target,Relation,Label
Zorses,Yi_Ti,AssociatedLocation,Origin
Last_dragon,King%27s_Landing,AssociatedLocation,Origin
Vermithrax,King%27s_Landing,AssociatedLocation,Origin
Valryon,King%27s_Landing,AssociatedLocation,Origin
Ghiscar_(dragon),King%27s_Landing,AssociatedLocation,Origin
Syrax,King%27s_Landing,AssociatedLocation,Origin
Tyraxes,King%27s_Landing,AssociatedLocation,Origin
Morghul,King%27s_Landing,AssociatedLocation,Origin
Shrykos,King%27s_Landing,AssociatedLocation,Origin
Dreamfyre,King%27s_Landing,AssociatedLocation,Origin
Essovius,King%27s_Landing,AssociatedLocation,Origin
Archonei,King%27s_Landing,AssociatedLocation,Origin
Ghost,The_North,AssociatedLocation,Origin
Manticores,Mantarys,AssociatedLocation,Origin
Rhaegal,Lhazar,AssociatedLocation,Origin
Viserion,Lhazar,AssociatedLocation,Origin
Drogon,Lhazar,AssociatedLocation,Origin
Dragons,Fourteen_Fires,AssociatedLocation,Origin
Dragons,Valyrian_Peninsula,AssociatedLocation,Origin
Dragons,Asshai,AssociatedLocation,Origin
