Source,Target,Relation,Label
Grey_Wind,The_Twins,Death,Death
The_red,Lhazar,Death,Death
Lady,Inn_at_the_Crossroads,Death,Death
The_silver,Red_Waste,Death,Death
Stormcloud,Dragonstone_(island),Death,Death
Stormcloud,Kingdom_of_the_Three_Daughters,Death,Death
Arrax,Storm%27s_End,Death,Death
Vermax,Gullet,Death,Death
Vermax,Kingdom_of_the_Three_Daughters,Death,Death
Meleys,Rook%27s_Rest,Death,Death
Meraxes,Hellholt,Death,Death
Syrax,King%27s_Landing,Death,Death
Tyraxes,King%27s_Landing,Death,Death
Morghul,King%27s_Landing,Death,Death
Shrykos,King%27s_Landing,Death,Death
Dreamfyre,King%27s_Landing,Death,Death
Dreamfyre,Dragonpit,Death,Death
Shaggydog,Last_Hearth,Death,Death
Summer,Cave_of_the_Three-Eyed_Raven,Death,Death
Viserion,Beyond_the_Wall,Death,Death
