Source,Target,Relation,Label
Dwarf_elephants,Volantis,Range,Range
Lizard-lions,The_Neck,Range,Range
Basilisks,Yi_Ti,Range,Range
Shadowcats,Beyond_the_Wall,Range,Range
Shadowcats,The_Vale_of_Arryn,Range,Range
Lions,The_Westerlands,Range,Range
Lions,Dothraki_Sea,Range,Range
Snow_bears,Beyond_the_Wall,Range,Range
Ravens,Beyond_the_Wall,Range,Range
Mammoths,Beyond_the_Wall,Range,Range
Direwolves,Beyond_the_Wall,Range,Range
Direwolves,The_North,Range,Range
Direwolves,The_Riverlands,Range,Range
Dragons,Slaver%27s_Bay,Range,Range
Dragons,Valyrian_Freehold,Range,Range
