Source,Target,Relation,Label
Balerion,Aegon_I_Targaryen,Allegiance,Allegiance
Balerion,Viserys_I_Targaryen,Allegiance,Allegiance
Grey_Wind,Robb_Stark,Allegiance,Allegiance
Bastard%27s_girls,Ramsay_Bolton,Allegiance,Allegiance
The_red,Drogo,Allegiance,Allegiance
Blood_(horse),Ramsay_Bolton,Allegiance,Allegiance
Nymeria_(direwolf),Arya_Stark,Allegiance,Allegiance
Lady,Sansa_Stark,Allegiance,Allegiance
Shadow_(snow_bear),Josera_Snow,Allegiance,Allegiance
The_silver,Daenerys_Targaryen,Allegiance,Allegiance
Stormcloud,Aegon_III_Targaryen,Allegiance,Allegiance
Arrax,Lucerys_Velaryon,Allegiance,Allegiance
Vermax,Jacaerys_Velaryon,Allegiance,Allegiance
Sunfyre,Aegon_II_Targaryen,Allegiance,Allegiance
Caraxes,Daemon_Targaryen,Allegiance,Allegiance
Sheepstealer,Nettles,Allegiance,Allegiance
Meleys,Rhaenys_Targaryen_(Queen_Who_Never_Was),Allegiance,Allegiance
Silverwing,Alysanne_Targaryen,Allegiance,Allegiance
Silverwing,Ulf_the_White,Allegiance,Allegiance
Vermithor,Jaehaerys_I_Targaryen,Allegiance,Allegiance
Vermithor,Hugh_Hammer,Allegiance,Allegiance
Vhagar,Visenya_Targaryen,Allegiance,Allegiance
Vhagar,Aemond_Targaryen,Allegiance,Allegiance
Meraxes,Rhaenys_Targaryen_(sister_of_Aegon_I),Allegiance,Allegiance
Shaggydog,Rickon_Stark,Allegiance,Allegiance
Dancer,Bran_Stark,Allegiance,Allegiance
Ser_Pounce,Tommen_Baratheon,Allegiance,Allegiance
Ghost,Jon_Snow,Allegiance,Allegiance
Summer,Bran_Stark,Allegiance,Allegiance
Rhaegal,Daenerys_Targaryen,Allegiance,Allegiance
Viserion,Night_King,Allegiance,Allegiance
Viserion,Daenerys_Targaryen,Allegiance,Allegiance
Drogon,Daenerys_Targaryen,Allegiance,Allegiance
Stranger,Sandor_Clegane,Allegiance,Allegiance
