Source,Target,Relation,Label
Balerion,Season_1,SeenOrMentioned,Season(s)
Balerion,Season_2,SeenOrMentioned,Season(s)
Balerion,Season_3,SeenOrMentioned,Season(s)
Balerion,Season_7,SeenOrMentioned,Season(s)
Grey_Wind,Season_1,SeenOrMentioned,Season(s)
Grey_Wind,Season_2,SeenOrMentioned,Season(s)
Grey_Wind,Season_3,SeenOrMentioned,Season(s)
Macumber,Season_1,SeenOrMentioned,Season(s)
Macumber,Season_4,SeenOrMentioned,Season(s)
Bastard%27s_girls,Season_4,SeenOrMentioned,Season(s)
Bastard%27s_girls,Season_5,SeenOrMentioned,Season(s)
Bastard%27s_girls,Season_6,SeenOrMentioned,Season(s)
The_red,Season_1,SeenOrMentioned,Season(s)
Blood_(horse),Season_3,SeenOrMentioned,Season(s)
Blood_(horse),Season_4,SeenOrMentioned,Season(s)
Nymeria_(direwolf),Season_1,SeenOrMentioned,Season(s)
Nymeria_(direwolf),Season_7,SeenOrMentioned,Season(s)
Lady,Season_1,SeenOrMentioned,Season(s)
The_silver,Season_1,SeenOrMentioned,Season(s)
The_silver,Season_2,SeenOrMentioned,Season(s)
Sunfyre,Season_3,SeenOrMentioned,Season(s)
Last_dragon,Season_1,SeenOrMentioned,Season(s)
Last_dragon,Season_6,SeenOrMentioned,Season(s)
Last_dragon,Season_7,SeenOrMentioned,Season(s)
Vhagar,Season_1,SeenOrMentioned,Season(s)
Vhagar,Season_2,SeenOrMentioned,Season(s)
Vhagar,Season_3,SeenOrMentioned,Season(s)
Meraxes,Season_1,SeenOrMentioned,Season(s)
Meraxes,Season_2,SeenOrMentioned,Season(s)
Vermithrax,Season_1,SeenOrMentioned,Season(s)
Valryon,Season_1,SeenOrMentioned,Season(s)
Ghiscar_(dragon),Season_1,SeenOrMentioned,Season(s)
Essovius,Season_1,SeenOrMentioned,Season(s)
Archonei,Season_1,SeenOrMentioned,Season(s)
Shaggydog,Season_1,SeenOrMentioned,Season(s)
Shaggydog,Season_2,SeenOrMentioned,Season(s)
Shaggydog,Season_3,SeenOrMentioned,Season(s)
Shaggydog,Season_6,SeenOrMentioned,Season(s)
Dancer,Season_1,SeenOrMentioned,Season(s)
Ser_Pounce,Season_4,SeenOrMentioned,Season(s)
Ghost,Season_1,SeenOrMentioned,Season(s)
Ghost,Season_2,SeenOrMentioned,Season(s)
Ghost,Season_3,SeenOrMentioned,Season(s)
Ghost,Season_4,SeenOrMentioned,Season(s)
Ghost,Season_5,SeenOrMentioned,Season(s)
Ghost,Season_6,SeenOrMentioned,Season(s)
Ghost,Season_8,SeenOrMentioned,Season(s)
Summer,Season_1,SeenOrMentioned,Season(s)
Summer,Season_2,SeenOrMentioned,Season(s)
Summer,Season_3,SeenOrMentioned,Season(s)
Summer,Season_4,SeenOrMentioned,Season(s)
Summer,Season_6,SeenOrMentioned,Season(s)
Rhaegal,Season_1,SeenOrMentioned,Season(s)
Rhaegal,Season_2,SeenOrMentioned,Season(s)
Rhaegal,Season_3,SeenOrMentioned,Season(s)
Rhaegal,Season_4,SeenOrMentioned,Season(s)
Rhaegal,Season_5,SeenOrMentioned,Season(s)
Rhaegal,Season_6,SeenOrMentioned,Season(s)
Rhaegal,Season_7,SeenOrMentioned,Season(s)
Rhaegal,Season_8,SeenOrMentioned,Season(s)
Viserion,Season_1,SeenOrMentioned,Season(s)
Viserion,Season_2,SeenOrMentioned,Season(s)
Viserion,Season_3,SeenOrMentioned,Season(s)
Viserion,Season_4,SeenOrMentioned,Season(s)
Viserion,Season_5,SeenOrMentioned,Season(s)
Viserion,Season_6,SeenOrMentioned,Season(s)
Viserion,Season_7,SeenOrMentioned,Season(s)
Viserion,Season_8,SeenOrMentioned,Season(s)
Drogon,Season_1,SeenOrMentioned,Season(s)
Drogon,Season_2,SeenOrMentioned,Season(s)
Drogon,Season_3,SeenOrMentioned,Season(s)
Drogon,Season_4,SeenOrMentioned,Season(s)
Drogon,Season_5,SeenOrMentioned,Season(s)
Drogon,Season_6,SeenOrMentioned,Season(s)
Drogon,Season_7,SeenOrMentioned,Season(s)
Drogon,Season_8,SeenOrMentioned,Season(s)
Stranger,Season_3,SeenOrMentioned,Season(s)
Stranger,Season_4,SeenOrMentioned,Season(s)
