Source,Target,Relation,Label
Daenerys_Targaryen%27s_invasion_of_Westeros,Abandonment_of_Dragonstone,Battles,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Assault_on_the_Targaryen_Fleet,Battles,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Siege_of_Casterly_Rock,Battles,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Sack_of_Highgarden,Battles,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Battle_of_the_Goldroad,Battles,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Wight_Hunt,Battles,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Parley_in_King%27s_Landing,Battles,Battles
First_Dornish_War,Occupation_of_Sunspear,Battles,Battles
First_Dornish_War,Uprising_in_Sunspear,Battles,Battles
First_Dornish_War,Assault_on_Oldtown,Battles,Battles
First_Dornish_War,Siege_of_Hellholt,Battles,Battles
First_Dornish_War,Dragon%27s_Wroth,Battles,Battles
First_Dornish_War,Attempt_of_assassination_on_Aegon_I,Battles,Battles
Ironborn_Invasion_of_the_North,Fall_of_Moat_Cailin,Battles,Battles
Ironborn_Invasion_of_the_North,Raid_on_Torrhen%27s_Square,Battles,Battles
Ironborn_Invasion_of_the_North,First_Battle_of_Deepwood_Motte,Battles,Battles
Ironborn_Invasion_of_the_North,Fall_of_Winterfell,Battles,Battles
Ironborn_Invasion_of_the_North,Sack_of_Winterfell,Battles,Battles
Ironborn_Invasion_of_the_North,Assault_on_the_Dreadfort,Battles,Battles
Ironborn_Invasion_of_the_North,Surrender_of_Moat_Cailin,Battles,Battles
Ironborn_Invasion_of_the_North,Second_Battle_of_Deepwood_Motte,Battles,Battles
Forrester-Whitehill_conflict,Skirmish_at_the_Tuttle_Farm,Battles,Battles
Forrester-Whitehill_conflict,Assassination_of_Ethan_Forrester,Battles,Battles
Forrester-Whitehill_conflict,Attempted_Murder_of_Mira_Forrester,Battles,Battles
Forrester-Whitehill_conflict,Capture_of_the_Whitehill_Garrison,Battles,Battles
Forrester-Whitehill_conflict,Ambush_at_the_Harbor,Battles,Battles
Forrester-Whitehill_conflict,Ambush_at_the_Tuttle_Farm,Battles,Battles
Forrester-Whitehill_conflict,Battle_of_Ironrath,Battles,Battles
Unification_of_the_North,Thousand_Years_War,Battles,Battles
Great_War,Wight_Hunt,Battles,Battles
Great_War,Breaching_of_the_Wall,Battles,Battles
Reyne_Rebellion,Siege_of_Tarbeck_Hall,Battles,Battles
Liberation_of_Slaver%27s_Bay,Sack_of_Astapor,Battles,Battles
Liberation_of_Slaver%27s_Bay,Battle_of_Yunkai,Battles,Battles
Liberation_of_Slaver%27s_Bay,Siege_of_Meereen,Battles,Battles
Liberation_of_Slaver%27s_Bay,Uprising_in_Meereen,Battles,Battles
Liberation_of_Slaver%27s_Bay,Siege_of_Astapor,Battles,Battles
Liberation_of_Slaver%27s_Bay,Massacre_of_the_Khalar_vezhven,Battles,Battles
Liberation_of_Slaver%27s_Bay,Second_Siege_of_Meereen,Battles,Battles
Blackfyre_Rebellion,Battle_of_the_Redgrass_Field,Battles,Battles
Dance_of_the_Dragons,Dance_Over_Storm%27s_End,Battles,Battles
Dance_of_the_Dragons,Assassination_at_the_Red_Keep,Battles,Battles
Dance_of_the_Dragons,Assault_on_Harrenhal,Battles,Battles
Dance_of_the_Dragons,Siege_of_Rook%27s_Rest,Battles,Battles
Dance_of_the_Dragons,Battle_of_the_Gullet,Battles,Battles
Dance_of_the_Dragons,Retaking_of_Harrenhal,Battles,Battles
Dance_of_the_Dragons,Fall_of_King%27s_Landing,Battles,Battles
Dance_of_the_Dragons,Butcher%27s_Ball,Battles,Battles
Dance_of_the_Dragons,Sack_of_Lannisport,Battles,Battles
Dance_of_the_Dragons,Sack_of_Tumbleton,Battles,Battles
Dance_of_the_Dragons,Battle_Above_the_Gods_Eye,Battles,Battles
Dance_of_the_Dragons,Storming_of_the_Dragonpit,Battles,Battles
Dance_of_the_Dragons,Ambush_at_Dragonstone,Battles,Battles
Dance_of_the_Dragons,Assassination_of_Aegon_II,Battles,Battles
Dance_of_the_Dragons,Assassination_of_Dalton_Greyjoy,Battles,Battles
Dance_of_the_Dragons,Sack_of_the_Iron_Islands,Battles,Battles
Faith_Militant_uprising,Faith_Militant_raid_on_the_Red_Keep,Battles,Battles
Faith_Militant_uprising,Trial_by_Seven_of_Maegor_Targaryen,Battles,Battles
Faith_Militant_uprising,Burning_of_the_Sept_of_Remembrance,Battles,Battles
