Source,Target,Relation,Label
Sack_of_Highgarden,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Battle_of_Ironrath,Forrester-Whitehill_conflict,Conflict,Conflict
Battle_of_the_Goldroad,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Abandonment_of_Dragonstone,War_of_the_Five_Kings,Conflict,Conflict
Abandonment_of_Dragonstone,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Siege_of_Tarbeck_Hall,Reyne_Rebellion,Conflict,Conflict
Battle_of_the_Camps,War_of_the_Five_Kings,Conflict,Conflict
Surrender_of_Moat_Cailin,Ironborn_Invasion_of_the_North,Conflict,Conflict
Surrender_of_Moat_Cailin,War_of_the_Five_Kings,Conflict,Conflict
Liberation_of_Harrenhal,War_of_the_Five_Kings,Conflict,Conflict
Sack_of_Ashemark,War_of_the_Five_Kings,Conflict,Conflict
Liberation_of_Stone_Hedge,War_of_the_Five_Kings,Conflict,Conflict
Liberation_of_Raventree_Hall,War_of_the_Five_Kings,Conflict,Conflict
Raid_on_Torrhen%27s_Square,Ironborn_Invasion_of_the_North,Conflict,Conflict
Raid_on_Torrhen%27s_Square,War_of_the_Five_Kings,Conflict,Conflict
Battle_of_Seagard,Greyjoy_Rebellion,Conflict,Conflict
Assassination_at_the_Red_Keep,Dance_of_the_Dragons,Conflict,Conflict
Ambush_at_Dragonstone,Dance_of_the_Dragons,Conflict,Conflict
Battle_of_Fair_Isle,Greyjoy_Rebellion,Conflict,Conflict
Raid_on_Sea_Dragon_Point,Greyjoy_Rebellion,Conflict,Conflict
Assault_on_Harrenhal,Dance_of_the_Dragons,Conflict,Conflict
Dance_Over_Storm%27s_End,Dance_of_the_Dragons,Conflict,Conflict
Siege_of_Rook%27s_Rest,Dance_of_the_Dragons,Conflict,Conflict
Fall_of_King%27s_Landing,Dance_of_the_Dragons,Conflict,Conflict
Assassination_of_Aegon_II,Dance_of_the_Dragons,Conflict,Conflict
Battle_Above_the_Gods_Eye,Dance_of_the_Dragons,Conflict,Conflict
Raid_on_Craster%27s_Keep,Conflict_Beyond_the_Wall,Conflict,Conflict
Raid_on_Craster%27s_Keep,War_of_the_Five_Kings,Conflict,Conflict
Battle_of_the_Gullet,Dance_of_the_Dragons,Conflict,Conflict
Sack_of_Tumbleton,Dance_of_the_Dragons,Conflict,Conflict
Assassination_of_Dalton_Greyjoy,Dance_of_the_Dragons,Conflict,Conflict
Butcher%27s_Ball,Dance_of_the_Dragons,Conflict,Conflict
Retaking_of_Harrenhal,Dance_of_the_Dragons,Conflict,Conflict
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Conflict_Beyond_the_Wall,Conflict,Conflict
Siege_of_Astapor,Liberation_of_Slaver%27s_Bay,Conflict,Conflict
Breaching_of_the_Wall,Conflict_Beyond_the_Wall,Conflict,Conflict
Breaching_of_the_Wall,Great_War,Conflict,Conflict
Showdown_at_the_Tower_of_Joy,Robert%27s_Rebellion,Conflict,Conflict
Showdown_at_the_Tower_of_Joy,Abduction_of_Lyanna_Stark,Conflict,Conflict
Sack_of_the_Iron_Islands,Dance_of_the_Dragons,Conflict,Conflict
Assault_on_Dragonstone,Robert%27s_Rebellion,Conflict,Conflict
The_Pact,Wars_of_the_First_Men_and_the_Children_of_the_Forest,Conflict,Conflict
Battle_of_Ashford,Robert%27s_Rebellion,Conflict,Conflict
Battle_of_Summerhall,Robert%27s_Rebellion,Conflict,Conflict
Trial_by_Seven_of_Maegor_Targaryen,Faith_Militant_uprising,Conflict,Conflict
Faith_Militant_raid_on_the_Red_Keep,Faith_Militant_uprising,Conflict,Conflict
Uprising_in_Meereen,Liberation_of_Slaver%27s_Bay,Conflict,Conflict
Sack_of_Lannisport,Dance_of_the_Dragons,Conflict,Conflict
Field_of_Crows,Century_of_Blood,Conflict,Conflict
Siege_of_Old_Wyk,Greyjoy_Rebellion,Conflict,Conflict
Siege_of_Great_Wyk,Greyjoy_Rebellion,Conflict,Conflict
Raid_on_Lannisport,Greyjoy_Rebellion,Conflict,Conflict
Battle_of_the_Redgrass_Field,Blackfyre_Rebellion,Conflict,Conflict
Wildfire_Plot,Robert%27s_Rebellion,Conflict,Conflict
Battle_of_the_Golden_Tooth,War_of_the_Five_Kings,Conflict,Conflict
Siege_of_Riverrun,War_of_the_Five_Kings,Conflict,Conflict
Battle_of_the_Seven_Stars,Andal_Invasion,Conflict,Conflict
Battle_of_the_Green_Fork,War_of_the_Five_Kings,Conflict,Conflict
Surrender_of_the_Crag,War_of_the_Five_Kings,Conflict,Conflict
Battle_of_the_Yellow_Fork,War_of_the_Five_Kings,Conflict,Conflict
Battle_of_Stone_Mill,War_of_the_Five_Kings,Conflict,Conflict
Raid_by_the_Gods_Eye,War_of_the_Five_Kings,Conflict,Conflict
Dragon%27s_Wroth,First_Dornish_War,Conflict,Conflict
Attempt_of_assassination_on_Aegon_I,First_Dornish_War,Conflict,Conflict
Siege_of_Hellholt,First_Dornish_War,Conflict,Conflict
Assault_on_Oldtown,First_Dornish_War,Conflict,Conflict
Uprising_in_Sunspear,First_Dornish_War,Conflict,Conflict
Occupation_of_Sunspear,First_Dornish_War,Conflict,Conflict
Battle_of_Yunkai,Liberation_of_Slaver%27s_Bay,Conflict,Conflict
Last_Storm,War_of_Conquest,Conflict,Conflict
Assassination_of_Ethan_Forrester,Forrester-Whitehill_conflict,Conflict,Conflict
Attempted_Murder_of_Mira_Forrester,Forrester-Whitehill_conflict,Conflict,Conflict
Skirmish_at_the_Tuttle_Farm,Forrester-Whitehill_conflict,Conflict,Conflict
Assassination_of_Renly_Baratheon,War_of_the_Five_Kings,Conflict,Conflict
Capture_of_the_Whitehill_Garrison,Forrester-Whitehill_conflict,Conflict,Conflict
Assault_on_the_Dreadfort,Ironborn_Invasion_of_the_North,Conflict,Conflict
Assault_on_the_Dreadfort,War_of_the_Five_Kings,Conflict,Conflict
Fall_of_Moat_Cailin,Ironborn_Invasion_of_the_North,Conflict,Conflict
Fall_of_Moat_Cailin,War_of_the_Five_Kings,Conflict,Conflict
First_Battle_of_Deepwood_Motte,Ironborn_Invasion_of_the_North,Conflict,Conflict
First_Battle_of_Deepwood_Motte,War_of_the_Five_Kings,Conflict,Conflict
Siege_of_Meereen,Liberation_of_Slaver%27s_Bay,Conflict,Conflict
Capture_of_Riverrun,War_of_the_Five_Kings,Conflict,Conflict
Storming_of_the_Dragonpit,Dance_of_the_Dragons,Conflict,Conflict
Burning_of_Harrenhal,War_of_Conquest,Conflict,Conflict
Burning_of_the_Sept_of_Remembrance,Faith_Militant_uprising,Conflict,Conflict
Sack_of_Mole%27s_Town,Conflict_Beyond_the_Wall,Conflict,Conflict
Ambush_at_the_Harbor,Forrester-Whitehill_conflict,Conflict,Conflict
Battle_of_Oxcross,War_of_the_Five_Kings,Conflict,Conflict
Second_Battle_of_Deepwood_Motte,Ironborn_Invasion_of_the_North,Conflict,Conflict
Second_Battle_of_Deepwood_Motte,War_of_the_Five_Kings,Conflict,Conflict
Ambush_at_the_Tuttle_Farm,Forrester-Whitehill_conflict,Conflict,Conflict
Court_trial_of_Tyrion_Lannister,War_of_the_Five_Kings,Conflict,Conflict
Riot_of_King%27s_Landing,War_of_the_Five_Kings,Conflict,Conflict
Assassinations_at_the_Twins,War_of_the_Five_Kings,Conflict,Conflict
Second_Siege_of_Riverrun,War_of_the_Five_Kings,Conflict,Conflict
Siege_of_Storm%27s_End,Robert%27s_Rebellion,Conflict,Conflict
Battle_of_the_Bells,Robert%27s_Rebellion,Conflict,Conflict
Massacre_in_King%27s_Landing,War_of_the_Five_Kings,Conflict,Conflict
Siege_of_Casterly_Rock,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Execution_of_Rickard_and_Brandon_Stark,Robert%27s_Rebellion,Conflict,Conflict
Abduction_of_Lyanna_Stark,Robert%27s_Rebellion,Conflict,Conflict
Field_of_Fire,War_of_Conquest,Conflict,Conflict
Trial_of_Petyr_Baelish,War_of_the_Five_Kings,Conflict,Conflict
Trial_of_Petyr_Baelish,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Trial_of_Petyr_Baelish,Great_War,Conflict,Conflict
Mutiny_at_Craster%27s_Keep,Conflict_Beyond_the_Wall,Conflict,Conflict
Battle_of_the_Fist_of_the_First_Men,Conflict_Beyond_the_Wall,Conflict,Conflict
Fall_of_Winterfell,Ironborn_Invasion_of_the_North,Conflict,Conflict
Fall_of_Winterfell,War_of_the_Five_Kings,Conflict,Conflict
Assassination_at_the_Tower_of_the_Hand,War_of_the_Five_Kings,Conflict,Conflict
Second_Trial_by_Combat_of_Tyrion_Lannister,War_of_the_Five_Kings,Conflict,Conflict
Mutiny_at_Castle_Black,Conflict_Beyond_the_Wall,Conflict,Conflict
Execution_of_Eddard_Stark,War_of_the_Five_Kings,Conflict,Conflict
Sack_of_Winterfell,Ironborn_Invasion_of_the_North,Conflict,Conflict
Sack_of_Winterfell,War_of_the_Five_Kings,Conflict,Conflict
Battle_of_the_Trident,Robert%27s_Rebellion,Conflict,Conflict
Sack_of_King%27s_Landing,Robert%27s_Rebellion,Conflict,Conflict
Assault_on_the_Targaryen_Fleet,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Wight_Hunt,Conflict_Beyond_the_Wall,Conflict,Conflict
Wight_Hunt,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Wight_Hunt,Great_War,Conflict,Conflict
Battle_of_Winterfell,War_of_the_Five_Kings,Conflict,Conflict
Battle_at_the_Mummer%27s_Ford,War_of_the_Five_Kings,Conflict,Conflict
Parley_in_King%27s_Landing,Daenerys_Targaryen%27s_invasion_of_Westeros,Conflict,Conflict
Parley_in_King%27s_Landing,Great_War,Conflict,Conflict
Sack_of_Astapor,Liberation_of_Slaver%27s_Bay,Conflict,Conflict
Battle_of_Qohor,Century_of_Blood,Conflict,Conflict
Siege_of_Pyke,Greyjoy_Rebellion,Conflict,Conflict
Assassination_of_Balon_Greyjoy,War_of_the_Five_Kings,Conflict,Conflict
Kingsmoot,War_of_the_Five_Kings,Conflict,Conflict
Second_Siege_of_Meereen,Liberation_of_Slaver%27s_Bay,Conflict,Conflict
Battle_of_the_Blackwater,War_of_the_Five_Kings,Conflict,Conflict
Massacre_at_Hardhome,Conflict_Beyond_the_Wall,Conflict,Conflict
Battle_of_Castle_Black,Conflict_Beyond_the_Wall,Conflict,Conflict
Battle_of_Castle_Black,War_of_the_Five_Kings,Conflict,Conflict
Purple_Wedding,War_of_the_Five_Kings,Conflict,Conflict
Battle_of_the_Whispering_Wood,War_of_the_Five_Kings,Conflict,Conflict
Red_Wedding,War_of_the_Five_Kings,Conflict,Conflict
