Source,Target,Relation,Label
Daenerys_Targaryen%27s_invasion_of_Westeros,Parley_in_King%27s_Landing,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Great_War,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Battle_of_the_Goldroad,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Sack_of_Highgarden,Outcome,Outcome
Uprising_in_Meereen,Second_Siege_of_Meereen,Outcome,Outcome
Siege_of_Riverrun,Battle_of_the_Camps,Outcome,Outcome
Thousand_Years_War,Unification_of_the_North,Outcome,Outcome
Assassinations_at_the_Twins,Red_Wedding,Outcome,Outcome
Execution_of_Rickard_and_Brandon_Stark,Robert%27s_Rebellion,Outcome,Outcome
Trial_of_Petyr_Baelish,War_of_the_Five_Kings,Outcome,Outcome
Great_War,Breaching_of_the_Wall,Outcome,Outcome
Sack_of_Astapor,Liberation_of_Slaver%27s_Bay,Outcome,Outcome
Battle_of_the_Bastards,War_of_the_Five_Kings,Outcome,Outcome
Second_Siege_of_Meereen,Liberation_of_Slaver%27s_Bay,Outcome,Outcome
Red_Wedding,Forrester-Whitehill_conflict,Outcome,Outcome
Rhoynish_Wars,Nymeria%27s_War,Outcome,Outcome
Conflict_Beyond_the_Wall,Breaching_of_the_Wall,Outcome,Outcome
Conflict_Beyond_the_Wall,Long_Night,Outcome,Outcome
Conflict_Beyond_the_Wall,Great_War,Outcome,Outcome
Conflict_Beyond_the_Wall,Battle_of_the_Fist_of_the_First_Men,Outcome,Outcome
Conflict_Beyond_the_Wall,Mutiny_at_Craster%27s_Keep,Outcome,Outcome
Conflict_Beyond_the_Wall,Battle_of_Castle_Black,Outcome,Outcome
Conflict_Beyond_the_Wall,Massacre_at_Hardhome,Outcome,Outcome
Conflict_Beyond_the_Wall,Mutiny_at_Castle_Black,Outcome,Outcome
Conflict_Beyond_the_Wall,Battle_at_the_Cave_of_the_Three-Eyed_Raven,Outcome,Outcome
War_of_the_Five_Kings,Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Outcome
War_of_the_Five_Kings,Red_Wedding,Outcome,Outcome
War_of_the_Five_Kings,Assassination_of_Balon_Greyjoy,Outcome,Outcome
War_of_the_Five_Kings,Battle_of_Winterfell,Outcome,Outcome
War_of_the_Five_Kings,Purple_Wedding,Outcome,Outcome
War_of_the_Five_Kings,Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Outcome
