Source,Target,Relation,Label
Sack_of_Highgarden,House_Lannister,Outcome,Outcome
Sack_of_Highgarden,House_Tarly,Outcome,Outcome
Sack_of_Highgarden,House_Tyrell,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,House_Targaryen,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,House_Targaryen,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,House_Tyrell,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,House_Stark,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,House_Targaryen,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,House_Targaryen,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,House_Lannister,Outcome,Outcome
Battle_of_Ironrath,House_Whitehill,Outcome,Outcome
Battle_of_Ironrath,House_Forrester,Outcome,Outcome
Battle_of_the_Goldroad,House_Targaryen,Outcome,Outcome
Battle_of_the_Goldroad,House_Lannister,Outcome,Outcome
Battle_of_the_Goldroad,House_Tarly,Outcome,Outcome
Siege_of_Tarbeck_Hall,House_Lannister,Outcome,Outcome
Siege_of_Tarbeck_Hall,House_Tarbeck,Outcome,Outcome
Surrender_of_Moat_Cailin,House_Bolton,Outcome,Outcome
Liberation_of_Stone_Hedge,House_Bracken,Outcome,Outcome
Liberation_of_Raventree_Hall,House_Blackwood,Outcome,Outcome
Skirmish_at_Littlefinger%27s_brothel,House_Lannister,Outcome,Outcome
Faith_Militant_raid_on_the_Red_Keep,House_Targaryen,Outcome,Outcome
Siege_of_Great_Wyk,House_Baratheon_of_Dragonstone,Outcome,Outcome
Raid_on_Lannisport,House_Lannister,Outcome,Outcome
Battle_of_the_Redgrass_Field,House_Targaryen,Outcome,Outcome
Massacre_in_the_Red_Keep,House_Stark,Outcome,Outcome
Assassination_of_Jon_Arryn,House_Stark,Outcome,Outcome
Assassination_of_Jon_Arryn,House_Lannister,Outcome,Outcome
Battle_of_the_Green_Fork,House_Lannister,Outcome,Outcome
Battle_of_the_Green_Fork,House_Stark,Outcome,Outcome
Surrender_of_the_Crag,House_Westerling,Outcome,Outcome
Surrender_of_the_Crag,House_Stark,Outcome,Outcome
Battle_of_the_Yellow_Fork,House_Stark,Outcome,Outcome
Battle_of_Stone_Mill,House_Tully,Outcome,Outcome
Battle_of_Stone_Mill,House_Stark,Outcome,Outcome
Last_Storm,House_Durrandon,Outcome,Outcome
Last_Storm,House_Baratheon,Outcome,Outcome
Assassination_of_Ethan_Forrester,House_Whitehill,Outcome,Outcome
Assassination_of_Renly_Baratheon,House_Baratheon_of_Dragonstone,Outcome,Outcome
Capture_of_the_Whitehill_Garrison,House_Whitehill,Outcome,Outcome
Capture_of_the_Whitehill_Garrison,House_Forrester,Outcome,Outcome
Capture_of_Riverrun,House_Tully,Outcome,Outcome
Capture_of_Riverrun,House_Frey,Outcome,Outcome
Burning_of_Harrenhal,House_Hoare,Outcome,Outcome
Burning_of_the_Sept_of_Remembrance,House_Targaryen,Outcome,Outcome
Forrester-Whitehill_conflict,House_Whitehill,Outcome,Outcome
Ambush_at_the_Harbor,House_Whitehill,Outcome,Outcome
Second_Battle_of_Deepwood_Motte,House_Glover,Outcome,Outcome
Coup_in_Dorne,House_Baratheon_of_King%27s_Landing,Outcome,Outcome
Coup_in_Dorne,House_Lannister,Outcome,Outcome
Coup_in_Dorne,House_Targaryen,Outcome,Outcome
Assassinations_at_the_Twins,House_Frey,Outcome,Outcome
Assassinations_at_the_Twins,House_Lannister,Outcome,Outcome
Second_Siege_of_Riverrun,House_Frey,Outcome,Outcome
Second_Siege_of_Riverrun,House_Tully,Outcome,Outcome
Siege_of_Casterly_Rock,House_Targaryen,Outcome,Outcome
Siege_of_Casterly_Rock,House_Lannister,Outcome,Outcome
Execution_of_Rickard_and_Brandon_Stark,House_Baratheon,Outcome,Outcome
Execution_of_Rickard_and_Brandon_Stark,House_Stark,Outcome,Outcome
Execution_of_Rickard_and_Brandon_Stark,House_Arryn,Outcome,Outcome
