Source,Target,Relation,Label
Daenerys_Targaryen%27s_invasion_of_Westeros,Casterly_Rock,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Highgarden,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Highgarden,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,The_North,Outcome,Outcome
Battle_of_the_Goldroad,King%27s_Landing,Outcome,Outcome
Siege_of_Tarbeck_Hall,Tarbeck_Hall,Outcome,Outcome
Surrender_of_Moat_Cailin,The_North,Outcome,Outcome
Surrender_of_Moat_Cailin,Winterfell,Outcome,Outcome
Sack_of_Ashemark,The_North,Outcome,Outcome
Assassination_of_Aegon_II,King%27s_Landing,Outcome,Outcome
Battle_of_the_Gullet,Kingdom_of_the_Three_Daughters,Outcome,Outcome
Siege_of_Astapor,Meereen,Outcome,Outcome
Breaching_of_the_Wall,The_Wall,Outcome,Outcome
Breaching_of_the_Wall,Eastwatch-by-the-Sea,Outcome,Outcome
Breaching_of_the_Wall,The_Gift,Outcome,Outcome
Breaching_of_the_Wall,Eastwatch-by-the-Sea,Outcome,Outcome
Assault_on_Dragonstone,Free_Cities,Outcome,Outcome
Massacre_of_the_Khalar_vezhven,Vaes_Dothrak,Outcome,Outcome
Ironborn_Invasion_of_the_North,Winterfell,Outcome,Outcome
Ironborn_Invasion_of_the_North,Deepwood_Motte,Outcome,Outcome
Ironborn_Invasion_of_the_North,Moat_Cailin,Outcome,Outcome
Assassination_of_Jon_Arryn,The_Eyrie,Outcome,Outcome
Battle_of_Stone_Mill,Stone_Mill,Outcome,Outcome
Raid_by_the_Gods_Eye,Harrenhal,Outcome,Outcome
Capture_of_Riverrun,Riverrun,Outcome,Outcome
Unification_of_the_North,The_North,Outcome,Outcome
Unification_of_the_North,Winterfell,Outcome,Outcome
Battle_of_Oxcross,The_North,Outcome,Outcome
Coup_in_Dorne,Dorne,Outcome,Outcome
War_for_the_Stepstones,Kingdom_of_the_Three_Daughters,Outcome,Outcome
Assassinations_at_the_Twins,The_Riverlands,Outcome,Outcome
Second_Siege_of_Riverrun,Riverrun,Outcome,Outcome
Siege_of_Casterly_Rock,Casterly_Rock,Outcome,Outcome
Siege_of_Casterly_Rock,The_Reach,Outcome,Outcome
Siege_of_Casterly_Rock,Highgarden,Outcome,Outcome
Abduction_of_Lyanna_Stark,Dorne,Outcome,Outcome
Abduction_of_Lyanna_Stark,Tower_of_Joy,Outcome,Outcome
Field_of_Fire,Kingdom_of_the_Rock,Outcome,Outcome
Field_of_Fire,Kingdom_of_the_Reach,Outcome,Outcome
Trial_of_Petyr_Baelish,The_North,Outcome,Outcome
Trial_of_Petyr_Baelish,The_Vale_of_Arryn,Outcome,Outcome
Confrontation_in_the_Water_Gardens,King%27s_Landing,Outcome,Outcome
Execution_of_Eddard_Stark,The_North,Outcome,Outcome
Execution_of_Eddard_Stark,The_Riverlands,Outcome,Outcome
Wight_Hunt,King%27s_Landing,Outcome,Outcome
Great_War,The_Wall,Outcome,Outcome
Parley_in_King%27s_Landing,The_North,Outcome,Outcome
Rhoynar_migration,Dorne,Outcome,Outcome
Destruction_of_the_Great_Sept_of_Baelor,Great_Sept_of_Baelor,Outcome,Outcome
Battle_of_the_Bastards,Winterfell,Outcome,Outcome
Battle_of_the_Bastards,Kingdom_of_the_North,Outcome,Outcome
Kingsmoot,Iron_Islands,Outcome,Outcome
Purple_Wedding,Red_Keep,Outcome,Outcome
Red_Wedding,The_Riverlands,Outcome,Outcome
Red_Wedding,The_North,Outcome,Outcome
Conquest_of_Dorne,Dorne,Outcome,Outcome
Dance_of_the_Dragons,Seven_Kingdoms,Outcome,Outcome
Rhoynish_Wars,Dorne,Outcome,Outcome
Ghiscari_Wars,Slaver%27s_Bay,Outcome,Outcome
Long_Night,Lands_of_Always_Winter,Outcome,Outcome
Long_Night,The_Wall,Outcome,Outcome
War_of_Conquest,Iron_Islands,Outcome,Outcome
War_of_Conquest,Dorne,Outcome,Outcome
Conflict_Beyond_the_Wall,The_Wall,Outcome,Outcome
Conflict_Beyond_the_Wall,Beyond_the_Wall,Outcome,Outcome
Conflict_Beyond_the_Wall,The_Wall,Outcome,Outcome
Conflict_Beyond_the_Wall,Cave_of_the_Three-Eyed_Raven,Outcome,Outcome
Conflict_Beyond_the_Wall,The_Wall,Outcome,Outcome
Conflict_Beyond_the_Wall,Beyond_the_Wall,Outcome,Outcome
War_of_the_Five_Kings,Iron_Islands,Outcome,Outcome
War_of_the_Five_Kings,Kingdom_of_the_North,Outcome,Outcome
War_of_the_Five_Kings,Kingdom_of_the_Iron_Islands,Outcome,Outcome
War_of_the_Five_Kings,The_North,Outcome,Outcome
War_of_the_Five_Kings,The_Riverlands,Outcome,Outcome
War_of_the_Five_Kings,The_North,Outcome,Outcome
War_of_the_Five_Kings,The_Crownlands,Outcome,Outcome
War_of_the_Five_Kings,The_Riverlands,Outcome,Outcome
War_of_the_Five_Kings,Dorne,Outcome,Outcome
Andal_Invasion,The_North,Outcome,Outcome
Andal_Invasion,Beyond_the_Wall,Outcome,Outcome
