Source,Target,Relation,Label
Sack_of_Highgarden,Highgarden,Place,Place
Battle_of_Ironrath,Ironrath,Place,Place
Battle_of_the_Goldroad,The_Reach,Place,Place
Abandonment_of_Dragonstone,Dragonstone_(island),Place,Place
Battle_at_Long_Lake,The_North,Place,Place
Vulture_Hunt,Dornish_Marches,Place,Place
First_Dornish_War,Principality_of_Dorne,Place,Place
Siege_of_Tarbeck_Hall,Tarbeck_Hall,Place,Place
Battle_of_the_Camps,Riverrun,Place,Place
Battle_of_the_Camps,The_Riverlands,Place,Place
Surrender_of_Moat_Cailin,Moat_Cailin,Place,Place
Surrender_of_Moat_Cailin,The_Neck,Place,Place
Surrender_of_Moat_Cailin,The_North,Place,Place
Liberation_of_Harrenhal,Harrenhal,Place,Place
Liberation_of_Harrenhal,The_Riverlands,Place,Place
Sack_of_Ashemark,Ashemark,Place,Place
Liberation_of_Stone_Hedge,Stone_Hedge,Place,Place
Liberation_of_Stone_Hedge,The_Riverlands,Place,Place
Liberation_of_Raventree_Hall,Raventree_Hall,Place,Place
Liberation_of_Raventree_Hall,The_Riverlands,Place,Place
Raid_on_Torrhen%27s_Square,Torrhen%27s_Square,Place,Place
Raid_on_Torrhen%27s_Square,The_North,Place,Place
Battle_of_Seagard,Seagard,Place,Place
Assassination_at_the_Red_Keep,Red_Keep,Place,Place
Assassination_at_the_Red_Keep,King%27s_Landing,Place,Place
Ambush_at_Dragonstone,Dragonstone_(castle),Place,Place
Battle_of_Fair_Isle,Fair_Isle,Place,Place
Battle_of_Fair_Isle,The_Westerlands,Place,Place
Raid_on_Sea_Dragon_Point,The_North,Place,Place
Assault_on_Harrenhal,Harrenhal,Place,Place
Dance_Over_Storm%27s_End,Storm%27s_End,Place,Place
Siege_of_Rook%27s_Rest,Rook%27s_Rest,Place,Place
Siege_of_Rook%27s_Rest,The_Crownlands,Place,Place
Fall_of_King%27s_Landing,King%27s_Landing,Place,Place
Assassination_of_Aegon_II,Red_Keep,Place,Place
Assassination_of_Aegon_II,King%27s_Landing,Place,Place
Battle_Above_the_Gods_Eye,Harrenhal,Place,Place
Battle_Above_the_Gods_Eye,The_Riverlands,Place,Place
Raid_on_Craster%27s_Keep,Craster%27s_Keep,Place,Place
Raid_on_Craster%27s_Keep,Haunted_Forest,Place,Place
Raid_on_Craster%27s_Keep,Beyond_the_Wall,Place,Place
Battle_of_the_Gullet,Gullet,Place,Place
Sack_of_Tumbleton,Tumbleton,Place,Place
Retaking_of_Harrenhal,Harrenhal,Place,Place
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Cave_of_the_Three-Eyed_Raven,Place,Place
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Beyond_the_Wall,Place,Place
Siege_of_Astapor,Astapor,Place,Place
Siege_of_Astapor,Slaver%27s_Bay,Place,Place
Breaching_of_the_Wall,Eastwatch-by-the-Sea,Place,Place
Breaching_of_the_Wall,The_Wall,Place,Place
