Source,Target,Relation,Label
Daenerys_Targaryen%27s_invasion_of_Westeros,Iron_Fleet,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Unsullied,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Golden_Company,Outcome,Outcome
Battle_of_Fair_Isle,Iron_Fleet,Outcome,Outcome
Assault_on_Harrenhal,Blacks,Outcome,Outcome
Dance_Over_Storm%27s_End,Greens,Outcome,Outcome
Siege_of_Rook%27s_Rest,Greens,Outcome,Outcome
Fall_of_King%27s_Landing,Blacks,Outcome,Outcome
Assassination_of_Aegon_II,Blacks,Outcome,Outcome
Assassination_of_Aegon_II,Greens,Outcome,Outcome
Retaking_of_Harrenhal,Greens,Outcome,Outcome
Retaking_of_Harrenhal,Blacks,Outcome,Outcome
Wildfire_Plot,Kingsguard,Outcome,Outcome
Siege_of_Meereen,Great_Masters,Outcome,Outcome
Fall_of_the_Night%27s_King,Night%27s_Watch,Outcome,Outcome
Coup_in_Dorne,Sand_Snakes,Outcome,Outcome
Second_Siege_of_Riverrun,Iron_Throne,Outcome,Outcome
Siege_of_Casterly_Rock,Iron_Fleet,Outcome,Outcome
Execution_of_Rickard_and_Brandon_Stark,Iron_Throne,Outcome,Outcome
Second_Trial_by_Combat_of_Tyrion_Lannister,Iron_Throne,Outcome,Outcome
Confrontation_in_the_Water_Gardens,Sand_Snakes,Outcome,Outcome
Confrontation_in_the_Water_Gardens,Small_Council,Outcome,Outcome
Execution_of_Eddard_Stark,Iron_Throne,Outcome,Outcome
Standoff_at_the_Great_Sept_of_Baelor,Kingsguard,Outcome,Outcome
Battle_of_the_Trident,Iron_Throne,Outcome,Outcome
Sack_of_King%27s_Landing,Iron_Throne,Outcome,Outcome
Tragedy_at_Summerhall,Iron_Throne,Outcome,Outcome
Battle_at_the_Mummer%27s_Ford,Brotherhood_Without_Banners,Outcome,Outcome
Duel_in_Braavos,Faceless_Men,Outcome,Outcome
Destruction_of_the_Great_Sept_of_Baelor,Faith_Militant,Outcome,Outcome
Battle_of_the_Bastards,Iron_Throne,Outcome,Outcome
Liberation_of_Slaver%27s_Bay,Second_Sons,Outcome,Outcome
War_of_the_Ninepenny_Kings,Iron_Throne,Outcome,Outcome
Blackfyre_Rebellion,Iron_Throne,Outcome,Outcome
Long_Night,Night%27s_Watch,Outcome,Outcome
Greyjoy_Rebellion,Iron_Throne,Outcome,Outcome
Robert%27s_Rebellion,Iron_Throne,Outcome,Outcome
Conflict_Beyond_the_Wall,Night%27s_Watch,Outcome,Outcome
War_of_the_Five_Kings,Iron_Throne,Outcome,Outcome
War_of_the_Five_Kings,Maesters,Outcome,Outcome
War_of_the_Five_Kings,Iron_Throne,Outcome,Outcome
War_of_the_Five_Kings,Iron_Throne,Outcome,Outcome
