Source,Target,Relation,Label
Sack_of_Highgarden,Olenna_Tyrell,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Jon_Snow,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Cersei_Lannister,Outcome,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Jaime_Lannister,Outcome,Outcome
Battle_of_Ironrath,Ryon_Forrester,Outcome,Outcome
Battle_of_Ironrath,Ludd_Whitehill,Outcome,Outcome
Battle_of_Ironrath,Gryff_Whitehill,Outcome,Outcome
Battle_of_Ironrath,Elaena_Glenmore,Outcome,Outcome
Battle_of_the_Goldroad,Randyll_Tarly,Outcome,Outcome
Battle_of_the_Goldroad,Dickon_Tarly,Outcome,Outcome
Surrender_of_Moat_Cailin,Ramsay_Bolton,Outcome,Outcome
Surrender_of_Moat_Cailin,Roose_Bolton,Outcome,Outcome
Assassination_at_the_Red_Keep,Jaehaerys_Targaryen_(son_of_Aegon_II),Outcome,Outcome
Ambush_at_Dragonstone,Rhaenyra_Targaryen,Outcome,Outcome
Ambush_at_Dragonstone,Aegon_III_Targaryen,Outcome,Outcome
Dance_Over_Storm%27s_End,Lucerys_Velaryon,Outcome,Outcome
Siege_of_Rook%27s_Rest,Rhaenys_Targaryen_(Queen_Who_Never_Was),Outcome,Outcome
Siege_of_Rook%27s_Rest,Aegon_II_Targaryen,Outcome,Outcome
Fall_of_King%27s_Landing,Rhaenyra_Targaryen,Outcome,Outcome
Assassination_of_Aegon_II,Aegon_II_Targaryen,Outcome,Outcome
Assassination_of_Aegon_II,Aegon_III_Targaryen,Outcome,Outcome
Assassination_of_Aegon_II,Cregan_Stark,Outcome,Outcome
Assassination_of_Aegon_II,Dalton_Greyjoy,Outcome,Outcome
Retaking_of_Harrenhal,Rhaenyra_Targaryen,Outcome,Outcome
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Three-Eyed_Raven,Outcome,Outcome
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Hodor,Outcome,Outcome
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Leaf,Outcome,Outcome
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Bran_Stark,Outcome,Outcome
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Meera_Reed,Outcome,Outcome
Showdown_at_the_Tower_of_Joy,Gerold_Hightower,Outcome,Outcome
Showdown_at_the_Tower_of_Joy,Arthur_Dayne,Outcome,Outcome
Showdown_at_the_Tower_of_Joy,Lyanna_Stark,Outcome,Outcome
Showdown_at_the_Tower_of_Joy,Eddard_Stark,Outcome,Outcome
Showdown_at_the_Tower_of_Joy,Jon_Snow,Outcome,Outcome
Assault_on_Dragonstone,Viserys_Targaryen,Outcome,Outcome
Assault_on_Dragonstone,Daenerys_Targaryen,Outcome,Outcome
Skirmish_at_Littlefinger%27s_brothel,Jaime_Lannister,Outcome,Outcome
Massacre_of_the_Khalar_vezhven,Daenerys_Targaryen,Outcome,Outcome
First_Trial_by_Combat_of_Tyrion_Lannister,Vardis_Egen,Outcome,Outcome
Wildfire_Plot,Jaime_Lannister,Outcome,Outcome
Ironborn_Invasion_of_the_North,Theon_Greyjoy,Outcome,Outcome
Massacre_in_the_Red_Keep,Sansa_Stark,Outcome,Outcome
Massacre_in_the_Red_Keep,Arya_Stark,Outcome,Outcome
Massacre_in_the_Red_Keep,Joffrey_Baratheon,Outcome,Outcome
Massacre_in_the_Red_Keep,Robb_Stark,Outcome,Outcome
Assassination_of_Jon_Arryn,Lysa_Arryn,Outcome,Outcome
