Source,Target,Relation,Label
Daenerys_Targaryen%27s_invasion_of_Westeros,White_Walkers,Outcome,Outcome
Surrender_of_Moat_Cailin,Ironborn,Outcome,Outcome
Battle_at_the_Cave_of_the_Three-Eyed_Raven,Children_of_the_Forest,Outcome,Outcome
Breaching_of_the_Wall,White_Walkers,Outcome,Outcome
Breaching_of_the_Wall,White_Walkers,Outcome,Outcome
Breaching_of_the_Wall,Wights,Outcome,Outcome
Massacre_of_the_Khalar_vezhven,Dothraki,Outcome,Outcome
Battle_of_the_Seven_Stars,First_Men,Outcome,Outcome
Battle_of_the_Seven_Stars,Hill_tribes,Outcome,Outcome
Burning_of_Harrenhal,Ironborn,Outcome,Outcome
Second_Battle_of_Deepwood_Motte,Ironborn,Outcome,Outcome
Battle_of_the_Fist_of_the_First_Men,White_Walkers,Outcome,Outcome
Great_War,White_Walkers,Outcome,Outcome
Great_War,Wights,Outcome,Outcome
Parley_in_King%27s_Landing,White_Walkers,Outcome,Outcome
Parley_in_King%27s_Landing,Wights,Outcome,Outcome
Rhoynar_migration,Rhoynar,Outcome,Outcome
Wars_of_the_First_Men_and_the_Children_of_the_Forest,White_Walkers,Outcome,Outcome
Massacre_at_Hardhome,White_Walkers,Outcome,Outcome
Massacre_at_Hardhome,Free_Folk,Outcome,Outcome
Conquest_of_Dorne,Dornishmen,Outcome,Outcome
War_of_Conquest,Ironborn,Outcome,Outcome
Conflict_Beyond_the_Wall,White_Walkers,Outcome,Outcome
Conflict_Beyond_the_Wall,Wights,Outcome,Outcome
Conflict_Beyond_the_Wall,Free_Folk,Outcome,Outcome
Conflict_Beyond_the_Wall,White_Walkers,Outcome,Outcome
Conflict_Beyond_the_Wall,Children_of_the_Forest,Outcome,Outcome
Conflict_Beyond_the_Wall,Free_Folk,Outcome,Outcome
Andal_Invasion,Children_of_the_Forest,Outcome,Outcome
