Source,Target,Relation,Label
Northern_Allegiances_to_House_Stark,Sansa_Stark,Narratedby,Narrated by
The_North_(Histories_%26_Lore),Jon_Snow,Narratedby,Narrated by
The_Maester%27s_Chain,Qyburn,Narratedby,Narrated by
The_Field_of_Fire,Viserys_Targaryen,Narratedby,Narrated by
The_Field_of_Fire,Robb_Stark,Narratedby,Narrated by
The_Red_Keep,Joffrey_Baratheon,Narratedby,Narrated by
The_Free_Cities,Jorah_Mormont,Narratedby,Narrated by
The_Night%27s_Watch,Ygritte,Narratedby,Narrated by
The_Age_of_Heroes,Bran_Stark,Narratedby,Narrated by
The_Sack_of_King%27s_Landing,Robert_Baratheon,Narratedby,Narrated by
The_Sack_of_King%27s_Landing,Viserys_Targaryen,Narratedby,Narrated by
The_Sack_of_King%27s_Landing,Luwin,Narratedby,Narrated by
The_Sack_of_King%27s_Landing,Tywin_Lannister,Narratedby,Narrated by
The_Last_Dragons,Viserys_Targaryen,Narratedby,Narrated by
The_Last_Dragons,Jaime_Lannister,Narratedby,Narrated by
The_Last_Dragons,Sansa_Stark,Narratedby,Narrated by
The_Last_Dragons,Varys,Narratedby,Narrated by
"House_Martell,_Princes_of_Dorne",Varys,Narratedby,Narrated by
"House_Arryn,_Kings_of_the_Vale",Petyr_Baelish,Narratedby,Narrated by
"House_Stark,_The_Kings_of_Winter",Sansa_Stark,Narratedby,Narrated by
"House_Stark,_The_Kings_of_Winter",Viserys_Targaryen,Narratedby,Narrated by
"House_Lannister,_Kings_of_the_Rock_%26_House_Gardener,_Kings_of_the_Reach",Jaime_Lannister,Narratedby,Narrated by
"Aegon,_First_of_His_Name",Viserys_Targaryen,Narratedby,Narrated by
"House_Durrandon,_the_Storm_Kings",Varys,Narratedby,Narrated by
"House_Hoare,_Ironborn_Kings_of_the_Riverlands",Viserys_Targaryen,Narratedby,Narrated by
"House_Hoare,_Ironborn_Kings_of_the_Riverlands",Euron_Greyjoy,Narratedby,Narrated by
Invasion,Varys,Narratedby,Narrated by
Prophecies_of_the_Known_World,Samwell_Tarly,Narratedby,Narrated by
The_Hand_of_the_King,Petyr_Baelish,Narratedby,Narrated by
Highgarden_(Histories_%26_Lore),Randyll_Tarly,Narratedby,Narrated by
Casterly_Rock_(Histories_%26_Lore),Jaime_Lannister,Narratedby,Narrated by
The_Citadel_(Histories_%26_Lore),Samwell_Tarly,Narratedby,Narrated by
Great_Sept_of_Baelor_(Histories_%26_Lore),High_Sparrow,Narratedby,Narrated by
House_Tarly_(Histories_%26_Lore),Randyll_Tarly,Narratedby,Narrated by
Knights_of_the_Vale_(Histories_%26_Lore),Petyr_Baelish,Narratedby,Narrated by
House_Dayne_(Histories_%26_Lore),Eddard_Stark,Narratedby,Narrated by
The_Little_Birds,Varys,Narratedby,Narrated by
The_Dragonpit,Varys,Narratedby,Narrated by
The_Dragonpit,Qyburn,Narratedby,Narrated by
Oldtown_(Histories_%26_Lore),Pycelle,Narratedby,Narrated by
Oldtown_(Histories_%26_Lore),Qyburn,Narratedby,Narrated by
Riverrun_(Histories_%26_Lore),Brynden_Tully,Narratedby,Narrated by
Brotherhood_Without_Banners_(Histories_%26_Lore),Thoros,Narratedby,Narrated by
The_Dothraki,Jorah_Mormont,Narratedby,Narrated by
Children_of_the_Forest_vs._the_First_Men,Three-Eyed_Raven,Narratedby,Narrated by
Vaes_Dothrak_(Histories_%26_Lore),Jorah_Mormont,Narratedby,Narrated by
War_of_the_Ninepenny_Kings_(Histories_%26_Lore),Ray,Narratedby,Narrated by
The_Summer_Sea,Euron_Greyjoy,Narratedby,Narrated by
The_Kingsmoot_(Histories_%26_Lore),Euron_Greyjoy,Narratedby,Narrated by
The_Old_Way,Euron_Greyjoy,Narratedby,Narrated by
The_Great_Masters_of_Meereen,Missandei,Narratedby,Narrated by
Greyscale_%26_The_Stone_Men,Qyburn,Narratedby,Narrated by
The_Fighting_Pits_of_Meereen,Daario_Naharis,Narratedby,Narrated by
Dorne_(Histories_%26_Lore),Ellaria_Sand,Narratedby,Narrated by
The_Lord_Commanders,Alliser_Thorne,Narratedby,Narrated by
Winterfell_(Histories_%26_Lore),Roose_Bolton,Narratedby,Narrated by
The_Faceless_Men,Tycho_Nestoris,Narratedby,Narrated by
Braavos_(Histories_%26_Lore),Tycho_Nestoris,Narratedby,Narrated by
Volantis_(Histories_%26_Lore),Varys,Narratedby,Narrated by
The_Many-Faced_God,Jaqen_H%27ghar,Narratedby,Narrated by
The_Seven-Pointed_Star_(Histories_%26_Lore),High_Sparrow,Narratedby,Narrated by
Justice_of_the_Seven_Kingdoms,Bronn,Narratedby,Narrated by
Valyrian_Steel_(Histories_%26_Lore),Jorah_Mormont,Narratedby,Narrated by
The_Death_of_Kings,Varys,Narratedby,Narrated by
The_Kingsguard_(Histories_%26_Lore),Jaime_Lannister,Narratedby,Narrated by
The_Kingsguard_(Histories_%26_Lore),Bronn,Narratedby,Narrated by
The_Nations_of_the_North,Tormund,Narratedby,Narrated by
The_Wall_(Histories_%26_Lore),Samwell_Tarly,Narratedby,Narrated by
Sellswords_%26_Hedge_Knights,Bronn,Narratedby,Narrated by
The_Iron_Bank_of_Braavos_(Histories_%26_Lore),Tycho_Nestoris,Narratedby,Narrated by
House_Martell_(Histories_%26_Lore),Oberyn_Martell,Narratedby,Narrated by
The_Vale_(Histories_%26_Lore),Petyr_Baelish,Narratedby,Narrated by
House_Baelish_(Histories_%26_Lore),Petyr_Baelish,Narratedby,Narrated by
Poisons,Oberyn_Martell,Narratedby,Narrated by
The_Bastards_of_Westeros,Ellaria_Sand,Narratedby,Narrated by
The_Westerlands_(Histories_%26_Lore),Tywin_Lannister,Narratedby,Narrated by
The_Stormlands_(Histories_%26_Lore),Brienne_of_Tarth,Narratedby,Narrated by
The_Riverlands_(Histories_%26_Lore),Brynden_Tully,Narratedby,Narrated by
The_Lord_of_Light_(Histories_%26_Lore),Thoros,Narratedby,Narrated by
House_Tully_(Histories_%26_Lore),Brynden_Tully,Narratedby,Narrated by
Wargs_and_the_Sight,Bran_Stark,Narratedby,Narrated by
House_Frey_(Histories_%26_Lore),Catelyn_Stark,Narratedby,Narrated by
House_Reed_(Histories_%26_Lore),Meera_Reed,Narratedby,Narrated by
Old_Ghis_%26_Slaver%27s_Bay,Jorah_Mormont,Narratedby,Narrated by
The_Unsullied,Jorah_Mormont,Narratedby,Narrated by
Qarth_(Histories_%26_Lore),Xaro_Xhoan_Daxos,Narratedby,Narrated by
Harrenhal_(Histories_%26_Lore),Catelyn_Stark,Narratedby,Narrated by
Dragonstone_(Histories_%26_Lore),Stannis_Baratheon,Narratedby,Narrated by
The_Free_Folk,Ygritte,Narratedby,Narrated by
The_Alchemists%27_Guild,Hallyne,Narratedby,Narrated by
House_Clegane_(Histories_%26_Lore),Sandor_Clegane,Narratedby,Narrated by
House_Greyjoy_(Histories_%26_Lore),Theon_Greyjoy,Narratedby,Narrated by
House_Greyjoy_(Histories_%26_Lore),Yara_Greyjoy,Narratedby,Narrated by
House_Arryn_(Complete_Guide_to_Westeros),Catelyn_Stark,Narratedby,Narrated by
House_Targaryen_(Complete_Guide_to_Westeros),Viserys_Targaryen,Narratedby,Narrated by
House_Lannister_(Complete_Guide_to_Westeros),Tywin_Lannister,Narratedby,Narrated by
Robert%27s_Rebellion_(Complete_Guide_to_Westeros),Robert_Baratheon,Narratedby,Narrated by
Robert%27s_Rebellion_(Complete_Guide_to_Westeros),Viserys_Targaryen,Narratedby,Narrated by
Valyria_and_the_Dragons,Viserys_Targaryen,Narratedby,Narrated by
House_Baratheon_(Complete_Guide_to_Westeros),Robert_Baratheon,Narratedby,Narrated by
"The_Children_of_the_Forest,_the_First_Men,_and_the_Andals",Bran_Stark,Narratedby,Narrated by
House_Bolton_(Histories_%26_Lore),Roose_Bolton,Narratedby,Narrated by
Dragons_(Histories_%26_Lore),Pycelle,Narratedby,Narrated by
The_Reach_(Histories_%26_Lore),Margaery_Tyrell,Narratedby,Narrated by
House_Tyrell_(Histories_%26_Lore),Margaery_Tyrell,Narratedby,Narrated by
House_Stark_(Complete_Guide_to_Westeros),Bran_Stark,Narratedby,Narrated by
