Source,Target,Relation,Label
Northern_Allegiances_to_House_Stark,Season_6,SeenOrMentioned,Season(s)
The_North_(Histories_%26_Lore),Season_3,SeenOrMentioned,Season(s)
The_Maester%27s_Chain,Season_4,SeenOrMentioned,Season(s)
The_Field_of_Fire,Season_1,SeenOrMentioned,Season(s)
The_Red_Keep,Season_3,SeenOrMentioned,Season(s)
The_Free_Cities,Season_2,SeenOrMentioned,Season(s)
The_Night%27s_Watch,Season_2,SeenOrMentioned,Season(s)
The_Age_of_Heroes,Season_1,SeenOrMentioned,Season(s)
The_Sack_of_King%27s_Landing,Season_1,SeenOrMentioned,Season(s)
The_Last_Dragons,Season_7,SeenOrMentioned,Season(s)
"House_Martell,_Princes_of_Dorne",Season_7,SeenOrMentioned,Season(s)
"House_Arryn,_Kings_of_the_Vale",Season_7,SeenOrMentioned,Season(s)
"House_Stark,_The_Kings_of_Winter",Season_7,SeenOrMentioned,Season(s)
"House_Lannister,_Kings_of_the_Rock_%26_House_Gardener,_Kings_of_the_Reach",Season_7,SeenOrMentioned,Season(s)
"Aegon,_First_of_His_Name",Season_7,SeenOrMentioned,Season(s)
"House_Durrandon,_the_Storm_Kings",Season_7,SeenOrMentioned,Season(s)
"House_Hoare,_Ironborn_Kings_of_the_Riverlands",Season_7,SeenOrMentioned,Season(s)
Invasion,Season_7,SeenOrMentioned,Season(s)
Prophecies_of_the_Known_World,Season_7,SeenOrMentioned,Season(s)
The_Hand_of_the_King,Season_7,SeenOrMentioned,Season(s)
Highgarden_(Histories_%26_Lore),Season_7,SeenOrMentioned,Season(s)
Casterly_Rock_(Histories_%26_Lore),Season_7,SeenOrMentioned,Season(s)
The_Citadel_(Histories_%26_Lore),Season_7,SeenOrMentioned,Season(s)
Great_Sept_of_Baelor_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
House_Tarly_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
Knights_of_the_Vale_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
House_Dayne_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
The_Little_Birds,Season_6,SeenOrMentioned,Season(s)
The_Dragonpit,Season_7,SeenOrMentioned,Season(s)
Oldtown_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
Riverrun_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
Brotherhood_Without_Banners_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
The_Dothraki,Season_6,SeenOrMentioned,Season(s)
Children_of_the_Forest_vs._the_First_Men,Season_6,SeenOrMentioned,Season(s)
Vaes_Dothrak_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
War_of_the_Ninepenny_Kings_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
The_Summer_Sea,Season_6,SeenOrMentioned,Season(s)
The_Kingsmoot_(Histories_%26_Lore),Season_6,SeenOrMentioned,Season(s)
The_Old_Way,Season_6,SeenOrMentioned,Season(s)
The_Great_Masters_of_Meereen,Season_5,SeenOrMentioned,Season(s)
Greyscale_%26_The_Stone_Men,Season_5,SeenOrMentioned,Season(s)
The_Fighting_Pits_of_Meereen,Season_5,SeenOrMentioned,Season(s)
Dorne_(Histories_%26_Lore),Season_5,SeenOrMentioned,Season(s)
The_Lord_Commanders,Season_5,SeenOrMentioned,Season(s)
Winterfell_(Histories_%26_Lore),Season_5,SeenOrMentioned,Season(s)
The_Faceless_Men,Season_5,SeenOrMentioned,Season(s)
Braavos_(Histories_%26_Lore),Season_5,SeenOrMentioned,Season(s)
Volantis_(Histories_%26_Lore),Season_5,SeenOrMentioned,Season(s)
The_Many-Faced_God,Season_5,SeenOrMentioned,Season(s)
The_Seven-Pointed_Star_(Histories_%26_Lore),Season_5,SeenOrMentioned,Season(s)
Justice_of_the_Seven_Kingdoms,Season_4,SeenOrMentioned,Season(s)
Valyrian_Steel_(Histories_%26_Lore),Season_4,SeenOrMentioned,Season(s)
The_Death_of_Kings,Season_4,SeenOrMentioned,Season(s)
The_Kingsguard_(Histories_%26_Lore),Season_4,SeenOrMentioned,Season(s)
The_Nations_of_the_North,Season_4,SeenOrMentioned,Season(s)
The_Wall_(Histories_%26_Lore),Season_4,SeenOrMentioned,Season(s)
Sellswords_%26_Hedge_Knights,Season_4,SeenOrMentioned,Season(s)
The_Iron_Bank_of_Braavos_(Histories_%26_Lore),Season_4,SeenOrMentioned,Season(s)
