Source,Target,Relation,Label
House_Baratheon_of_Dragonstone,Battle_of_the_Blackwater,Militarystrength,Military strength
House_Baratheon_of_Dragonstone,Battle_of_Winterfell,Militarystrength,Military strength
House_Whitehill,Battle_of_Ironrath,Militarystrength,Military strength
House_Karstark,Battle_of_the_Bastards,Militarystrength,Military strength
House_Forrester,Red_Wedding,Militarystrength,Military strength
House_Forrester,Battle_of_Ironrath,Militarystrength,Military strength
House_Bolton,Battle_of_Winterfell,Militarystrength,Military strength
House_Bolton,Battle_of_the_Bastards,Militarystrength,Military strength
House_Mormont,Battle_of_the_Bastards,Militarystrength,Military strength
House_Tully,Second_Siege_of_Riverrun,Militarystrength,Military strength
House_Tully,Red_Wedding,Militarystrength,Military strength
House_Targaryen,Battle_of_the_Goldroad,Militarystrength,Military strength
House_Stark,War_of_the_Five_Kings,Militarystrength,Military strength
House_Stark,Battle_of_the_Bastards,Militarystrength,Military strength
House_Stark,Battle_of_the_Bastards,Militarystrength,Military strength
House_Stark,Battle_of_the_Bastards,Militarystrength,Military strength
