Source,Target,Relation,Label
House_Swyft,House_Lannister,Allegiance,Allegiance
House_Fossoway,House_Baratheon_of_Dragonstone,Allegiance,Allegiance
House_Fossoway,House_Tyrell,Allegiance,Allegiance
House_Brune,House_Baratheon_of_King%27s_Landing,Allegiance,Allegiance
House_Whent,House_Tully,Allegiance,Allegiance
House_Tarbeck,House_Reyne,Allegiance,Allegiance
House_Tarbeck,House_Lannister,Allegiance,Allegiance
House_Greenfield,House_Lannister,Allegiance,Allegiance
House_Lorch,House_Lannister,Allegiance,Allegiance
House_Hetherspoon,House_Lannister,Allegiance,Allegiance
House_Yarwyck,House_Lannister,Allegiance,Allegiance
House_Tollett,House_Royce,Allegiance,Allegiance
House_Egen,House_Arryn,Allegiance,Allegiance
House_Strong,House_Tully,Allegiance,Allegiance
House_Hunter,House_Arryn,Allegiance,Allegiance
House_Moore,House_Arryn,Allegiance,Allegiance
House_Qoherys,House_Tully,Allegiance,Allegiance
House_Qoherys,House_Targaryen,Allegiance,Allegiance
House_Lothston,House_Tully,Allegiance,Allegiance
House_Harroway,House_Tully,Allegiance,Allegiance
House_Darry,House_Tully,Allegiance,Allegiance
House_Wode,House_Whent,Allegiance,Allegiance
House_Haigh,House_Baratheon_of_Dragonstone,Allegiance,Allegiance
House_Haigh,House_Frey,Allegiance,Allegiance
House_Blacktyde,House_Greyjoy,Allegiance,Allegiance
House_Kenning,House_Harlaw,Allegiance,Allegiance
House_Humble,House_Greyjoy,Allegiance,Allegiance
House_Sparr,House_Greyjoy,Allegiance,Allegiance
House_Merlyn,House_Greyjoy,Allegiance,Allegiance
House_Harlaw,House_Greyjoy,Allegiance,Allegiance
House_Harlaw,House_Kenning,Allegiance,Allegiance
House_Goodbrother,House_Greyjoy,Allegiance,Allegiance
House_Drumm,House_Greyjoy,Allegiance,Allegiance
House_Penrose,House_Baratheon,Allegiance,Allegiance
House_of_Loraq,House_Targaryen,Allegiance,Allegiance
House_Degore,House_Forrester,Allegiance,Allegiance
House_Degore,House_Whitehill,Allegiance,Allegiance
House_Cassel,House_Stark,Allegiance,Allegiance
House_Swann,House_Baratheon,Allegiance,Allegiance
House_Grandison,House_Baratheon,Allegiance,Allegiance
