Source,Target,Relation,Label
House_Swyft,Cornfield,AssociatedLocation,Seat
House_Swyft,The_Westerlands,AssociatedLocation,Region
House_Fossoway,Cider_Hall,AssociatedLocation,Seat
House_Fossoway,The_Reach,AssociatedLocation,Region
House_Baelish,Harrenhal,AssociatedLocation,Seat
House_Baelish,The_Riverlands,AssociatedLocation,Region
House_Brune,The_Crownlands,AssociatedLocation,Region
House_Whent,Harrenhal,AssociatedLocation,Seat
House_Whent,The_Riverlands,AssociatedLocation,Region
House_Tarbeck,Tarbeck_Hall,AssociatedLocation,Seat
House_Tarbeck,The_Westerlands,AssociatedLocation,Region
House_Casterly,Casterly_Rock,AssociatedLocation,Seat
House_Casterly,The_Westerlands,AssociatedLocation,Region
House_Greenfield,The_Westerlands,AssociatedLocation,Region
House_Hetherspoon,The_Westerlands,AssociatedLocation,Region
House_Strong,Harrenhal,AssociatedLocation,Seat
House_Hunter,Longbow_Hall,AssociatedLocation,Seat
House_Hunter,The_Vale_of_Arryn,AssociatedLocation,Region
House_Qoherys,Harrenhal,AssociatedLocation,Seat
House_Qoherys,The_Riverlands,AssociatedLocation,Region
House_Mudd,The_Riverlands,AssociatedLocation,Region
House_Lothston,Harrenhal,AssociatedLocation,Seat
House_Justman,The_Riverlands,AssociatedLocation,Region
House_Harroway,Harrenhal,AssociatedLocation,Seat
House_Darry,The_Riverlands,AssociatedLocation,Region
House_Wode,The_Riverlands,AssociatedLocation,Region
House_Haigh,The_Riverlands,AssociatedLocation,Region
House_Blacktyde,Iron_Islands,AssociatedLocation,Region
House_Greyiron,Iron_Islands,AssociatedLocation,Region
House_Kenning,Iron_Islands,AssociatedLocation,Region
House_Humble,Iron_Islands,AssociatedLocation,Region
House_Sparr,Iron_Islands,AssociatedLocation,Region
House_Merlyn,Iron_Islands,AssociatedLocation,Region
House_Harlaw,Ten_Towers,AssociatedLocation,Seat
House_Harlaw,Iron_Islands,AssociatedLocation,Region
House_Goodbrother,Hammerhorn,AssociatedLocation,Seat
House_Goodbrother,Iron_Islands,AssociatedLocation,Region
House_Drumm,Iron_Islands,AssociatedLocation,Region
House_Penrose,The_Stormlands,AssociatedLocation,Region
House_of_Loraq,Meereen,AssociatedLocation,Seat
House_of_Loraq,Slaver%27s_Bay,AssociatedLocation,Region
House_Degore,The_North,AssociatedLocation,Region
House_Cassel,The_North,AssociatedLocation,Region
House_Wylde,Rain_House,AssociatedLocation,Seat
House_Wylde,The_Stormlands,AssociatedLocation,Region
House_Swann,Stonehelm,AssociatedLocation,Seat
House_Swann,Dornish_Marches,AssociatedLocation,Region
House_Grandison,The_Stormlands,AssociatedLocation,Region
House_Grayson,The_North,AssociatedLocation,Region
House_Elliver,The_North,AssociatedLocation,Region
House_Poole,The_North,AssociatedLocation,Region
House_Warrick,The_North,AssociatedLocation,Region
House_Brownbarrow,The_North,AssociatedLocation,Region
House_Mazin,The_North,AssociatedLocation,Region
House_Marsh,The_Neck,AssociatedLocation,Region
House_Marsh,The_North,AssociatedLocation,Region
House_Holt,The_North,AssociatedLocation,Region
House_Flint,Widow%27s_Watch,AssociatedLocation,Seat
House_Flint,The_North,AssociatedLocation,Region
House_Toyne,The_Stormlands,AssociatedLocation,Region
House_Connington,Griffin%27s_Roost,AssociatedLocation,Seat
House_Connington,The_Stormlands,AssociatedLocation,Region
House_Dondarrion,Blackhaven,AssociatedLocation,Seat
House_Dondarrion,The_Stormlands,AssociatedLocation,Region
House_Caron,Nightsong,AssociatedLocation,Seat
House_Caron,Dornish_Marches,AssociatedLocation,Region
House_Trant,The_Stormlands,AssociatedLocation,Region
House_Tarth,Evenfall_Hall,AssociatedLocation,Seat
House_Tarth,The_Stormlands,AssociatedLocation,Region
House_Peasebury,The_Stormlands,AssociatedLocation,Region
House_Musgood,The_Stormlands,AssociatedLocation,Region
House_Morrigen,Crow%27s_Nest,AssociatedLocation,Seat
House_Cole,Blackhaven,AssociatedLocation,Seat
House_Cole,The_Stormlands,AssociatedLocation,Region
House_Errol,Haystack_Hall,AssociatedLocation,Seat
House_Errol,The_Stormlands,AssociatedLocation,Region
House_Blackmont,Blackmont,AssociatedLocation,Seat
House_Blackmont,Dorne,AssociatedLocation,Region
House_Manwoody,Kingsgrave,AssociatedLocation,Seat
House_Manwoody,Dorne,AssociatedLocation,Region
House_Qorgyle,Sandstone,AssociatedLocation,Seat
House_Qorgyle,Dorne,AssociatedLocation,Region
House_Jordayne,The_Tor,AssociatedLocation,Seat
House_Jordayne,Dorne,AssociatedLocation,Region
House_Allyrion,Godsgrace,AssociatedLocation,Seat
House_Allyrion,Dorne,AssociatedLocation,Region
House_Dalt,Lemonwood,AssociatedLocation,Seat
House_Dalt,Dorne,AssociatedLocation,Region
House_Santagar,Dorne,AssociatedLocation,Region
House_Gargalen,Saltshore,AssociatedLocation,Seat
House_Gargalen,Dorne,AssociatedLocation,Region
House_Tallhart,Torrhen%27s_Square,AssociatedLocation,Seat
House_Tallhart,The_North,AssociatedLocation,Region
House_Botley,Lordsport,AssociatedLocation,Seat
House_Botley,Iron_Islands,AssociatedLocation,Region
House_Smallwood,Acorn_Hall,AssociatedLocation,Seat
House_Mooton,Maidenpool,AssociatedLocation,Seat
House_Cargyll,The_Crownlands,AssociatedLocation,Region
House_Velaryon,Driftmark,AssociatedLocation,Seat
House_Velaryon,The_Crownlands,AssociatedLocation,Region
House_Velaryon,Valyrian_Peninsula,AssociatedLocation,Region
House_Slynt,Harrenhal,AssociatedLocation,Seat
House_Slynt,The_Riverlands,AssociatedLocation,Region
House_Rykker,Duskendale,AssociatedLocation,Seat
House_Rykker,The_Crownlands,AssociatedLocation,Region
House_Gaunt,The_Crownlands,AssociatedLocation,Region
House_Chelsted,The_Crownlands,AssociatedLocation,Region
House_Blount,The_Crownlands,AssociatedLocation,Region
House_Hollard,The_Crownlands,AssociatedLocation,Region
