Source,Target,Relation,Label
House_Tarbeck,Faith_of_the_Seven,Religion,Religion
House_Casterly,Old_Gods_of_the_Forest,Religion,Religion
House_Greyiron,Drowned_God,Religion,Religion
House_Drumm,Drowned_God,Religion,Religion
House_Degore,Old_Gods_of_the_Forest,Religion,Religion
House_Warrick,Faith_of_the_Seven,Religion,Religion
House_Flint,Old_Gods_of_the_Forest,Religion,Religion
House_Lonmouth,Faith_of_the_Seven,Religion,Religion
House_Chelsted,Faith_of_the_Seven,Religion,Religion
House_Rowan,Faith_of_the_Seven,Religion,Religion
House_Merryweather,Faith_of_the_Seven,Religion,Religion
House_Branfield,Faith_of_the_Seven,Religion,Religion
House_Serrett,Faith_of_the_Seven,Religion,Religion
House_Durrandon,Old_Gods_of_the_Forest,Religion,Religion
House_Durrandon,Faith_of_the_Seven,Religion,Religion
House_Frost,Old_Gods_of_the_Forest,Religion,Religion
House_Amber,Old_Gods_of_the_Forest,Religion,Religion
House_Towers_(North),Old_Gods_of_the_Forest,Religion,Religion
House_Greenwood,Old_Gods_of_the_Forest,Religion,Religion
House_Reyne,Faith_of_the_Seven,Religion,Religion
House_Hoare,Drowned_God,Religion,Religion
House_Gardener,Old_Gods_of_the_Forest,Religion,Religion
House_Gardener,Faith_of_the_Seven,Religion,Religion
House_Baratheon_of_Dragonstone,R%27hllor,Religion,Religion
House_Baratheon_of_King%27s_Landing,Faith_of_the_Seven,Religion,Religion
House_Whitehill,Faith_of_the_Seven,Religion,Religion
House_Bracken,Faith_of_the_Seven,Religion,Religion
House_Tarly,Faith_of_the_Seven,Religion,Religion
House_Blackwood,Old_Gods_of_the_Forest,Religion,Religion
House_Cerwyn,Old_Gods_of_the_Forest,Religion,Religion
House_Hornwood,Old_Gods_of_the_Forest,Religion,Religion
House_Manderly,Faith_of_the_Seven,Religion,Religion
House_Forrester,Old_Gods_of_the_Forest,Religion,Religion
House_Bolton,Old_Gods_of_the_Forest,Religion,Religion
House_Reed,Old_Gods_of_the_Forest,Religion,Religion
House_Mormont,Old_Gods_of_the_Forest,Religion,Religion
House_Baratheon,Faith_of_the_Seven,Religion,Religion
House_Frey,Faith_of_the_Seven,Religion,Religion
House_Greyjoy,Drowned_God,Religion,Religion
House_Arryn,Faith_of_the_Seven,Religion,Religion
House_Tully,Faith_of_the_Seven,Religion,Religion
House_Templeton,Faith_of_the_Seven,Religion,Religion
House_Lannister,Faith_of_the_Seven,Religion,Religion
House_Stark,Old_Gods_of_the_Forest,Religion,Religion
House_Stark,Faith_of_the_Seven,Religion,Religion
