Source,Target,Relation,Label
House_Baelish,Baelish_(founder),Founder,Founder
House_Casterly,Casterly_(founder),Founder,Founder
House_Qoherys,Quenton_Qoherys,Founder,Founder
House_Slynt,Janos_Slynt,Founder,Founder
House_Clegane,Clegane_(founder),Founder,Founder
House_Durrandon,Durran,Founder,Founder
House_Gardener,Garth_Gardener,Founder,Founder
House_Blackfyre,Daemon_I_Blackfyre,Founder,Founder
House_Baratheon_of_Dragonstone,Stannis_Baratheon,Founder,Founder
House_Baratheon_of_King%27s_Landing,Robert_Baratheon,Founder,Founder
House_Karstark,Karlon_Stark,Founder,Founder
House_Forrester,Gerhard_Forrester,Founder,Founder
House_Baratheon,Orys_Baratheon,Founder,Founder
House_Frey,Frey_(founder),Founder,Founder
House_Greyjoy,Grey_King,Founder,Founder
House_Tully,Axel_Tully,Founder,Founder
House_Tyrell,Alester_Tyrell,Founder,Founder
House_Stark,Brandon_Stark_(the_Builder),Founder,Founder
