Source,Target,Relation,Label
House_Tarth,Brienne_of_Tarth,Heir,Heir
House_Marbrand,Addam_Marbrand,Heir,Heir
House_Glenmore,Elaena_Glenmore,Heir,Heir
House_Whitehill,Torrhen_Whitehill,Heir,Heir
House_Whitehill,Gryff_Whitehill,Heir,Heir
House_Stokeworth,Falyse_Stokeworth,Heir,Heir
House_Forrester,Ryon_Forrester,Heir,Heir
House_Glover,Gawen_Glover,Heir,Heir
House_Reed,Meera_Reed,Heir,Heir
House_Tully,Tully_(son_of_Edmure),Heir,Heir
House_Targaryen,Daenerys_Targaryen,Heir,Heir
House_Lannister,Jaime_Lannister,Heir,Heir
House_Stark,Sansa_Stark,Heir,Heir
House_Stark,Arya_Stark,Heir,Heir
