Source,Target,Relation,Label
House_Swyft,Harys_Swyft,Lord,Lord
House_Hunter,Eon_Hunter,Lord,Lord
House_Degore,Royland_Degore,Lord,Lord
House_Mazin,Mazin_(Lord),Lord,Lord
House_Dormund,Marlin_Dormund,Lord,Lord
House_Seaworth,Davos_Seaworth,Lord,Lord
House_Dondarrion,Beric_Dondarrion,Lord,Lord
House_Tarth,Selwyn_Tarth,Lord,Lord
House_Blackmont,Blackmont_(Lord),Lord,Lord
House_Dalt,Deziel_Dalt,Lord,Lord
House_Ashford,Ashford_(Lord),Lord,Lord
House_Lefford,Leo_Lefford,Lord,Lord
House_Tarwick,Garibald_Tarwick,Lord,Lord
House_Crakehall,Desmond_Crakehall,Lord,Lord
House_Clegane,Sandor_Clegane,Lord,Lord
House_Marbrand,Damon_Marbrand,Lord,Lord
House_Rosby,Gyles_Rosby,Lord,Lord
House_Glenmore,Glenmore_(Lord),Lord,Lord
House_Dustin,Barbrey_Dustin,Lord,Lord
House_Whitehill,Ludd_Whitehill,Lord,Lord
House_Whitehill,Torrhen_Whitehill,Lord,Lord
House_Staunton,Staunton_(Lord),Lord,Lord
House_Waynwood,Anya_Waynwood,Lord,Lord
House_Mallister,Jason_Mallister,Lord,Lord
House_Bracken,Jonos_Bracken,Lord,Lord
House_Royce,Yohn_Royce,Lord,Lord
House_Stokeworth,Tanda_Stokeworth,Lord,Lord
House_Redwyne,Paxter_Redwyne,Lord,Lord
House_Tarly,Talla_Tarly,Lord,Lord
House_Karstark,Alys_Karstark,Lord,Lord
House_Cerwyn,Cley_Cerwyn,Lord,Lord
House_Umber,Ned_Umber,Lord,Lord
House_Manderly,Wyman_Manderly,Lord,Lord
House_Forrester,Rodrik_Forrester,Lord,Lord
House_Forrester,Asher_Forrester,Lord,Lord
House_Glover,Robett_Glover,Lord,Lord
House_Reed,Howland_Reed,Lord,Lord
House_Mormont,Lyanna_Mormont,Lord,Lord
House_Martell,Ellaria_Sand,Lord,Lord
House_Greyjoy,Euron_Greyjoy,Lord,Lord
House_Arryn,Robin_Arryn,Lord,Lord
House_Tully,Edmure_Tully,Lord,Lord
House_Targaryen,Daenerys_Targaryen,Lord,Lord
House_Targaryen,Jon_Snow,Lord,Lord
House_Lannister,Cersei_Lannister,Lord,Lord
House_Lannister,Tyrion_Lannister,Lord,Lord
House_Stark,Jon_Snow,Lord,Lord
House_Stark,Sansa_Stark,Lord,Lord
