Source,Target,Relation,Label
House_Tarth,Oathkeeper_(sword),Ancestralweapon,Ancestral weapon
House_Corbray,Lady_Forlorn,Ancestralweapon,Ancestral weapon
House_Dayne,Dawn,Ancestralweapon,Ancestral weapon
House_Blackfyre,Blackfyre,Ancestralweapon,Ancestral weapon
House_Baratheon_of_Dragonstone,Lightbringer,Ancestralweapon,Ancestral weapon
House_Baratheon_of_King%27s_Landing,Widow%27s_Wail,Ancestralweapon,Ancestral weapon
House_Tarly,Heartsbane,Ancestralweapon,Ancestral weapon
House_Forrester,Forrester_greatsword,Ancestralweapon,Ancestral weapon
House_Mormont,Longclaw,Ancestralweapon,Ancestral weapon
House_Targaryen,Blackfyre,Ancestralweapon,Ancestral weapon
House_Targaryen,Dark_Sister,Ancestralweapon,Ancestral weapon
House_Lannister,Brightroar,Ancestralweapon,Ancestral weapon
House_Lannister,Oathkeeper_(sword),Ancestralweapon,Ancestral weapon
House_Lannister,Widow%27s_Wail,Ancestralweapon,Ancestral weapon
House_Stark,Longclaw,Ancestralweapon,Ancestral weapon
House_Stark,Ice,Ancestralweapon,Ancestral weapon
