Source,Target,Relation,Label
Dragonpit,House_Targaryen,Rulers,Rulers
Clegane%27s_Keep,House_Clegane,Rulers,Rulers
Crakehall,House_Crakehall,Rulers,Rulers
Cornfield,House_Swyft,Rulers,Rulers
Sarsfield,House_Sarsfield,Rulers,Rulers
Ashemark,House_Marbrand,Rulers,Rulers
The_Crag,House_Westerling,Rulers,Rulers
Unnamed_Baelish_castle,House_Baelish,Rulers,Rulers
Tarbeck_Hall,House_Tarbeck,Rulers,Rulers
Kingdom_of_the_Mountain_and_the_Vale,House_Arryn,Rulers,Rulers
Hammerhorn,House_Goodbrother,Rulers,Rulers
The_Hightower,House_Hightower,Rulers,Rulers
Rain_House,House_Wylde,Rulers,Rulers
Estermont,House_Estermont,Rulers,Rulers
Blackhaven,House_Dondarrion,Rulers,Rulers
Crow%27s_Nest,House_Morrigen,Rulers,Rulers
Stonehelm,House_Swann,Rulers,Rulers
Griffin%27s_Roost,House_Connington,Rulers,Rulers
Evenfall_Hall,House_Tarth,Rulers,Rulers
Lemonwood,House_Dalt,Rulers,Rulers
Godsgrace,House_Allyrion,Rulers,Rulers
The_Tor,House_Jordayne,Rulers,Rulers
Sandstone,House_Qorgyle,Rulers,Rulers
Kingsgrave,House_Manwoody,Rulers,Rulers
Blackmont,House_Blackmont,Rulers,Rulers
Sunflower_Hall,House_Cuy,Rulers,Rulers
Blackcrown,House_Bulwer,Rulers,Rulers
Brightwater_Keep,House_Florent,Rulers,Rulers
Goldengrove,House_Rowan,Rulers,Rulers
Battle_Isle,House_Hightower,Rulers,Rulers
Honeyholt,House_Beesbury,Rulers,Rulers
Long_Table,House_Merryweather,Rulers,Rulers
Kingdom_of_the_Stormlands,House_Durrandon,Rulers,Rulers
Maegor%27s_Holdfast,House_Lannister,Rulers,Rulers
Maegor%27s_Holdfast,House_Baratheon_of_King%27s_Landing,Rulers,Rulers
Maegor%27s_Holdfast,House_Targaryen,Rulers,Rulers
Haystack_Hall,House_Errol,Rulers,Rulers
Cider_Hall,House_Fossoway,Rulers,Rulers
Greenstone,House_Estermont,Rulers,Rulers
Lord_of_Riverrun,House_Tully,Rulers,Rulers
Lord_of_Riverrun,House_Frey,Rulers,Rulers
Longbow_Hall,House_Hunter,Rulers,Rulers
Ironoaks,House_Waynwood,Rulers,Rulers
Ashford,House_Ashford,Rulers,Rulers
Old_Oak,House_Oakheart,Rulers,Rulers
Nightsong,House_Caron,Rulers,Rulers
Yronwood,House_Yronwood,Rulers,Rulers
Hellholt,House_Uller,Rulers,Rulers
Ten_Towers,House_Harlaw,Rulers,Rulers
Kingdom_of_the_River_and_the_Hills,House_Mudd,Rulers,Rulers
Kingdom_of_the_River_and_the_Hills,House_Justman,Rulers,Rulers
Kingdom_of_the_Reach,House_Gardener,Rulers,Rulers
Kingdom_of_the_Rock,House_Lannister,Rulers,Rulers
Principality_of_Dorne,House_Martell,Rulers,Rulers
Summerhall,House_Targaryen,Rulers,Rulers
Maidenpool,House_Mooton,Rulers,Rulers
Kingdom_of_the_Isles_and_the_Rivers,House_Hoare,Rulers,Rulers
Acorn_Hall,House_Smallwood,Rulers,Rulers
Raventree_Hall,House_Blackwood,Rulers,Rulers
Stone_Hedge,House_Bracken,Rulers,Rulers
Rillwater_Crossing,House_Glenmore,Rulers,Rulers
Greywater_Watch,House_Reed,Rulers,Rulers
Winter_town,House_Stark,Rulers,Rulers
Winter_town,House_Bolton,Rulers,Rulers
Seagard,House_Mallister,Rulers,Rulers
The_Eyrie,House_Arryn,Rulers,Rulers
Silverhill,House_Serrett,Rulers,Rulers
Barrowton,House_Dustin,Rulers,Rulers
Last_Hearth,House_Umber,Rulers,Rulers
Karhold,House_Karstark,Rulers,Rulers
Driftmark,House_Velaryon,Rulers,Rulers
Duskendale,House_Rykker,Rulers,Rulers
Rosby,House_Rosby,Rulers,Rulers
Antlers,House_Buckwell,Rulers,Rulers
Chamber_of_the_Painted_Table,House_Targaryen,Rulers,Rulers
Chamber_of_the_Painted_Table,House_Baratheon_of_Dragonstone,Rulers,Rulers
Kingdom_of_the_Iron_Islands,House_Greyjoy,Rulers,Rulers
North_Grove,House_Forrester,Rulers,Rulers
Castle_Cerwyn,House_Cerwyn,Rulers,Rulers
Hornwood,House_Hornwood,Rulers,Rulers
Torrhen%27s_Square,House_Tallhart,Rulers,Rulers
The_Citadel,House_Hightower,Rulers,Rulers
Red_Keep,House_Lannister,Rulers,Rulers
Starfall,House_Dayne,Rulers,Rulers
Kingdom_of_the_North,House_Stark,Rulers,Rulers
Seven_Kingdoms,House_Lannister,Rulers,Rulers
Seven_Kingdoms,House_Targaryen,Rulers,Rulers
Seven_Kingdoms,House_Baratheon_of_King%27s_Landing,Rulers,Rulers
Dragonstone_(island),House_Targaryen,Rulers,Rulers
Dragonstone_(island),House_Baratheon_of_Dragonstone,Rulers,Rulers
Daznak%27s_Pit,House_Targaryen,Rulers,Rulers
Dragonstone_(castle),House_Targaryen,Rulers,Rulers
Dragonstone_(castle),House_Baratheon_of_Dragonstone,Rulers,Rulers
The_Neck,House_Reed,Rulers,Rulers
Meereen,House_Targaryen,Rulers,Rulers
Slaver%27s_Bay,House_Targaryen,Rulers,Rulers
Water_Gardens,House_Martell,Rulers,Rulers
Sunspear,House_Martell,Rulers,Rulers
Dornish_Marches,House_Caron,Rulers,Rulers
Tarth,House_Tarth,Rulers,Rulers
Storm%27s_End,House_Baratheon_of_King%27s_Landing,Rulers,Rulers
Storm%27s_End,House_Baratheon_of_Dragonstone,Rulers,Rulers
Storm%27s_End,House_Durrandon,Rulers,Rulers
Dorne,House_Martell,Rulers,Rulers
The_Stormlands,House_Baratheon_of_King%27s_Landing,Rulers,Rulers
The_Stormlands,House_Baratheon_of_Dragonstone,Rulers,Rulers
The_Stormlands,House_Durrandon,Rulers,Rulers
Lordsport,House_Botley,Rulers,Rulers
Pyke_(castle),House_Greyjoy,Rulers,Rulers
Iron_Islands,House_Greyjoy,Rulers,Rulers
Iron_Islands,House_Hoare,Rulers,Rulers
Castamere,House_Reyne,Rulers,Rulers
Golden_Tooth,House_Lefford,Rulers,Rulers
Lannisport,House_Lannister_of_Lannisport,Rulers,Rulers
The_Westerlands,House_Lannister,Rulers,Rulers
Runestone,House_Royce,Rulers,Rulers
Casterly_Rock,House_Lannister,Rulers,Rulers
Casterly_Rock,House_Targaryen,Rulers,Rulers
Casterly_Rock,House_Casterly,Rulers,Rulers
Bloody_Gate,House_Arryn,Rulers,Rulers
The_Vale_of_Arryn,House_Arryn,Rulers,Rulers
The_Arbor,House_Redwyne,Rulers,Rulers
Horn_Hill,House_Tarly,Rulers,Rulers
Highgarden,House_Tyrell,Rulers,Rulers
