Source,Target,Relation,Label
Kingdom_of_the_Mountain_and_the_Vale,The_Eyrie,Capital,Capital
Valyrian_Peninsula,Old_Valyria,Capital,Capital
Kingdom_of_the_Stormlands,Storm%27s_End,Capital,Capital
Kingdom_of_the_Reach,Highgarden,Capital,Capital
Kingdom_of_the_Rock,Casterly_Rock,Capital,Capital
Principality_of_Dorne,Sunspear,Capital,Capital
Kingdom_of_the_Isles_and_the_Rivers,Harrenhal,Capital,Capital
Kingdom_of_the_North,Winterfell,Capital,Capital
Seven_Kingdoms,King%27s_Landing,Capital,Capital
Seven_Kingdoms,The_Crownlands,Capital,Capital
Ghiscari_Empire,Old_Ghis,Capital,Capital
Dothraki_Sea,Vaes_Dothrak,Capital,Capital
Ib,Port_of_Ibben,Capital,Capital
Slaver%27s_Bay,Meereen,Capital,Capital
Valyrian_Freehold,Old_Valyria,Capital,Capital
The_Gift,Castle_Black,Capital,Capital
Dorne,Sunspear,Capital,Capital
The_Stormlands,Storm%27s_End,Capital,Capital
Iron_Islands,Pyke_(castle),Capital,Capital
The_Westerlands,Casterly_Rock,Capital,Capital
The_Vale_of_Arryn,The_Eyrie,Capital,Capital
The_Reach,Highgarden,Capital,Capital
The_Riverlands,Riverrun,Capital,Capital
The_Crownlands,King%27s_Landing,Capital,Capital
The_North,Winterfell,Capital,Capital
