Source,Target,Relation,Label
Kingdom_of_the_Mountain_and_the_Vale,Bloody_Gate,Castles,Castles
Kingdom_of_the_Mountain_and_the_Vale,Runestone,Castles,Castles
Kingdom_of_the_Mountain_and_the_Vale,The_Redfort,Castles,Castles
Kingdom_of_the_Stormlands,Blackhaven,Castles,Castles
Kingdom_of_the_Stormlands,Bronzegate,Castles,Castles
Kingdom_of_the_Stormlands,Evenfall_Hall,Castles,Castles
Kingdom_of_the_Stormlands,Felwood,Castles,Castles
Kingdom_of_the_Stormlands,Griffin%27s_Roost,Castles,Castles
Kingdom_of_the_Stormlands,Haystack_Hall,Castles,Castles
Kingdom_of_the_Stormlands,Mistwood,Castles,Castles
Kingdom_of_the_Stormlands,Nightsong,Castles,Castles
Kingdom_of_the_Stormlands,Rain_House,Castles,Castles
Kingdom_of_the_Stormlands,Crow%27s_Nest,Castles,Castles
Kingdom_of_the_Stormlands,Stonehelm,Castles,Castles
Kingdom_of_the_Stormlands,Summerhall,Castles,Castles
Kingdom_of_the_River_and_the_Hills,Harrenhal,Castles,Castles
Kingdom_of_the_River_and_the_Hills,Pinkmaiden,Castles,Castles
Kingdom_of_the_River_and_the_Hills,Raventree_Hall,Castles,Castles
Kingdom_of_the_River_and_the_Hills,Seagard,Castles,Castles
Kingdom_of_the_River_and_the_Hills,Stone_Hedge,Castles,Castles
Kingdom_of_the_River_and_the_Hills,The_Twins,Castles,Castles
Kingdom_of_the_River_and_the_Hills,Acorn_Hall,Castles,Castles
Kingdom_of_the_Reach,Bandallon,Castles,Castles
Kingdom_of_the_Reach,Bitterbridge,Castles,Castles
Kingdom_of_the_Reach,Blackcrown,Castles,Castles
Kingdom_of_the_Reach,Brightwater_Keep,Castles,Castles
Kingdom_of_the_Reach,Cider_Hall,Castles,Castles
Kingdom_of_the_Reach,Goldengrove,Castles,Castles
Kingdom_of_the_Reach,Grassy_Vale,Castles,Castles
Kingdom_of_the_Reach,Honeyholt,Castles,Castles
Kingdom_of_the_Reach,Horn_Hill,Castles,Castles
Kingdom_of_the_Reach,Old_Oak,Castles,Castles
Kingdom_of_the_Reach,Red_Lake,Castles,Castles
Kingdom_of_the_Reach,Three_Towers,Castles,Castles
Kingdom_of_the_Reach,Uplands,Castles,Castles
Kingdom_of_the_Rock,The_Banefort,Castles,Castles
Kingdom_of_the_Rock,Castamere,Castles,Castles
Kingdom_of_the_Rock,Clegane%27s_Keep,Castles,Castles
Kingdom_of_the_Rock,Cornfield,Castles,Castles
Kingdom_of_the_Rock,Crakehall,Castles,Castles
Kingdom_of_the_Rock,The_Crag,Castles,Castles
Kingdom_of_the_Rock,Deep_Den,Castles,Castles
Kingdom_of_the_Rock,Golden_Tooth,Castles,Castles
Kingdom_of_the_Rock,Faircastle,Castles,Castles
Kingdom_of_the_Rock,Feastfires,Castles,Castles
Kingdom_of_the_Rock,Hornvale,Castles,Castles
Kingdom_of_the_Rock,Silverhill,Castles,Castles
Kingdom_of_the_Rock,Sarsfield,Castles,Castles
Principality_of_Dorne,Blackmont,Castles,Castles
Principality_of_Dorne,Ghost_Hill,Castles,Castles
Principality_of_Dorne,Godsgrace,Castles,Castles
Principality_of_Dorne,Hellholt,Castles,Castles
Principality_of_Dorne,Kingsgrave,Castles,Castles
Principality_of_Dorne,Lemonwood,Castles,Castles
Principality_of_Dorne,Saltshore,Castles,Castles
Principality_of_Dorne,Sandstone,Castles,Castles
Principality_of_Dorne,Skyreach,Castles,Castles
Principality_of_Dorne,Starfall,Castles,Castles
Principality_of_Dorne,The_Tor,Castles,Castles
Principality_of_Dorne,Yronwood,Castles,Castles
Principality_of_Dorne,Vaith,Castles,Castles
Principality_of_Dorne,Water_Gardens,Castles,Castles
The_Neck,Moat_Cailin,Castles,Castles
The_Neck,Greywater_Watch,Castles,Castles
The_Gift,Castle_Black,Castles,Castles
The_Gift,Queenscrown,Castles,Castles
Dornish_Marches,Nightsong,Castles,Castles
Dornish_Marches,Blackhaven,Castles,Castles
Dornish_Marches,Stonehelm,Castles,Castles
Dornish_Marches,Summerhall,Castles,Castles
Rainwood,Mistwood,Castles,Castles
Rainwood,Rain_House,Castles,Castles
Dorne,Blackmont,Castles,Castles
Dorne,Ghost_Hill,Castles,Castles
Dorne,Godsgrace,Castles,Castles
Dorne,Hellholt,Castles,Castles
Dorne,Kingsgrave,Castles,Castles
Dorne,Lemonwood,Castles,Castles
Dorne,Saltshore,Castles,Castles
Dorne,Sandstone,Castles,Castles
Dorne,Skyreach,Castles,Castles
Dorne,Starfall,Castles,Castles
Dorne,The_Tor,Castles,Castles
Dorne,Yronwood,Castles,Castles
Dorne,Vaith,Castles,Castles
Dorne,Water_Gardens,Castles,Castles
The_Stormlands,Blackhaven,Castles,Castles
The_Stormlands,Bronzegate,Castles,Castles
The_Stormlands,Evenfall_Hall,Castles,Castles
The_Stormlands,Felwood,Castles,Castles
The_Stormlands,Griffin%27s_Roost,Castles,Castles
The_Stormlands,Haystack_Hall,Castles,Castles
The_Stormlands,Mistwood,Castles,Castles
The_Stormlands,Nightsong,Castles,Castles
The_Stormlands,Rain_House,Castles,Castles
The_Stormlands,Crow%27s_Nest,Castles,Castles
The_Stormlands,Stonehelm,Castles,Castles
The_Stormlands,Summerhall,Castles,Castles
The_Stormlands,Greenstone,Castles,Castles
Iron_Islands,Ten_Towers,Castles,Castles
The_Westerlands,The_Banefort,Castles,Castles
The_Westerlands,Castamere,Castles,Castles
The_Westerlands,Clegane%27s_Keep,Castles,Castles
The_Westerlands,Cornfield,Castles,Castles
The_Westerlands,Crakehall,Castles,Castles
The_Westerlands,The_Crag,Castles,Castles
The_Westerlands,Deep_Den,Castles,Castles
The_Westerlands,Golden_Tooth,Castles,Castles
The_Westerlands,Faircastle,Castles,Castles
The_Westerlands,Feastfires,Castles,Castles
The_Westerlands,Hornvale,Castles,Castles
The_Westerlands,Silverhill,Castles,Castles
The_Westerlands,Sarsfield,Castles,Castles
The_Vale_of_Arryn,Bloody_Gate,Castles,Castles
The_Vale_of_Arryn,Runestone,Castles,Castles
The_Vale_of_Arryn,The_Redfort,Castles,Castles
The_Vale_of_Arryn,Ironoaks,Castles,Castles
The_Vale_of_Arryn,Longbow_Hall,Castles,Castles
The_Vale_of_Arryn,Heart%27s_Home,Castles,Castles
The_Reach,Bandallon,Castles,Castles
The_Reach,Bitterbridge,Castles,Castles
The_Reach,Blackcrown,Castles,Castles
The_Reach,Brightwater_Keep,Castles,Castles
The_Reach,Cider_Hall,Castles,Castles
The_Reach,Goldengrove,Castles,Castles
The_Reach,Grassy_Vale,Castles,Castles
The_Reach,Honeyholt,Castles,Castles
