Source,Target,Relation,Label
Kingdom_of_the_Mountain_and_the_Vale,Gulltown,Cities,Cities
Valyrian_Peninsula,Mantarys,Cities,Cities
Valyrian_Peninsula,Tolos,Cities,Cities
Valyrian_Peninsula,Elyria,Cities,Cities
Kingdom_of_the_Reach,Oldtown,Cities,Cities
Kingdom_of_the_Rock,Lannisport,Cities,Cities
Forest_of_Qohor,Qohor,Cities,Cities
Slaver%27s_Bay,Astapor,Cities,Cities
Slaver%27s_Bay,Bhorash,Cities,Cities
Slaver%27s_Bay,Elyria,Cities,Cities
Slaver%27s_Bay,Mantarys,Cities,Cities
Slaver%27s_Bay,Meereen,Cities,Cities
Slaver%27s_Bay,New_Ghis,Cities,Cities
Slaver%27s_Bay,Old_Ghis,Cities,Cities
Slaver%27s_Bay,Oros,Cities,Cities
Slaver%27s_Bay,Tolos,Cities,Cities
Slaver%27s_Bay,Tyria,Cities,Cities
Slaver%27s_Bay,Old_Valyria,Cities,Cities
Slaver%27s_Bay,Yunkai,Cities,Cities
Free_Cities,Braavos,Cities,Cities
Free_Cities,Lorath,Cities,Cities
Free_Cities,Lys,Cities,Cities
Free_Cities,Myr,Cities,Cities
Free_Cities,Norvos,Cities,Cities
Free_Cities,Pentos,Cities,Cities
Free_Cities,Qohor,Cities,Cities
Free_Cities,Tyrosh,Cities,Cities
Free_Cities,Volantis,Cities,Cities
The_Westerlands,Lannisport,Cities,Cities
The_Vale_of_Arryn,Gulltown,Cities,Cities
The_Reach,Oldtown,Cities,Cities
The_North,White_Harbor,Cities,Cities
