Source,Target,Relation,Label
Valyrian_Peninsula,Valyrian_Freehold,Formerly,Formerly
Slaver%27s_Bay,Ghiscari_Empire,Formerly,Formerly
Slaver%27s_Bay,Valyrian_Freehold,Formerly,Formerly
Free_Cities,Valyrian_Freehold,Formerly,Formerly
Dorne,Principality_of_Dorne,Formerly,Formerly
The_Stormlands,Kingdom_of_the_Stormlands,Formerly,Formerly
Iron_Islands,Seven_Kingdoms,Formerly,Formerly
The_Westerlands,Kingdom_of_the_Rock,Formerly,Formerly
The_Vale_of_Arryn,Kingdom_of_the_North,Formerly,Formerly
The_Reach,Kingdom_of_the_Reach,Formerly,Formerly
The_Riverlands,Kingdom_of_the_Isles_and_the_Rivers,Formerly,Formerly
The_Riverlands,Kingdom_of_the_North,Formerly,Formerly
The_North,Kingdom_of_the_North,Formerly,Formerly
