Source,Target,Relation,Label
Mantarys,Valyrian_Freehold,Founder,Founder
Oros,Valyrian_Freehold,Founder,Founder
Tyria,Valyrian_Freehold,Founder,Founder
Long_Bridge,Valyrian_Freehold,Founder,Founder
Old_Valyria,Valyrian_Freehold,Founder,Founder
Black_Wall,Valyrian_Freehold,Founder,Founder
Tolos,Valyrian_Freehold,Founder,Founder
Elyria,Valyrian_Freehold,Founder,Founder
Dragonstone_(castle),Valyrian_Freehold,Founder,Founder
Qohor,Valyrian_Freehold,Founder,Founder
Lys,Valyrian_Freehold,Founder,Founder
Pentos,Valyrian_Freehold,Founder,Founder
Volantis,Valyrian_Freehold,Founder,Founder
Astapor,Ghiscari_Empire,Founder,Founder
Meereen,Ghiscari_Empire,Founder,Founder
