Source,Target,Relation,Label
Dragonpit,King%27s_Landing,Location,Location
Dragonpit,The_Crownlands,Location,Location
Clegane%27s_Keep,The_Westerlands,Location,Location
Crakehall,The_Westerlands,Location,Location
Cornfield,The_Westerlands,Location,Location
Deep_Den,The_Westerlands,Location,Location
Faircastle,Fair_Isle,Location,Location
Hornvale,The_Westerlands,Location,Location
Hornvale,Seven_Kingdoms,Location,Location
Oxcross,The_Westerlands,Location,Location
Oxcross,Seven_Kingdoms,Location,Location
Sarsfield,The_Westerlands,Location,Location
Sarsfield,Seven_Kingdoms,Location,Location
Ashemark,The_Westerlands,Location,Location
The_Crag,The_Westerlands,Location,Location
The_Banefort,The_Westerlands,Location,Location
Unnamed_Baelish_castle,The_Vale_of_Arryn,Location,Location
Tarbeck_Hall,The_Westerlands,Location,Location
Mummer%27s_Ford,The_Riverlands,Location,Location
Whitewalls,The_Riverlands,Location,Location
Hammerhorn,Iron_Islands,Location,Location
Giant%27s_Lance,The_Vale_of_Arryn,Location,Location
Samyrian,Hyrkoon,Location,Location
Mantarys,Valyrian_Peninsula,Location,Location
Thenn_(region),Frostfangs,Location,Location
Thenn_(region),Beyond_the_Wall,Location,Location
White_Tree,Beyond_the_Wall,Location,Location
Cave_of_the_Three-Eyed_Raven,Beyond_the_Wall,Location,Location
Bhorash,Slaver%27s_Bay,Location,Location
Queenscrown,The_Gift,Location,Location
Kingdom_of_the_Three_Daughters,Free_Cities,Location,Location
The_Hightower,Battle_Isle,Location,Location
The_Hightower,Oldtown,Location,Location
The_Hightower,The_Reach,Location,Location
Long_Bridge,Volantis,Location,Location
Long_Bridge,Free_Cities,Location,Location
Temple_of_the_Dosh_khaleen,Vaes_Dothrak,Location,Location
Mother_of_Mountains,Vaes_Dothrak,Location,Location
Estermont,The_Stormlands,Location,Location
Blackhaven,The_Stormlands,Location,Location
Stonehelm,The_Stormlands,Location,Location
Griffin%27s_Roost,The_Stormlands,Location,Location
Evenfall_Hall,Tarth,Location,Location
Evenfall_Hall,The_Stormlands,Location,Location
Ghost_Hill,Dorne,Location,Location
Lemonwood,Dorne,Location,Location
Saltshore,Dorne,Location,Location
Godsgrace,Dorne,Location,Location
The_Tor,Dorne,Location,Location
Sandstone,Dorne,Location,Location
Skyreach,Dorne,Location,Location
Kingsgrave,Dorne,Location,Location
Vulture%27s_Roost,Dorne,Location,Location
Blackmont,Dorne,Location,Location
Sunflower_Hall,The_Reach,Location,Location
Three_Towers,The_Reach,Location,Location
Blackcrown,The_Reach,Location,Location
Uplands,The_Reach,Location,Location
Bandallon,The_Reach,Location,Location
Brightwater_Keep,The_Reach,Location,Location
Grassy_Vale,The_Reach,Location,Location
Bitterbridge,The_Reach,Location,Location
Goldengrove,The_Reach,Location,Location
Red_Lake,The_Reach,Location,Location
Battle_Isle,Oldtown,Location,Location
Battle_Isle,The_Reach,Location,Location
Oldstones,The_Riverlands,Location,Location
Honeyholt,The_Reach,Location,Location
Long_Table,The_Reach,Location,Location
Bayasabhad,Hyrkoon,Location,Location
Maidenvault,Red_Keep,Location,Location
Maidenvault,King%27s_Landing,Location,Location
Black_Cells,Red_Keep,Location,Location
Maegor%27s_Holdfast,Red_Keep,Location,Location
Maegor%27s_Holdfast,King%27s_Landing,Location,Location
Haystack_Hall,The_Stormlands,Location,Location
Haystack_Hall,Seven_Kingdoms,Location,Location
Cider_Hall,The_Reach,Location,Location
Cider_Hall,Seven_Kingdoms,Location,Location
Skirling_Pass,Frostfangs,Location,Location
Skirling_Pass,Beyond_the_Wall,Location,Location
Greenstone,Estermont,Location,Location
Greenstone,The_Stormlands,Location,Location
Lord_of_Riverrun,The_Riverlands,Location,Location
Wickendon,The_Vale_of_Arryn,Location,Location
Wickendon,Seven_Kingdoms,Location,Location
Sheelba_Square,Braavos,Location,Location
Longbow_Hall,Seven_Kingdoms,Location,Location
Ironoaks,Seven_Kingdoms,Location,Location
The_Redfort,The_Vale_of_Arryn,Location,Location
Heart%27s_Home,The_Vale_of_Arryn,Location,Location
Heart%27s_Home,Seven_Kingdoms,Location,Location
Coldwater,The_Vale_of_Arryn,Location,Location
Coldwater,Seven_Kingdoms,Location,Location
Ashford,The_Reach,Location,Location
Tumbleton,The_Reach,Location,Location
Old_Oak,The_Reach,Location,Location
Vaith,Dorne,Location,Location
Nightsong,The_Stormlands,Location,Location
Wyl_(castle),Dorne,Location,Location
Stone_Mill,The_Riverlands,Location,Location
Yronwood,Dorne,Location,Location
Yronwood,Seven_Kingdoms,Location,Location
Hellholt,Dorne,Location,Location
Muddy_Way,King%27s_Landing,Location,Location
Muddy_Way,The_Crownlands,Location,Location
Planky_Town,Dorne,Location,Location
Red_Harbor,Iron_Islands,Location,Location
Ten_Towers,Iron_Islands,Location,Location
Fair_Isle,The_Westerlands,Location,Location
Old_Valyria,Valyrian_Peninsula,Location,Location
Summerhall,The_Stormlands,Location,Location
Whispering_Wood,The_Riverlands,Location,Location
Lord_Harroway%27s_Town,The_Riverlands,Location,Location
Pennytree,The_Riverlands,Location,Location
Stoney_Sept,The_Riverlands,Location,Location
Pinkmaiden,The_Riverlands,Location,Location
Pinkmaiden,Seven_Kingdoms,Location,Location
Maidenpool,The_Riverlands,Location,Location
Acorn_Hall,The_Riverlands,Location,Location
Raventree_Hall,The_Riverlands,Location,Location
Stone_Hedge,The_Riverlands,Location,Location
Fairmarket,The_Riverlands,Location,Location
Wendish_Town,The_Riverlands,Location,Location
Godsway,Vaes_Dothrak,Location,Location
Horse_Gate,Vaes_Dothrak,Location,Location
Barter_Beach,Basilisk_Isles,Location,Location
Whore%27s_Gash,Basilisk_Isles,Location,Location
Sty,Basilisk_Isles,Location,Location
Port_Plunder,Basilisk_Isles,Location,Location
Black_Wall,Volantis,Location,Location
Black_Wall,Free_Cities,Location,Location
Wolfswood,The_North,Location,Location
Rillwater_Crossing,The_North,Location,Location
Rillwater_Crossing,Seven_Kingdoms,Location,Location
Flint%27s_Finger,The_North,Location,Location
Greywater_Watch,The_Neck,Location,Location
Greywater_Watch,The_North,Location,Location
Oldcastle,The_North,Location,Location
Widow%27s_Watch,The_North,Location,Location
Ramsgate,The_North,Location,Location
Winter_town,The_North,Location,Location
Temple_of_the_Lord_of_Light_(Volantis),Volantis,Location,Location
Temple_of_the_Lord_of_Light_(Volantis),Free_Cities,Location,Location
Sweetwater_River,Braavos,Location,Location
Seagard,The_Riverlands,Location,Location
The_Eyrie,Seven_Kingdoms,Location,Location
Silverhill,The_Westerlands,Location,Location
Barrowton,The_North,Location,Location
Last_Hearth,The_North,Location,Location
Last_Hearth,Seven_Kingdoms,Location,Location
Karhold,The_North,Location,Location
Kingswood,The_Crownlands,Location,Location
Kingswood,The_Stormlands,Location,Location
Kingswood,The_Reach,Location,Location
Frostfangs,Beyond_the_Wall,Location,Location
Antlers,The_Crownlands,Location,Location
Antlers,Seven_Kingdoms,Location,Location
Guildhall_of_the_Alchemists,King%27s_Landing,Location,Location
Sept_of_Remembrance,King%27s_Landing,Location,Location
Sept_of_Remembrance,The_Crownlands,Location,Location
Littlefinger%27s_Brothel,King%27s_Landing,Location,Location
Salt_Rock,The_Riverlands,Location,Location
Mud_Gate,King%27s_Landing,Location,Location
Flea_Bottom,King%27s_Landing,Location,Location
Flea_Bottom,The_Crownlands,Location,Location
Long_Barrow,The_Wall,Location,Location
Queensgate,The_Wall,Location,Location
Greyguard,The_Wall,Location,Location
Deep_Lake,The_Wall,Location,Location
North_Grove,Beyond_the_Wall,Location,Location
Mole%27s_Town,The_Gift,Location,Location
The_Shadow_Tower,The_Wall,Location,Location
Castle_Cerwyn,The_North,Location,Location
Hornwood,The_North,Location,Location
Craster%27s_Keep,Beyond_the_Wall,Location,Location
Haunted_Forest,Beyond_the_Wall,Location,Location
Torrhen%27s_Square,The_North,Location,Location
Garden_of_Bones_(Qarth),Qarth,Location,Location
Garden_of_Bones_(Qarth),Red_Waste,Location,Location
Hall_of_a_Thousand_Thrones,Qarth,Location,Location
The_Citadel,Oldtown,Location,Location
The_Citadel,The_Reach,Location,Location
Red_Keep,King%27s_Landing,Location,Location
Red_Keep,The_Crownlands,Location,Location
White_Sword_Tower,Red_Keep,Location,Location
White_Sword_Tower,King%27s_Landing,Location,Location
Starfall,Dorne,Location,Location
Hall_of_Faces,Braavos,Location,Location
Tolos,Valyrian_Peninsula,Location,Location
Tolos,Slaver%27s_Bay,Location,Location
Elyria,Valyrian_Peninsula,Location,Location
Elyria,Slaver%27s_Bay,Location,Location
Great_Sept_of_Baelor,King%27s_Landing,Location,Location
Great_Sept_of_Baelor,The_Crownlands,Location,Location
Starry_Sept,Oldtown,Location,Location
Starry_Sept,The_Reach,Location,Location
Seven_Kingdoms,The_Wall,Location,Location
Seven_Kingdoms,The_Crownlands,Location,Location
Seven_Kingdoms,The_Westerlands,Location,Location
Seven_Kingdoms,The_North,Location,Location
Seven_Kingdoms,The_Vale_of_Arryn,Location,Location
Seven_Kingdoms,The_Stormlands,Location,Location
Seven_Kingdoms,The_Reach,Location,Location
Seven_Kingdoms,The_Riverlands,Location,Location
Seven_Kingdoms,Dorne,Location,Location
Seven_Kingdoms,Kingdom_of_the_Iron_Islands,Location,Location
Seven_Kingdoms,Iron_Islands,Location,Location
Seven_Kingdoms,The_Gift,Location,Location
Seven_Kingdoms,The_Wall,Location,Location
Dragonstone_(island),The_Crownlands,Location,Location
Festival_of_the_Mother,King%27s_Landing,Location,Location
