Source,Target,Relation,Label
Valyrian_Peninsula,Old_Valyria,Placesofnote,Places of note
Valyrian_Peninsula,Oros,Placesofnote,Places of note
Valyrian_Peninsula,Tyria,Placesofnote,Places of note
Valyrian_Peninsula,Fourteen_Fires,Placesofnote,Places of note
Kingdom_of_the_Stormlands,Kingswood,Placesofnote,Places of note
Kingdom_of_the_Stormlands,Rainwood,Placesofnote,Places of note
Kingdom_of_the_Stormlands,Tarth,Placesofnote,Places of note
Kingdom_of_the_Stormlands,Dornish_Marches,Placesofnote,Places of note
Kingdom_of_the_River_and_the_Hills,The_Neck,Placesofnote,Places of note
Kingdom_of_the_River_and_the_Hills,Whispering_Wood,Placesofnote,Places of note
Kingdom_of_the_River_and_the_Hills,Hollow_Hill,Placesofnote,Places of note
Kingdom_of_the_Reach,The_Arbor,Placesofnote,Places of note
Kingdom_of_the_Rock,Fair_Isle,Placesofnote,Places of note
Kingdom_of_the_Iron_Islands,Red_Harbor,Placesofnote,Places of note
Haunted_Forest,Craster%27s_Keep,Placesofnote,Places of note
Kingdom_of_the_North,Bear_Island,Placesofnote,Places of note
Kingdom_of_the_North,The_Gift,Placesofnote,Places of note
Kingdom_of_the_North,The_Neck,Placesofnote,Places of note
Kingdom_of_the_North,The_Wall,Placesofnote,Places of note
Kingdom_of_the_North,Wolfswood,Placesofnote,Places of note
Seven_Kingdoms,King%27s_Landing,Placesofnote,Places of note
Seven_Kingdoms,Oldtown,Placesofnote,Places of note
Seven_Kingdoms,Lannisport,Placesofnote,Places of note
Seven_Kingdoms,Gulltown,Placesofnote,Places of note
Seven_Kingdoms,White_Harbor,Placesofnote,Places of note
Seven_Kingdoms,Winterfell,Placesofnote,Places of note
Seven_Kingdoms,Casterly_Rock,Placesofnote,Places of note
Seven_Kingdoms,Storm%27s_End,Placesofnote,Places of note
Seven_Kingdoms,Highgarden,Placesofnote,Places of note
Seven_Kingdoms,The_Eyrie,Placesofnote,Places of note
Seven_Kingdoms,Sunspear,Placesofnote,Places of note
Seven_Kingdoms,Pyke_(castle),Placesofnote,Places of note
Seven_Kingdoms,Riverrun,Placesofnote,Places of note
Seven_Kingdoms,Harrenhal,Placesofnote,Places of note
Seven_Kingdoms,The_Twins,Placesofnote,Places of note
Seven_Kingdoms,The_Dreadfort,Placesofnote,Places of note
Seven_Kingdoms,Horn_Hill,Placesofnote,Places of note
Seven_Kingdoms,The_Wall,Placesofnote,Places of note
Ghiscari_Empire,Astapor,Placesofnote,Places of note
Ghiscari_Empire,Yunkai,Placesofnote,Places of note
Ghiscari_Empire,Meereen,Placesofnote,Places of note
Slaver%27s_Bay,Lhazar,Placesofnote,Places of note
Valyrian_Freehold,Mantarys,Placesofnote,Places of note
Valyrian_Freehold,Volantis,Placesofnote,Places of note
Valyrian_Freehold,Lys,Placesofnote,Places of note
Valyrian_Freehold,Myr,Placesofnote,Places of note
Valyrian_Freehold,Pentos,Placesofnote,Places of note
Valyrian_Freehold,Tyrosh,Placesofnote,Places of note
Valyrian_Freehold,Qohor,Placesofnote,Places of note
Valyrian_Freehold,Norvos,Placesofnote,Places of note
Valyrian_Freehold,Lorath,Placesofnote,Places of note
Valyrian_Freehold,Astapor,Placesofnote,Places of note
Valyrian_Freehold,Yunkai,Placesofnote,Places of note
Valyrian_Freehold,Meereen,Placesofnote,Places of note
Free_Cities,Disputed_Lands,Placesofnote,Places of note
Free_Cities,Forest_of_Qohor,Placesofnote,Places of note
Free_Cities,Stepstones,Placesofnote,Places of note
Beyond_the_Wall,Fist_of_the_First_Men,Placesofnote,Places of note
Beyond_the_Wall,Frostfangs,Placesofnote,Places of note
Beyond_the_Wall,Haunted_Forest,Placesofnote,Places of note
Beyond_the_Wall,Lands_of_Always_Winter,Placesofnote,Places of note
Beyond_the_Wall,Skirling_Pass,Placesofnote,Places of note
Beyond_the_Wall,Thenn_(region),Placesofnote,Places of note
Beyond_the_Wall,Craster%27s_Keep,Placesofnote,Places of note
Beyond_the_Wall,Cave_of_the_Three-Eyed_Raven,Placesofnote,Places of note
The_Stormlands,Kingswood,Placesofnote,Places of note
The_Stormlands,Rainwood,Placesofnote,Places of note
The_Stormlands,Tarth,Placesofnote,Places of note
The_Stormlands,Dornish_Marches,Placesofnote,Places of note
Iron_Islands,Red_Harbor,Placesofnote,Places of note
The_Westerlands,Fair_Isle,Placesofnote,Places of note
The_Reach,The_Arbor,Placesofnote,Places of note
The_Riverlands,The_Neck,Placesofnote,Places of note
The_Riverlands,Whispering_Wood,Placesofnote,Places of note
The_Riverlands,Hollow_Hill,Placesofnote,Places of note
The_Crownlands,Kingswood,Placesofnote,Places of note
The_Crownlands,Dragonstone_(island),Placesofnote,Places of note
The_Crownlands,Driftmark,Placesofnote,Places of note
The_North,Bear_Island,Placesofnote,Places of note
The_North,The_Gift,Placesofnote,Places of note
The_North,The_Neck,Placesofnote,Places of note
The_North,The_Wall,Placesofnote,Places of note
The_North,Wolfswood,Placesofnote,Places of note
