Source,Target,Relation,Label
Valyrian_Peninsula,Valyrian_religion,Religion,Religion
Old_Valyria,Valyrian_religion,Religion,Religion
Seven_Kingdoms,The_North,Religion,Religion
Seven_Kingdoms,Iron_Islands,Religion,Religion
Fourteen_Fires,Valyrian_religion,Religion,Religion
Norvos,Bearded_Priests_of_Norvos,Religion,Religion
Yi_Ti,Lion_of_Night,Religion,Religion
Summer_Islands,Summer_Islands_religion,Religion,Religion
Valyrian_Freehold,Valyrian_religion,Religion,Religion
Free_Cities,Black_Goat_of_Qohor,Religion,Religion
