Source,Target,Relation,Label
Kingdom_of_the_Mountain_and_the_Vale,The_Vale_of_Arryn,Successor,Successor
Kingdom_of_the_Stormlands,The_Stormlands,Successor,Successor
Kingdom_of_the_River_and_the_Hills,The_Stormlands,Successor,Successor
Kingdom_of_the_River_and_the_Hills,Iron_Islands,Successor,Successor
Kingdom_of_the_River_and_the_Hills,Seven_Kingdoms,Successor,Successor
Kingdom_of_the_Reach,The_Reach,Successor,Successor
Kingdom_of_the_Rock,The_Westerlands,Successor,Successor
Principality_of_Dorne,Dorne,Successor,Successor
Kingdom_of_the_Isles_and_the_Rivers,The_Riverlands,Successor,Successor
The_North,Kingdom_of_the_North,Successor,Successor
