Source,Target,Relation,Label
Kingdom_of_the_Mountain_and_the_Vale,Sisterton,Towns,Towns
Kingdom_of_the_Mountain_and_the_Vale,Wickendon,Towns,Towns
Kingdom_of_the_River_and_the_Hills,Maidenpool,Towns,Towns
Kingdom_of_the_River_and_the_Hills,Stoney_Sept,Towns,Towns
Kingdom_of_the_River_and_the_Hills,Saltpans,Towns,Towns
Kingdom_of_the_River_and_the_Hills,Wendish_Town,Towns,Towns
Kingdom_of_the_River_and_the_Hills,Pennytree,Towns,Towns
Kingdom_of_the_River_and_the_Hills,Fairmarket,Towns,Towns
Kingdom_of_the_River_and_the_Hills,Mummer%27s_Ford,Towns,Towns
Kingdom_of_the_Reach,Ashford,Towns,Towns
Kingdom_of_the_Reach,Tumbleton,Towns,Towns
Principality_of_Dorne,Vulture%27s_Roost,Towns,Towns
Basilisk_Isles,Port_Plunder,Towns,Towns
Basilisk_Isles,Sty,Towns,Towns
Basilisk_Isles,Whore%27s_Gash,Towns,Towns
Free_Cities,Ar_Noy,Towns,Towns
Free_Cities,Ny_Sar,Towns,Towns
Free_Cities,Sar_Mell,Towns,Towns
Free_Cities,Selhorys,Towns,Towns
Free_Cities,Valysar,Towns,Towns
Free_Cities,Volon_Therys,Towns,Towns
Beyond_the_Wall,Hardhome,Towns,Towns
Dorne,Vulture%27s_Roost,Towns,Towns
Iron_Islands,Lordsport,Towns,Towns
The_Vale_of_Arryn,Sisterton,Towns,Towns
The_Vale_of_Arryn,Wickendon,Towns,Towns
The_Reach,Ashford,Towns,Towns
The_Reach,Tumbleton,Towns,Towns
The_Riverlands,Maidenpool,Towns,Towns
The_Riverlands,Stoney_Sept,Towns,Towns
The_Riverlands,Saltpans,Towns,Towns
The_Riverlands,Wendish_Town,Towns,Towns
The_Riverlands,Pennytree,Towns,Towns
The_Riverlands,Fairmarket,Towns,Towns
The_Riverlands,Mummer%27s_Ford,Towns,Towns
The_Crownlands,Duskendale,Towns,Towns
The_Crownlands,Rosby,Towns,Towns
The_Crownlands,Rook%27s_Rest,Towns,Towns
The_Crownlands,Sow%27s_Horn,Towns,Towns
The_North,Barrowton,Towns,Towns
