Source,Target,Relation,Label
Kingdom_of_the_North,Night%27s_Watch,Institutions,Institutions
Great_Sept_of_Baelor,Most_Devout,Institutions,Institutions
Seven_Kingdoms,Alchemists%27_Guild,Institutions,Institutions
Seven_Kingdoms,Kingsguard,Institutions,Institutions
Seven_Kingdoms,Maesters,Institutions,Institutions
Seven_Kingdoms,Night%27s_Watch,Institutions,Institutions
Seven_Kingdoms,Faith_Militant,Institutions,Institutions
Braavos,Iron_Bank_of_Braavos,Institutions,Institutions
Braavos,Faceless_Men,Institutions,Institutions
Qarth,The_Thirteen,Institutions,Institutions
Qarth,Warlocks,Institutions,Institutions
Oldtown,Maesters,Institutions,Institutions
King%27s_Landing,Iron_Throne,Institutions,Institutions
King%27s_Landing,Faith_of_the_Seven,Institutions,Institutions
