Source,Target,Relation,Label
Sept_of_Remembrance,Faith_Militant,Military,Military
Kingdom_of_the_Iron_Islands,Iron_Fleet,Military,Military
Hall_of_a_Thousand_Thrones,Civic_Guard,Military,Military
Red_Keep,Kingsguard,Military,Military
Red_Keep,City_Watch_of_King%27s_Landing,Military,Military
White_Sword_Tower,Kingsguard,Military,Military
Great_Sept_of_Baelor,Faith_Militant,Military,Military
Seven_Kingdoms,Royal_Fleet,Military,Military
Qohor,Unsullied,Military,Military
Qarth,Civic_Guard,Military,Military
Meereen,Second_Sons,Military,Military
Slaver%27s_Bay,Second_Sons,Military,Military
Slaver%27s_Bay,Unsullied,Military,Military
King%27s_Landing,City_Watch_of_King%27s_Landing,Military,Military
The_Wall,Night%27s_Watch,Military,Military
