Source,Target,Relation,Label
Clegane%27s_Keep,Faith_of_the_Seven,Religion,Religion
Feastfires,Faith_of_the_Seven,Religion,Religion
Crakehall,Faith_of_the_Seven,Religion,Religion
Cornfield,Faith_of_the_Seven,Religion,Religion
Deep_Den,Faith_of_the_Seven,Religion,Religion
Faircastle,Faith_of_the_Seven,Religion,Religion
Hornvale,Faith_of_the_Seven,Religion,Religion
Oxcross,Faith_of_the_Seven,Religion,Religion
Sarsfield,Faith_of_the_Seven,Religion,Religion
Ashemark,Faith_of_the_Seven,Religion,Religion
The_Crag,Faith_of_the_Seven,Religion,Religion
The_Banefort,Faith_of_the_Seven,Religion,Religion
Tarbeck_Hall,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_Mountain_and_the_Vale,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_Mountain_and_the_Vale,Old_Gods_of_the_Forest,Religion,Religion
Mummer%27s_Ford,Faith_of_the_Seven,Religion,Religion
Whitewalls,Faith_of_the_Seven,Religion,Religion
Hammerhorn,Drowned_God,Religion,Religion
Thenn_(region),Old_Gods_of_the_Forest,Religion,Religion
White_Tree,Old_Gods_of_the_Forest,Religion,Religion
The_Hightower,Faith_of_the_Seven,Religion,Religion
Rain_House,Faith_of_the_Seven,Religion,Religion
Temple_of_the_Dosh_khaleen,Great_Stallion,Religion,Religion
Blackhaven,Faith_of_the_Seven,Religion,Religion
Mistwood,Faith_of_the_Seven,Religion,Religion
Crow%27s_Nest,Faith_of_the_Seven,Religion,Religion
Stonehelm,Faith_of_the_Seven,Religion,Religion
Griffin%27s_Roost,Faith_of_the_Seven,Religion,Religion
Evenfall_Hall,Faith_of_the_Seven,Religion,Religion
Felwood,Faith_of_the_Seven,Religion,Religion
Bronzegate,Faith_of_the_Seven,Religion,Religion
Ghost_Hill,Faith_of_the_Seven,Religion,Religion
Lemonwood,Faith_of_the_Seven,Religion,Religion
Saltshore,Faith_of_the_Seven,Religion,Religion
Godsgrace,Faith_of_the_Seven,Religion,Religion
The_Tor,Faith_of_the_Seven,Religion,Religion
Sandstone,Faith_of_the_Seven,Religion,Religion
Skyreach,Faith_of_the_Seven,Religion,Religion
Kingsgrave,Faith_of_the_Seven,Religion,Religion
Blackmont,Faith_of_the_Seven,Religion,Religion
Sunflower_Hall,Faith_of_the_Seven,Religion,Religion
Three_Towers,Faith_of_the_Seven,Religion,Religion
Blackcrown,Faith_of_the_Seven,Religion,Religion
Uplands,Faith_of_the_Seven,Religion,Religion
Bandallon,Faith_of_the_Seven,Religion,Religion
Brightwater_Keep,Faith_of_the_Seven,Religion,Religion
Grassy_Vale,Faith_of_the_Seven,Religion,Religion
Bitterbridge,Faith_of_the_Seven,Religion,Religion
Goldengrove,Faith_of_the_Seven,Religion,Religion
Red_Lake,Faith_of_the_Seven,Religion,Religion
Battle_Isle,Faith_of_the_Seven,Religion,Religion
Honeyholt,Faith_of_the_Seven,Religion,Religion
Long_Table,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_Stormlands,Faith_of_the_Seven,Religion,Religion
Maegor%27s_Holdfast,Faith_of_the_Seven,Religion,Religion
Haystack_Hall,Faith_of_the_Seven,Religion,Religion
Cider_Hall,Faith_of_the_Seven,Religion,Religion
Greenstone,Faith_of_the_Seven,Religion,Religion
Lord_of_Riverrun,Faith_of_the_Seven,Religion,Religion
Wickendon,Faith_of_the_Seven,Religion,Religion
Strongsong,Faith_of_the_Seven,Religion,Religion
Sisterton,Faith_of_the_Seven,Religion,Religion
Old_Anchor,Faith_of_the_Seven,Religion,Religion
Longbow_Hall,Faith_of_the_Seven,Religion,Religion
Ironoaks,Faith_of_the_Seven,Religion,Religion
The_Redfort,Faith_of_the_Seven,Religion,Religion
Ashford,Faith_of_the_Seven,Religion,Religion
Tumbleton,Faith_of_the_Seven,Religion,Religion
Old_Oak,Faith_of_the_Seven,Religion,Religion
Vaith,Faith_of_the_Seven,Religion,Religion
Nightsong,Faith_of_the_Seven,Religion,Religion
Wyl_(castle),Faith_of_the_Seven,Religion,Religion
Yronwood,Faith_of_the_Seven,Religion,Religion
Hellholt,Faith_of_the_Seven,Religion,Religion
Planky_Town,Faith_of_the_Seven,Religion,Religion
Red_Harbor,Drowned_God,Religion,Religion
Ten_Towers,Drowned_God,Religion,Religion
Kingdom_of_the_River_and_the_Hills,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_River_and_the_Hills,Old_Gods_of_the_Forest,Religion,Religion
Kingdom_of_the_Reach,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_Rock,Faith_of_the_Seven,Religion,Religion
Principality_of_Dorne,Faith_of_the_Seven,Religion,Religion
Lord_Harroway%27s_Town,Faith_of_the_Seven,Religion,Religion
Saltpans,Faith_of_the_Seven,Religion,Religion
Pennytree,Faith_of_the_Seven,Religion,Religion
Stoney_Sept,Faith_of_the_Seven,Religion,Religion
Pinkmaiden,Faith_of_the_Seven,Religion,Religion
Maidenpool,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_Isles_and_the_Rivers,Drowned_God,Religion,Religion
Kingdom_of_the_Isles_and_the_Rivers,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_Isles_and_the_Rivers,Old_Gods_of_the_Forest,Religion,Religion
Acorn_Hall,Faith_of_the_Seven,Religion,Religion
Raventree_Hall,Old_Gods_of_the_Forest,Religion,Religion
Stone_Hedge,Faith_of_the_Seven,Religion,Religion
Fairmarket,Faith_of_the_Seven,Religion,Religion
Wendish_Town,Faith_of_the_Seven,Religion,Religion
Godsway,Great_Stallion,Religion,Religion
Horse_Gate,Great_Stallion,Religion,Religion
Flint%27s_Finger,Old_Gods_of_the_Forest,Religion,Religion
Greywater_Watch,Old_Gods_of_the_Forest,Religion,Religion
Oldcastle,Old_Gods_of_the_Forest,Religion,Religion
Widow%27s_Watch,Old_Gods_of_the_Forest,Religion,Religion
Ramsgate,Old_Gods_of_the_Forest,Religion,Religion
Winter_town,Old_Gods_of_the_Forest,Religion,Religion
Temple_of_the_Lord_of_Light_(Volantis),R%27hllor,Religion,Religion
Seagard,Faith_of_the_Seven,Religion,Religion
The_Eyrie,Faith_of_the_Seven,Religion,Religion
Silverhill,Faith_of_the_Seven,Religion,Religion
Barrowton,Old_Gods_of_the_Forest,Religion,Religion
Last_Hearth,Old_Gods_of_the_Forest,Religion,Religion
Karhold,Old_Gods_of_the_Forest,Religion,Religion
Sow%27s_Horn,Faith_of_the_Seven,Religion,Religion
Sharp_Point,Faith_of_the_Seven,Religion,Religion
Stonedance,Faith_of_the_Seven,Religion,Religion
Duskendale,Faith_of_the_Seven,Religion,Religion
Rosby,Faith_of_the_Seven,Religion,Religion
Antlers,Faith_of_the_Seven,Religion,Religion
Sept_of_Remembrance,Faith_of_the_Seven,Religion,Religion
Chamber_of_the_Painted_Table,R%27hllor,Religion,Religion
Kingdom_of_the_Iron_Islands,Drowned_God,Religion,Religion
Long_Barrow,Old_Gods_of_the_Forest,Religion,Religion
Long_Barrow,Faith_of_the_Seven,Religion,Religion
Queensgate,Old_Gods_of_the_Forest,Religion,Religion
Queensgate,Faith_of_the_Seven,Religion,Religion
Greyguard,Old_Gods_of_the_Forest,Religion,Religion
Greyguard,Faith_of_the_Seven,Religion,Religion
Deep_Lake,Old_Gods_of_the_Forest,Religion,Religion
Deep_Lake,Faith_of_the_Seven,Religion,Religion
North_Grove,Old_Gods_of_the_Forest,Religion,Religion
Mole%27s_Town,Old_Gods_of_the_Forest,Religion,Religion
The_Shadow_Tower,Old_Gods_of_the_Forest,Religion,Religion
The_Shadow_Tower,Faith_of_the_Seven,Religion,Religion
Castle_Cerwyn,Old_Gods_of_the_Forest,Religion,Religion
Hornwood,Old_Gods_of_the_Forest,Religion,Religion
Torrhen%27s_Square,Old_Gods_of_the_Forest,Religion,Religion
Torrhen%27s_Square,Drowned_God,Religion,Religion
The_Citadel,Faith_of_the_Seven,Religion,Religion
Red_Keep,Faith_of_the_Seven,Religion,Religion
Starfall,Faith_of_the_Seven,Religion,Religion
Kingdom_of_the_North,Old_Gods_of_the_Forest,Religion,Religion
Kingdom_of_the_North,Faith_of_the_Seven,Religion,Religion
Great_Sept_of_Baelor,Faith_of_the_Seven,Religion,Religion
Starry_Sept,Faith_of_the_Seven,Religion,Religion
Seven_Kingdoms,Faith_of_the_Seven,Religion,Religion
Seven_Kingdoms,Old_Gods_of_the_Forest,Religion,Religion
Seven_Kingdoms,Drowned_God,Religion,Religion
Seven_Kingdoms,R%27hllor,Religion,Religion
Dragonstone_(island),R%27hllor,Religion,Religion
Dragonstone_(island),Faith_of_the_Seven,Religion,Religion
Festival_of_the_Mother,Faith_of_the_Seven,Religion,Religion
Dothraki_Sea,Great_Stallion,Religion,Religion
Dragonstone_(castle),R%27hllor,Religion,Religion
Dragonstone_(castle),Faith_of_the_Seven,Religion,Religion
The_Neck,Old_Gods_of_the_Forest,Religion,Religion
Temple_of_the_Lord_of_Light_(Braavos),R%27hllor,Religion,Religion
Vaes_Dothrak,Great_Stallion,Religion,Religion
Meereen,R%27hllor,Religion,Religion
Hardhome,Old_Gods_of_the_Forest,Religion,Religion
The_Gift,Old_Gods_of_the_Forest,Religion,Religion
The_Gift,Faith_of_the_Seven,Religion,Religion
The_Nightfort,Old_Gods_of_the_Forest,Religion,Religion
The_Nightfort,Faith_of_the_Seven,Religion,Religion
Beyond_the_Wall,Old_Gods_of_the_Forest,Religion,Religion
Eastwatch-by-the-Sea,Old_Gods_of_the_Forest,Religion,Religion
Eastwatch-by-the-Sea,Faith_of_the_Seven,Religion,Religion
Castle_Black,Old_Gods_of_the_Forest,Religion,Religion
Castle_Black,Faith_of_the_Seven,Religion,Religion
Water_Gardens,Faith_of_the_Seven,Religion,Religion
Sunspear,Faith_of_the_Seven,Religion,Religion
Dornish_Marches,Faith_of_the_Seven,Religion,Religion
Tarth,Faith_of_the_Seven,Religion,Religion
Storm%27s_End,Faith_of_the_Seven,Religion,Religion
Dorne,Faith_of_the_Seven,Religion,Religion
The_Stormlands,Faith_of_the_Seven,Religion,Religion
Lordsport,Drowned_God,Religion,Religion
Pyke_(castle),Drowned_God,Religion,Religion
Iron_Islands,Drowned_God,Religion,Religion
Iron_Islands,Faith_of_the_Seven,Religion,Religion
Castamere,Faith_of_the_Seven,Religion,Religion
Golden_Tooth,Faith_of_the_Seven,Religion,Religion
Lannisport,Faith_of_the_Seven,Religion,Religion
The_Westerlands,Faith_of_the_Seven,Religion,Religion
Gulltown,Faith_of_the_Seven,Religion,Religion
Runestone,Faith_of_the_Seven,Religion,Religion
Casterly_Rock,Faith_of_the_Seven,Religion,Religion
Bloody_Gate,Faith_of_the_Seven,Religion,Religion
The_Vale_of_Arryn,Faith_of_the_Seven,Religion,Religion
The_Vale_of_Arryn,Old_Gods_of_the_Forest,Religion,Religion
The_Arbor,Faith_of_the_Seven,Religion,Religion
Horn_Hill,Faith_of_the_Seven,Religion,Religion
Highgarden,Faith_of_the_Seven,Religion,Religion
The_Reach,Faith_of_the_Seven,Religion,Religion
The_Twins,Faith_of_the_Seven,Religion,Religion
Harrenhal,Faith_of_the_Seven,Religion,Religion
Harrenhal,Drowned_God,Religion,Religion
Oldtown,Faith_of_the_Seven,Religion,Religion
Riverrun,Faith_of_the_Seven,Religion,Religion
Bear_Island,Old_Gods_of_the_Forest,Religion,Religion
White_Harbor,Faith_of_the_Seven,Religion,Religion
White_Harbor,Old_Gods_of_the_Forest,Religion,Religion
The_Riverlands,Faith_of_the_Seven,Religion,Religion
The_Riverlands,Old_Gods_of_the_Forest,Religion,Religion
Highpoint,Faith_of_the_Seven,Religion,Religion
Ironrath,Old_Gods_of_the_Forest,Religion,Religion
Deepwood_Motte,Old_Gods_of_the_Forest,Religion,Religion
Deepwood_Motte,Drowned_God,Religion,Religion
Castle_Stokeworth,Faith_of_the_Seven,Religion,Religion
The_Dreadfort,Old_Gods_of_the_Forest,Religion,Religion
Winterfell,Old_Gods_of_the_Forest,Religion,Religion
King%27s_Landing,Faith_of_the_Seven,Religion,Religion
The_Crownlands,Faith_of_the_Seven,Religion,Religion
The_Wall,Faith_of_the_Seven,Religion,Religion
The_Wall,Old_Gods_of_the_Forest,Religion,Religion
The_North,Old_Gods_of_the_Forest,Religion,Religion
The_North,Faith_of_the_Seven,Religion,Religion
