Source,Target,Relation,Label
Queenscrown,Night%27s_Watch,Rulers,Rulers
Temple_of_the_Dosh_khaleen,Dosh_khaleen,Rulers,Rulers
Guildhall_of_the_Alchemists,Alchemists%27_Guild,Rulers,Rulers
Greyguard,Night%27s_Watch,Rulers,Rulers
Deep_Lake,Night%27s_Watch,Rulers,Rulers
The_Shadow_Tower,Night%27s_Watch,Rulers,Rulers
Hall_of_a_Thousand_Thrones,The_Thirteen,Rulers,Rulers
The_Citadel,Conclave,Rulers,Rulers
The_Citadel,Maesters,Rulers,Rulers
Hall_of_Faces,Faceless_Men,Rulers,Rulers
Daznak%27s_Pit,Second_Sons,Rulers,Rulers
Daznak%27s_Pit,Great_Masters,Rulers,Rulers
Temple_of_the_Graces,Graces,Rulers,Rulers
Hollow_Hill,Brotherhood_Without_Banners,Rulers,Rulers
Vaes_Dothrak,Dosh_khaleen,Rulers,Rulers
Astapor,Good_Masters,Rulers,Rulers
Astapor,Astapori_ruling_council,Rulers,Rulers
Yunkai,Wise_Masters,Rulers,Rulers
Qarth,The_Thirteen,Rulers,Rulers
Meereen,Great_Masters,Rulers,Rulers
The_Nightfort,Night%27s_Watch,Rulers,Rulers
Eastwatch-by-the-Sea,Night%27s_Watch,Rulers,Rulers
Castle_Black,Night%27s_Watch,Rulers,Rulers
