Source,Target,Relation,Label
Clegane%27s_Keep,Clegane_(founder),Founder,Founder
Unnamed_Baelish_castle,Baelish_(founder),Founder,Founder
Maidenvault,Baelor_Targaryen,Founder,Founder
Kingdom_of_the_Stormlands,Durran,Founder,Founder
Maegor%27s_Holdfast,Maegor_Targaryen,Founder,Founder
Kingdom_of_the_Rock,Lann,Founder,Founder
Principality_of_Dorne,Mors_Martell,Founder,Founder
Principality_of_Dorne,Nymeria,Founder,Founder
Summerhall,Daeron_II_Targaryen,Founder,Founder
Kingdom_of_the_Isles_and_the_Rivers,Harwyn_Hoare,Founder,Founder
Karhold,Karlon_Stark,Founder,Founder
Sept_of_Remembrance,Aegon_I_Targaryen,Founder,Founder
Chamber_of_the_Painted_Table,Aegon_I_Targaryen,Founder,Founder
Kingdom_of_the_Iron_Islands,Grey_King,Founder,Founder
The_Citadel,Urrigon_Hightower,Founder,Founder
Red_Keep,Aegon_I_Targaryen,Founder,Founder
Red_Keep,Maegor_Targaryen,Founder,Founder
White_Sword_Tower,Aegon_I_Targaryen,Founder,Founder
Kingdom_of_the_North,Brandon_Stark_(the_Builder),Founder,Founder
Great_Sept_of_Baelor,Baelor_Targaryen,Founder,Founder
Seven_Kingdoms,Aegon_I_Targaryen,Founder,Founder
The_Gift,Brandon_Stark_(the_Builder),Founder,Founder
Castle_Black,Brandon_Stark_(the_Builder),Founder,Founder
Water_Gardens,Maron_Martell,Founder,Founder
Storm%27s_End,Durran,Founder,Founder
Storm%27s_End,Brandon_Stark_(the_Builder),Founder,Founder
Dorne,Mors_Martell,Founder,Founder
Dorne,Nymeria,Founder,Founder
Highgarden,Garth_Gardener,Founder,Founder
Harrenhal,Harren_Hoare,Founder,Founder
Ironrath,Cedric_Forrester,Founder,Founder
Winterfell,Brandon_Stark_(the_Builder),Founder,Founder
King%27s_Landing,Aegon_I_Targaryen,Founder,Founder
The_Crownlands,Aegon_I_Targaryen,Founder,Founder
The_Wall,Brandon_Stark_(the_Builder),Founder,Founder
The_North,Brandon_Stark_(the_Builder),Founder,Founder
