Source,Target,Relation,Label
Kingdom_of_the_Mountain_and_the_Vale,Andals,Culture,Culture
Kingdom_of_the_Mountain_and_the_Vale,First_Men,Culture,Culture
Thenn_(region),Free_Folk,Culture,Culture
Thenn_(region),Thenns,Culture,Culture
Valyrian_Peninsula,Valyrians,Culture,Culture
Kingdom_of_the_Stormlands,Andals,Culture,Culture
Kingdom_of_the_River_and_the_Hills,Andals,Culture,Culture
Kingdom_of_the_River_and_the_Hills,First_Men,Culture,Culture
Kingdom_of_the_Reach,Andals,Culture,Culture
Kingdom_of_the_Rock,Andals,Culture,Culture
Principality_of_Dorne,Dornishmen,Culture,Culture
Kingdom_of_the_Isles_and_the_Rivers,Andals,Culture,Culture
Kingdom_of_the_Iron_Islands,Andals,Culture,Culture
Kingdom_of_the_North,Northmen,Culture,Culture
Kingdom_of_the_North,Crannogmen,Culture,Culture
Kingdom_of_the_North,Free_Folk,Culture,Culture
Kingdom_of_the_North,Andals,Culture,Culture
Seven_Kingdoms,Andals,Culture,Culture
Seven_Kingdoms,Northmen,Culture,Culture
Seven_Kingdoms,Crannogmen,Culture,Culture
Seven_Kingdoms,Dornishmen,Culture,Culture
Seven_Kingdoms,Free_Folk,Culture,Culture
Seven_Kingdoms,Hill_tribes,Culture,Culture
Seven_Kingdoms,Ironborn,Culture,Culture
Seven_Kingdoms,Valyrians,Culture,Culture
Dothraki_Sea,Dothraki,Culture,Culture
The_Neck,First_Men,Culture,Culture
Ib,Ibbenese,Culture,Culture
Lhazar,Lhazareen,Culture,Culture
Lands_of_Always_Winter,White_Walkers,Culture,Culture
Lands_of_Always_Winter,Children_of_the_Forest,Culture,Culture
The_Gift,First_Men,Culture,Culture
Beyond_the_Wall,White_Walkers,Culture,Culture
Beyond_the_Wall,Children_of_the_Forest,Culture,Culture
Beyond_the_Wall,Giants,Culture,Culture
Beyond_the_Wall,Free_Folk,Culture,Culture
Dornish_Marches,Andals,Culture,Culture
Dorne,Dornishmen,Culture,Culture
Dorne,Rhoynar,Culture,Culture
Dorne,First_Men,Culture,Culture
The_Stormlands,Andals,Culture,Culture
Iron_Islands,Ironborn,Culture,Culture
The_Vale_of_Arryn,Andals,Culture,Culture
The_Vale_of_Arryn,Northmen,Culture,Culture
The_Reach,Andals,Culture,Culture
The_Riverlands,Andals,Culture,Culture
The_Riverlands,Northmen,Culture,Culture
The_Crownlands,Andals,Culture,Culture
The_Wall,Andals,Culture,Culture
The_Wall,Northmen,Culture,Culture
The_Wall,Ironborn,Culture,Culture
The_Wall,Dornishmen,Culture,Culture
The_North,Northmen,Culture,Culture
The_North,Andals,Culture,Culture
The_North,Crannogmen,Culture,Culture
The_North,First_Men,Culture,Culture
The_North,Giants,Culture,Culture
The_North,Children_of_the_Forest,Culture,Culture
