Source,Target,Relation,Label
Thenn_(region),Thenns,Population,Population
Ar_Noy,Rhoynar,Population,Population
Old_Valyria,Valyrians,Population,Population
Principality_of_Dorne,Dornishmen,Population,Population
Principality_of_Dorne,Rhoynar,Population,Population
Principality_of_Dorne,First_Men,Population,Population
Ghiscari_Empire,Ghiscari,Population,Population
Dothraki_Sea,Dothraki,Population,Population
The_Neck,Crannogmen,Population,Population
Ib,Ibbenese,Population,Population
Lhazar,Lhazareen,Population,Population
Astapor,Ghiscari,Population,Population
Yunkai,Ghiscari,Population,Population
Meereen,Ghiscari,Population,Population
Lands_of_Always_Winter,White_Walkers,Population,Population
Lands_of_Always_Winter,Wights,Population,Population
Lands_of_Always_Winter,Children_of_the_Forest,Population,Population
The_Gift,Northmen,Population,Population
The_Gift,Free_Folk,Population,Population
Beyond_the_Wall,White_Walkers,Population,Population
Beyond_the_Wall,Wights,Population,Population
Beyond_the_Wall,Giants,Population,Population
Beyond_the_Wall,Children_of_the_Forest,Population,Population
Beyond_the_Wall,Free_Folk,Population,Population
Dorne,Dornishmen,Population,Population
Iron_Islands,Ironborn,Population,Population
The_North,Northmen,Population,Population
The_North,Crannogmen,Population,Population
The_North,Free_Folk,Population,Population
