Source,Target,Relation,Label
Temple_of_the_Graces,Ghiscari_religion,Religion,Religion
Great_Pyramid,Ghiscari_religion,Religion,Religion
Ghiscari_Empire,Ghiscari_religion,Religion,Religion
Temple_of_the_Moonsingers,Moonsingers,Religion,Religion
Lhazar,Great_Shepherd,Religion,Religion
Astapor,Ghiscari_religion,Religion,Religion
Yunkai,Ghiscari_religion,Religion,Religion
Meereen,Ghiscari_religion,Religion,Religion
Slaver%27s_Bay,Ghiscari_religion,Religion,Religion
Free_Cities,Moonsingers,Religion,Religion
