Source,Target,Relation,Label
Faceless_Men,Valar_Morghulis,SeenOrMentioned,Mentioned in
Unsullied,The_Broken_Man,SeenOrMentioned,Mentioned in
Brotherhood_Without_Banners,Garden_of_Bones,SeenOrMentioned,Mentioned in
Brotherhood_Without_Banners,A_Man_Without_Honor,SeenOrMentioned,Mentioned in
Brotherhood_Without_Banners,Blood_of_My_Blood,SeenOrMentioned,Mentioned in
Iron_Bank_of_Braavos,The_Laws_of_Gods_and_Men,SeenOrMentioned,Appeared in
Iron_Bank_of_Braavos,Walk_of_Punishment,SeenOrMentioned,Mentioned in
Iron_Bank_of_Braavos,The_Lion_and_the_Rose,SeenOrMentioned,Mentioned in
Iron_Bank_of_Braavos,First_of_His_Name,SeenOrMentioned,Mentioned in
Warlocks,Garden_of_Bones,SeenOrMentioned,Appeared in
Warlocks,The_Ghost_of_Harrenhal,SeenOrMentioned,Appeared in
Warlocks,A_Man_Without_Honor,SeenOrMentioned,Appeared in
Warlocks,Valar_Morghulis,SeenOrMentioned,Appeared in
Warlocks,Valar_Dohaeris,SeenOrMentioned,Appeared in
Golden_Company,Breaker_of_Chains,SeenOrMentioned,Mentioned in
Golden_Company,Mockingbird,SeenOrMentioned,Mentioned in
Golden_Company,The_Spoils_of_War,SeenOrMentioned,Mentioned in
Golden_Company,The_Dragon_and_the_Wolf,SeenOrMentioned,Mentioned in
Kingswood_Brotherhood,A_Man_Without_Honor,SeenOrMentioned,Mentioned in
Astapori_ruling_council,First_of_His_Name,SeenOrMentioned,Mentioned in
Civic_Guard,Garden_of_Bones,SeenOrMentioned,Appeared in
Conclave,Eastwatch,SeenOrMentioned,Appeared in
Conclave,The_North_Remembers,SeenOrMentioned,Mentioned in
Stormcrows,The_Gift_(episode),SeenOrMentioned,Mentioned in
Most_Devout,The_Old_Gods_and_the_New,SeenOrMentioned,Mentioned in
Second_Sons,Second_Sons_(episode),SeenOrMentioned,Appeared in
Graces,The_Laws_of_Gods_and_Men,SeenOrMentioned,Mentioned in
Graces,The_Wars_To_Come,SeenOrMentioned,Mentioned in
Dosh_khaleen,A_Golden_Crown,SeenOrMentioned,Appeared in
Dosh_khaleen,Oathbreaker,SeenOrMentioned,Appeared in
Dosh_khaleen,Book_of_the_Stranger,SeenOrMentioned,Appeared in
Dosh_khaleen,The_Red_Woman,SeenOrMentioned,Mentioned in
Alchemists%27_Guild,The_Ghost_of_Harrenhal,SeenOrMentioned,Appeared in
