Source,Target,Relation,Label
Unsullied,House_Targaryen,Allegiance,Allegiance
Golden_Company,House_Blackfyre,Allegiance,Allegiance
Astapori_ruling_council,House_Targaryen,Allegiance,Allegiance
Lannister_fleet,House_Lannister,Allegiance,Allegiance
Blacks,House_Targaryen,Allegiance,Allegiance
Greens,House_Targaryen,Allegiance,Allegiance
Redwyne_Fleet,House_Redwyne,Allegiance,Allegiance
Stormcrows,House_Baratheon_of_Dragonstone,Allegiance,Allegiance
Second_Sons,House_Targaryen,Allegiance,Allegiance
Iron_Fleet,House_Greyjoy,Allegiance,Allegiance
