Source,Target,Relation,Label
Faceless_Men,Braavos,Center,Center
Faith_of_the_Seven,Starry_Sept,Center,Center
Faith_of_the_Seven,Great_Sept_of_Baelor,Center,Center
Faith_of_the_Seven,King%27s_Landing,Center,Center
Brotherhood_Without_Banners,Hollow_Hill,Center,Center
Brotherhood_Without_Banners,The_Riverlands,Center,Center
Iron_Bank_of_Braavos,Braavos,Center,Center
Iron_Bank_of_Braavos,Free_Cities,Center,Center
Kingsguard,White_Sword_Tower,Center,Center
Kingsguard,Red_Keep,Center,Center
Kingsguard,King%27s_Landing,Center,Center
Maesters,Oldtown,Center,Center
Warlocks,Qarth,Center,Center
Small_Council,Red_Keep,Center,Center
Small_Council,King%27s_Landing,Center,Center
Night%27s_Watch,Castle_Black,Center,Center
City_Watch_of_King%27s_Landing,King%27s_Landing,Center,Center
Golden_Company,Free_Cities,Center,Center
Kingswood_Brotherhood,Kingswood,Center,Center
Kingswood_Brotherhood,The_Crownlands,Center,Center
Windblown,Free_Cities,Center,Center
Astapori_ruling_council,Astapor,Center,Center
Lannister_fleet,Lannisport,Center,Center
Greens,Red_Keep,Center,Center
Greens,King%27s_Landing,Center,Center
Mazemakers,Lorath,Center,Center
Tiger_cloaks,Volantis,Center,Center
Redwyne_Fleet,The_Arbor,Center,Center
Sand_Snakes,Sunspear,Center,Center
Royal_Fleet,King%27s_Landing,Center,Center
Civic_Guard,Qarth,Center,Center
Conclave,Oldtown,Center,Center
Wise_Masters,Yunkai,Center,Center
Most_Devout,Starry_Sept,Center,Center
Most_Devout,Oldtown,Center,Center
Most_Devout,Great_Sept_of_Baelor,Center,Center
Most_Devout,King%27s_Landing,Center,Center
Great_Masters,Meereen,Center,Center
Good_Masters,Astapor,Center,Center
Graces,Temple_of_the_Graces,Center,Center
Iron_Throne,Red_Keep,Center,Center
Little_birds,King%27s_Landing,Center,Center
Dosh_khaleen,Vaes_Dothrak,Center,Center
Sons_of_the_Harpy,Meereen,Center,Center
Sons_of_the_Harpy,Slaver%27s_Bay,Center,Center
Faith_Militant,Great_Sept_of_Baelor,Center,Center
Faith_Militant,King%27s_Landing,Center,Center
Faith_Militant,Sept_of_Remembrance,Center,Center
Faith_Militant,King%27s_Landing,Center,Center
Alchemists%27_Guild,Guildhall_of_the_Alchemists,Center,Center
Alchemists%27_Guild,King%27s_Landing,Center,Center
Iron_Fleet,Pyke_(castle),Center,Center
Great_Stallion,Vaes_Dothrak,Center,Center
