Source,Target,Relation,Label
Unsullied,Good_Masters,Allegiance,Allegiance
Brotherhood_Without_Banners,R%27hllor,Allegiance,Allegiance
Lost_Legion,Wise_Masters,Allegiance,Allegiance
Civic_Guard,The_Thirteen,Allegiance,Allegiance
Conclave,Maesters,Allegiance,Allegiance
Most_Devout,Faith_of_the_Seven,Allegiance,Allegiance
Drowned_Men,Drowned_God,Allegiance,Allegiance
Sons_of_the_Harpy,Great_Masters,Allegiance,Allegiance
Faith_Militant,Faith_of_the_Seven,Allegiance,Allegiance
Alchemists%27_Guild,Iron_Throne,Allegiance,Allegiance
