Source,Target,Relation,Label
Brotherhood_Without_Banners,Eddard_Stark,Founder,Founder
Kingsguard,Aegon_I_Targaryen,Founder,Founder
Kingsguard,Visenya_Targaryen,Founder,Founder
Maesters,Peremore_Hightower,Founder,Founder
Small_Council,Aegon_I_Targaryen,Founder,Founder
City_Watch_of_King%27s_Landing,Daemon_Targaryen,Founder,Founder
Golden_Company,Aegor_Rivers,Founder,Founder
Blacks,Rhaenyra_Targaryen,Founder,Founder
Greens,Alicent_Hightower,Founder,Founder
Sand_Snakes,Ellaria_Sand,Founder,Founder
Sand_Snakes,Oberyn_Martell,Founder,Founder
Royal_Fleet,Aegon_I_Targaryen,Founder,Founder
Iron_Throne,Aegon_I_Targaryen,Founder,Founder
Sons_of_the_Harpy,The_Harpy,Founder,Founder
Faith_Militant,High_Sparrow,Founder,Founder
