Source,Target,Relation,Label
Unsullied,Grey_Worm,Leader,Leader
Brotherhood_Without_Banners,Beric_Dondarrion,Leader,Leader
Small_Council,Qyburn,Leader,Leader
Night%27s_Watch,Eddison_Tollett,Leader,Leader
Golden_Company,Harry_Strickland,Leader,Leader
Kingswood_Brotherhood,Simon_Toyne,Leader,Leader
Astapori_ruling_council,Daenerys_Targaryen,Leader,Leader
Blacks,Rhaenyra_Targaryen,Leader,Leader
Greens,Aegon_II_Targaryen,Leader,Leader
Redwyne_Fleet,Paxter_Redwyne,Leader,Leader
Sand_Snakes,Ellaria_Sand,Leader,Leader
Sand_Snakes,Oberyn_Martell,Leader,Leader
Second_Sons,Daario_Naharis,Leader,Leader
Little_birds,Varys,Leader,Leader
Little_birds,Daenerys_Targaryen,Leader,Leader
Little_birds,Qyburn,Leader,Leader
Little_birds,Cersei_Lannister,Leader,Leader
Sons_of_the_Harpy,The_Harpy,Leader,Leader
Alchemists%27_Guild,Hallyne,Leader,Leader
Iron_Fleet,Euron_Greyjoy,Leader,Leader
