Source,Target,Relation,Label
Faceless_Men,Jaqen_H%27ghar,Membership,Notable Members
Faceless_Men,Waif,Membership,Notable Members
Faceless_Men,Arya_Stark,Membership,Former Members
R%27hllor,Melisandre,Membership,Notable Members
R%27hllor,Kinvara,Membership,Notable Members
R%27hllor,Zanrush,Membership,Notable Members
R%27hllor,Thoros,Membership,Former Members
Drowned_God,Aeron_Greyjoy,Membership,Notable Members
Drowned_God,Drowned_Priest,Membership,Notable Members
Drowned_God,Lodos,Membership,Former Members
Unsullied,White_Rat,Membership,Former Members
Brotherhood_Without_Banners,Anguy,Membership,Notable Members
Brotherhood_Without_Banners,Sandor_Clegane,Membership,Notable Members
Brotherhood_Without_Banners,Lem,Membership,Former Members
Brotherhood_Without_Banners,Gatins,Membership,Former Members
Brotherhood_Without_Banners,Morgan,Membership,Former Members
Brotherhood_Without_Banners,Steve,Membership,Former Members
Brotherhood_Without_Banners,Riddell,Membership,Former Members
Brotherhood_Without_Banners,Thoros,Membership,Former Members
Iron_Bank_of_Braavos,Tycho_Nestoris,Membership,Notable Members
Kingsguard,Boros_Blount,Membership,Notable Members
Kingsguard,Preston_Greenfield,Membership,Notable Members
Kingsguard,Arys_Oakheart,Membership,Notable Members
Kingsguard,Balon_Swann,Membership,Notable Members
Kingsguard,Osmund_Kettleblack,Membership,Notable Members
Kingsguard,Gregor_Clegane,Membership,Notable Members
Kingsguard,Barristan_Selmy,Membership,Former Members
Kingsguard,Jaime_Lannister,Membership,Former Members
Kingsguard,Sandor_Clegane,Membership,Former Members
Kingsguard,Mandon_Moore,Membership,Former Members
Kingsguard,Meryn_Trant,Membership,Former Members
Kingsguard,Arthur_Dayne,Membership,Former Members
Kingsguard,Gerold_Hightower,Membership,Former Members
Maesters,Wolkan,Membership,Notable Members
Maesters,Bear_Island_maester,Membership,Notable Members
Maesters,Helliweg,Membership,Notable Members
Maesters,Ebrose,Membership,Notable Members
Maesters,Qyburn,Membership,Former Members
Maesters,Aemon,Membership,Former Members
Maesters,Cressen,Membership,Former Members
Maesters,Luwin,Membership,Former Members
Maesters,Ortengryn,Membership,Former Members
Maesters,Caleotte,Membership,Former Members
Maesters,Ch%27Vyalthan,Membership,Former Members
Maesters,Pycelle,Membership,Former Members
Warlocks,Unidentified_Warlock,Membership,Notable Members
Warlocks,Pyat_Pree,Membership,Former Members
