Source,Target,Relation,Label
Faceless_Men,Season_2,SeenOrMentioned,Season(s)
Faceless_Men,Season_5,SeenOrMentioned,Season(s)
Faceless_Men,Season_6,SeenOrMentioned,Season(s)
Unsullied,Season_1,SeenOrMentioned,Season(s)
Unsullied,Season_3,SeenOrMentioned,Season(s)
Unsullied,Season_4,SeenOrMentioned,Season(s)
Unsullied,Season_5,SeenOrMentioned,Season(s)
Unsullied,Season_6,SeenOrMentioned,Season(s)
Unsullied,Season_7,SeenOrMentioned,Season(s)
Brotherhood_Without_Banners,Season_2,SeenOrMentioned,Season(s)
Brotherhood_Without_Banners,Season_3,SeenOrMentioned,Season(s)
Brotherhood_Without_Banners,Season_6,SeenOrMentioned,Season(s)
Brotherhood_Without_Banners,Season_7,SeenOrMentioned,Season(s)
Iron_Bank_of_Braavos,Season_3,SeenOrMentioned,Season(s)
Iron_Bank_of_Braavos,Season_4,SeenOrMentioned,Season(s)
Iron_Bank_of_Braavos,Season_5,SeenOrMentioned,Season(s)
Iron_Bank_of_Braavos,Season_7,SeenOrMentioned,Season(s)
Kingsguard,Season_1,SeenOrMentioned,Season(s)
Kingsguard,Season_2,SeenOrMentioned,Season(s)
Kingsguard,Season_3,SeenOrMentioned,Season(s)
Kingsguard,Season_4,SeenOrMentioned,Season(s)
Kingsguard,Season_5,SeenOrMentioned,Season(s)
Kingsguard,Season_6,SeenOrMentioned,Season(s)
Kingsguard,Season_7,SeenOrMentioned,Season(s)
Maesters,Season_1,SeenOrMentioned,Season(s)
Maesters,Season_2,SeenOrMentioned,Season(s)
Maesters,Season_3,SeenOrMentioned,Season(s)
Maesters,Season_4,SeenOrMentioned,Season(s)
Maesters,Season_5,SeenOrMentioned,Season(s)
Maesters,Season_6,SeenOrMentioned,Season(s)
Maesters,Season_7,SeenOrMentioned,Season(s)
Warlocks,Season_2,SeenOrMentioned,Season(s)
Warlocks,Season_3,SeenOrMentioned,Season(s)
Small_Council,Season_1,SeenOrMentioned,Season(s)
Small_Council,Season_2,SeenOrMentioned,Season(s)
Small_Council,Season_3,SeenOrMentioned,Season(s)
Small_Council,Season_4,SeenOrMentioned,Season(s)
Small_Council,Season_5,SeenOrMentioned,Season(s)
Small_Council,Season_6,SeenOrMentioned,Season(s)
Night%27s_Watch,Season_1,SeenOrMentioned,Season(s)
Night%27s_Watch,Season_2,SeenOrMentioned,Season(s)
Night%27s_Watch,Season_3,SeenOrMentioned,Season(s)
Night%27s_Watch,Season_4,SeenOrMentioned,Season(s)
Night%27s_Watch,Season_5,SeenOrMentioned,Season(s)
Night%27s_Watch,Season_6,SeenOrMentioned,Season(s)
Night%27s_Watch,Season_7,SeenOrMentioned,Season(s)
City_Watch_of_King%27s_Landing,Season_1,SeenOrMentioned,Season(s)
City_Watch_of_King%27s_Landing,Season_2,SeenOrMentioned,Season(s)
City_Watch_of_King%27s_Landing,Season_3,SeenOrMentioned,Season(s)
City_Watch_of_King%27s_Landing,Season_4,SeenOrMentioned,Season(s)
