Source,Target,Relation,Label
Lannister_spearman,Drogon,Death,Death
Byron_Swann,Vhagar,Death,Death
Haro,Horses,Death,Death
Joffrey_Velaryon,Syrax,Death,Death
Lucerys_Velaryon,Arrax,Death,Death
Lucerys_Velaryon,Vhagar,Death,Death
Rhaenys_Targaryen_(Queen_Who_Never_Was),Sunfyre,Death,Death
Rhaenys_Targaryen_(Queen_Who_Never_Was),Vhagar,Death,Death
Harren_Hoare,Balerion,Death,Death
Lannister_guardsman_(Garden_of_Bones),Grey_Wind,Death,Death
Rennick,Grey_Wind,Death,Death
Rhaenys_Targaryen_(sister_of_Aegon_I),Meraxes,Death,Death
Mern_IX_Gardener,Dragons,Death,Death
Wineseller,The_silver,Death,Death
Dickon_Tarly,Drogon,Death,Death
Tansy,Bastard%27s_girls,Death,Death
Zalla,Drogon,Death,Death
Bolton_(son_of_Roose),Bastard%27s_girls,Death,Death
Walda_Bolton,Bastard%27s_girls,Death,Death
Rast,Ghost,Death,Death
Ramsay_Bolton,Bastard%27s_girls,Death,Death
Catspaw_assassin,Summer,Death,Death
Pyat_Pree,Dragons,Death,Death
Randyll_Tarly,Drogon,Death,Death
Terrence_Toyne,Dogs,Death,Death
Rhaenyra_Targaryen,Sunfyre,Death,Death
Great_Master_1_(Kill_the_Boy),Rhaegal,Death,Death
Great_Master_1_(Kill_the_Boy),Viserion,Death,Death
Kraznys_mo_Nakloz,Drogon,Death,Death
