Source,Target,Relation,Label
Qyburn,Valar_Dohaeris,SeenOrMentioned,First seen
Luwin,Winter_Is_Coming,SeenOrMentioned,First seen
Luwin,Valar_Morghulis,SeenOrMentioned,Last seen
Luwin,Valar_Morghulis,SeenOrMentioned,Death shown in episode
Wolkan,The_Red_Woman,SeenOrMentioned,First seen
Bear_Island_maester,The_Broken_Man,SeenOrMentioned,Appeared in
Cressen,The_North_Remembers,SeenOrMentioned,Appeared in
Cressen,The_North_Remembers,SeenOrMentioned,Death shown in episode
Margaery_Tyrell,What_Is_Dead_May_Never_Die,SeenOrMentioned,First seen
Margaery_Tyrell,The_Winds_of_Winter,SeenOrMentioned,Last seen
Margaery_Tyrell,The_Winds_of_Winter,SeenOrMentioned,Death shown in episode
Volarik,The_Mountain_and_the_Viper,SeenOrMentioned,Mentioned in
Vaull,The_Watchers_on_the_Wall,SeenOrMentioned,Mentioned in
Captured_wight,Beyond_the_Wall_(episode),SeenOrMentioned,First seen
Captured_wight,The_Dragon_and_the_Wolf,SeenOrMentioned,Last seen
Captured_wight,The_Dragon_and_the_Wolf,SeenOrMentioned,Death shown in episode
Tyene_Sand,Sons_of_the_Harpy_(episode),SeenOrMentioned,First seen
Tyene_Sand,The_Queen%27s_Justice,SeenOrMentioned,Last seen
Tyene_Sand,First_of_His_Name,SeenOrMentioned,Mentioned in
Tyene_Sand,The_Queen%27s_Justice,SeenOrMentioned,Death shown in episode
Citadel_maester_(The_Winds_of_Winter),The_Winds_of_Winter,SeenOrMentioned,Appeared in
Brandon_Stark_(son_of_Rickard),Winter_Is_Coming,SeenOrMentioned,Mentioned in
Brandon_Stark_(son_of_Rickard),Lord_Snow,SeenOrMentioned,Mentioned in
Brandon_Stark_(son_of_Rickard),First_of_His_Name,SeenOrMentioned,Mentioned in
Brandon_Stark_(son_of_Rickard),The_Queen%27s_Justice,SeenOrMentioned,Mentioned in
Elaena_Glenmore,The_Lost_Lords,SeenOrMentioned,First seen
Gryff_Whitehill,The_Sword_in_the_Darkness,SeenOrMentioned,First seen
Gryff_Whitehill,The_Ice_Dragon,SeenOrMentioned,Last seen
Gryff_Whitehill,Iron_From_Ice,SeenOrMentioned,Mentioned in
Gryff_Whitehill,The_Lost_Lords,SeenOrMentioned,Mentioned in
Gryff_Whitehill,The_Ice_Dragon,SeenOrMentioned,Death shown in episode
Ryon_Forrester,Iron_From_Ice,SeenOrMentioned,First seen
Ryon_Forrester,The_Ice_Dragon,SeenOrMentioned,Last seen
Biter,Fire_and_Blood,SeenOrMentioned,First seen
Biter,Mockingbird,SeenOrMentioned,Last seen
Biter,Mockingbird,SeenOrMentioned,Death shown in episode
Rorge,Fire_and_Blood,SeenOrMentioned,First seen
Rorge,Mockingbird,SeenOrMentioned,Last seen
Rorge,Mockingbird,SeenOrMentioned,Death shown in episode
Ludd_Whitehill,Iron_From_Ice,SeenOrMentioned,First seen
Ludd_Whitehill,The_Ice_Dragon,SeenOrMentioned,Last seen
Ludd_Whitehill,The_Sword_in_the_Darkness,SeenOrMentioned,Mentioned in
Ludd_Whitehill,A_Nest_of_Vipers,SeenOrMentioned,Mentioned in
Ludd_Whitehill,The_Ice_Dragon,SeenOrMentioned,Death shown in episode
Polliver,What_Is_Dead_May_Never_Die,SeenOrMentioned,First seen
Polliver,Two_Swords,SeenOrMentioned,Last seen
Polliver,Two_Swords,SeenOrMentioned,Death shown in episode
Willem_Lannister,Walk_of_Punishment,SeenOrMentioned,First seen
Willem_Lannister,Kissed_by_Fire,SeenOrMentioned,Last seen
Willem_Lannister,Kissed_by_Fire,SeenOrMentioned,Death shown in episode
Martyn_Lannister,Walk_of_Punishment,SeenOrMentioned,First seen
Martyn_Lannister,Kissed_by_Fire,SeenOrMentioned,Last seen
Martyn_Lannister,Kissed_by_Fire,SeenOrMentioned,Death shown in episode
Alton_Lannister,The_North_Remembers,SeenOrMentioned,First seen
Alton_Lannister,A_Man_Without_Honor,SeenOrMentioned,Last seen
Alton_Lannister,The_Mountain_and_the_Viper,SeenOrMentioned,Mentioned in
Alton_Lannister,Home,SeenOrMentioned,Mentioned in
Alton_Lannister,A_Man_Without_Honor,SeenOrMentioned,Death shown in episode
Stafford_Lannister,Garden_of_Bones,SeenOrMentioned,Mentioned in
Stafford_Lannister,Garden_of_Bones,SeenOrMentioned,Death shown in episode
Joanna_Lannister,The_Night_Lands,SeenOrMentioned,Mentioned in
Joanna_Lannister,Blackwater,SeenOrMentioned,Mentioned in
Joanna_Lannister,Second_Sons_(episode),SeenOrMentioned,Mentioned in
Joanna_Lannister,Hardhome_(episode),SeenOrMentioned,Mentioned in
Joanna_Lannister,The_Red_Woman,SeenOrMentioned,Mentioned in
Marillion,"Cripples,_Bastards,_and_Broken_Things",SeenOrMentioned,First seen
Marillion,Fire_and_Blood,SeenOrMentioned,Last seen
Gared%27s_sister,Iron_From_Ice,SeenOrMentioned,Appeared in
Gared%27s_sister,Iron_From_Ice,SeenOrMentioned,Death shown in episode
Gared%27s_father,Iron_From_Ice,SeenOrMentioned,Appeared in
Gared%27s_father,Iron_From_Ice,SeenOrMentioned,Death shown in episode
Thermund,Iron_From_Ice,SeenOrMentioned,Appeared in
Thermund,Iron_From_Ice,SeenOrMentioned,Death shown in episode
Norren,Iron_From_Ice,SeenOrMentioned,First seen
Norren,Iron_From_Ice,SeenOrMentioned,Last seen
Lady_Crane,The_Door,SeenOrMentioned,First seen
Lady_Crane,No_One,SeenOrMentioned,Last seen
Lady_Crane,No_One,SeenOrMentioned,Death shown in episode
Mord,The_Wolf_and_the_Lion,SeenOrMentioned,First seen
Mord,A_Golden_Crown,SeenOrMentioned,Last seen
Lothor_Brune,The_North_Remembers,SeenOrMentioned,Appeared in
Willem_Frey,A_Man_Without_Honor,SeenOrMentioned,Mentioned in
Willem_Frey,"Dark_Wings,_Dark_Words",SeenOrMentioned,Mentioned in
Robett_Glover,The_Broken_Man,SeenOrMentioned,First seen
Harrion_Karstark,The_Prince_of_Winterfell,SeenOrMentioned,Mentioned in
Harrion_Karstark,Kissed_by_Fire,SeenOrMentioned,Mentioned in
Harrion_Karstark,The_Climb,SeenOrMentioned,Mentioned in
Baratheon_(son_of_Robert),The_Kingsroad,SeenOrMentioned,Mentioned in
Baratheon_(son_of_Robert),The_Wolf_and_the_Lion,SeenOrMentioned,Mentioned in
Tysha,Baelor,SeenOrMentioned,Mentioned in
Tysha,The_Prince_of_Winterfell,SeenOrMentioned,Mentioned in
Tysha,Kissed_by_Fire,SeenOrMentioned,Mentioned in
Tysha,The_Bear_and_the_Maiden_Fair_(episode),SeenOrMentioned,Mentioned in
The_Tickler,Garden_of_Bones,SeenOrMentioned,First seen
The_Tickler,The_Ghost_of_Harrenhal,SeenOrMentioned,Last seen
The_Tickler,The_Ghost_of_Harrenhal,SeenOrMentioned,Death shown in episode
Weasel,Garden_of_Bones,SeenOrMentioned,Appeared in
Innkeeper%27s_daughter,Two_Swords,SeenOrMentioned,Appeared in
Lord_of_Bones,The_Prince_of_Winterfell,SeenOrMentioned,First seen
Lord_of_Bones,Hardhome_(episode),SeenOrMentioned,Last seen
Lord_of_Bones,Hardhome_(episode),SeenOrMentioned,Death shown in episode
Ros,Winter_Is_Coming,SeenOrMentioned,First seen
Ros,The_Climb,SeenOrMentioned,Last seen
Ros,The_Climb,SeenOrMentioned,Death shown in episode
Dontos_Hollard,The_North_Remembers,SeenOrMentioned,First seen
Dontos_Hollard,Breaker_of_Chains,SeenOrMentioned,Last seen
Dontos_Hollard,Breaker_of_Chains,SeenOrMentioned,Death shown in episode
Tourney_Herald,The_North_Remembers,SeenOrMentioned,Appeared in
Hugh,"Cripples,_Bastards,_and_Broken_Things",SeenOrMentioned,First seen
Hugh,The_Wolf_and_the_Lion,SeenOrMentioned,Last seen
Hugh,"Cripples,_Bastards,_and_Broken_Things",SeenOrMentioned,Death shown in episode
Ryger_Rivers,Baelor,SeenOrMentioned,Appeared in
Talbot,Mhysa,SeenOrMentioned,Mentioned in
Waldron_Frey,Baelor,SeenOrMentioned,Mentioned in
Malcolm,Mhysa,SeenOrMentioned,Mentioned in
Joyeuse_Frey,Baelor,SeenOrMentioned,First seen
Joyeuse_Frey,The_Rains_of_Castamere_(episode),SeenOrMentioned,Last seen
Joyeuse_Frey,The_Rains_of_Castamere_(episode),SeenOrMentioned,Death shown in episode
Tully_(son_of_Edmure),No_One,SeenOrMentioned,Mentioned in
Tully_(son_of_Edmure),The_Winds_of_Winter,SeenOrMentioned,Mentioned in
Kitty_Frey,Blood_of_My_Blood,SeenOrMentioned,First seen
Frey_soldier_1,Mhysa,SeenOrMentioned,Appeared in
Frey_soldier_1,Mhysa,SeenOrMentioned,Death shown in episode
Lannister_messenger,The_Pointy_End,SeenOrMentioned,Appeared in
Lannister_scout,The_Pointy_End,SeenOrMentioned,Appeared in
Lannister_spearman,The_Spoils_of_War,SeenOrMentioned,Appeared in
Lannister_soldier_3_(Dragonstone),Dragonstone_(episode),SeenOrMentioned,Appeared in
Lannister_soldier_1_(Dragonstone),Dragonstone_(episode),SeenOrMentioned,Appeared in
Lannister_soldier_(No_One),No_One,SeenOrMentioned,Appeared in
Lannister_captain_(Home),Home,SeenOrMentioned,Appeared in
Melara_Hetherspoon,The_Wars_To_Come,SeenOrMentioned,Appeared in
Knight_of_House_Frey,"Cripples,_Bastards,_and_Broken_Things",SeenOrMentioned,Appeared in
Lannister_guard_2,The_Dance_of_Dragons,SeenOrMentioned,Appeared in
Lannister_soldier_2_(The_Dragon_and_the_Wolf),The_Dragon_and_the_Wolf,SeenOrMentioned,Appeared in
Musician_3_(The_Lion_and_the_Rose),The_Lion_and_the_Rose,SeenOrMentioned,Appeared in
Musician_2_(The_Lion_and_the_Rose),The_Lion_and_the_Rose,SeenOrMentioned,Appeared in
Musician_1_(The_Lion_and_the_Rose),The_Lion_and_the_Rose,SeenOrMentioned,Appeared in
Maekar_Targaryen,Baelor,SeenOrMentioned,Mentioned in
Daemon_II_Blackfyre,A_Golden_Crown,SeenOrMentioned,Mentioned in
Rat_Cook,Mhysa,SeenOrMentioned,Mentioned in
Jaremy_Mallister,Valar_Dohaeris,SeenOrMentioned,Appeared in
Adrack_Humble,The_Mountain_and_the_Viper,SeenOrMentioned,Appeared in
Adrack_Humble,The_Mountain_and_the_Viper,SeenOrMentioned,Death shown in episode
Baelor_Targaryen,Baelor,SeenOrMentioned,Mentioned in
Baelor_Targaryen,The_Lion_and_the_Rose,SeenOrMentioned,Mentioned in
Baelor_Targaryen,Breaker_of_Chains,SeenOrMentioned,Mentioned in
Baelor_Targaryen,The_Gift_(episode),SeenOrMentioned,Mentioned in
Daeron_Targaryen_(son_of_Aegon_V),Oathkeeper,SeenOrMentioned,Mentioned in
Shiera_Seastar,A_Golden_Crown,SeenOrMentioned,Mentioned in
Naerys_Targaryen,A_Golden_Crown,SeenOrMentioned,Mentioned in
Rhaego,Valar_Morghulis,SeenOrMentioned,Appeared in
Rhaego,A_Golden_Crown,SeenOrMentioned,Mentioned in
Rhaego,Fire_and_Blood,SeenOrMentioned,Death shown in episode
Jhiqui,The_Kingsroad,SeenOrMentioned,Appeared in
Loboda,Hardhome_(episode),SeenOrMentioned,Appeared in
Loboda,Hardhome_(episode),SeenOrMentioned,Death shown in episode
Karsi,Hardhome_(episode),SeenOrMentioned,Appeared in
Karsi,Hardhome_(episode),SeenOrMentioned,Death shown in episode
Denner,The_Lost_Lords,SeenOrMentioned,First seen
Denner,Sons_of_Winter,SeenOrMentioned,Last seen
Wun_Weg_Wun_Dar_Wun,Hardhome_(episode),SeenOrMentioned,First seen
Willa,Hardhome_(episode),SeenOrMentioned,First seen
Johnna,Hardhome_(episode),SeenOrMentioned,First seen
White_Walker_(Hardhome),Hardhome_(episode),SeenOrMentioned,Appeared in
Styr,Two_Swords,SeenOrMentioned,First seen
Styr,The_Watchers_on_the_Wall,SeenOrMentioned,Last seen
Styr,The_Watchers_on_the_Wall,SeenOrMentioned,Death shown in episode
Unnamed_miller%27s_wife,Mhysa,SeenOrMentioned,Mentioned in
Unnamed_miller%27s_wife,Kill_the_Boy,SeenOrMentioned,Mentioned in
Captain%27s_daughter,The_Night_Lands,SeenOrMentioned,Appeared in
Qotho,Winter_Is_Coming,SeenOrMentioned,First seen
Qotho,Baelor,SeenOrMentioned,Last seen
Qotho,"Unbowed,_Unbent,_Unbroken",SeenOrMentioned,Mentioned in
Qotho,Baelor,SeenOrMentioned,Death shown in episode
Smalljon_Umber,Oathbreaker,SeenOrMentioned,First seen
Dongo,Valar_Dohaeris,SeenOrMentioned,First seen
Dongo,The_Watchers_on_the_Wall,SeenOrMentioned,Last seen
Dongo,The_Children,SeenOrMentioned,Last seen
Dongo,The_Watchers_on_the_Wall,SeenOrMentioned,Death shown in episode
Orell,"Dark_Wings,_Dark_Words",SeenOrMentioned,First seen
