Source,Target,Relation,Label
Margaery_Tyrell,Destruction_of_the_Great_Sept_of_Baelor,Death,Death
Brandon_Stark_(son_of_Rickard),Execution_of_Rickard_and_Brandon_Stark,Death,Death
Gryff_Whitehill,Battle_of_Ironrath,Death,Death
Ludd_Whitehill,Battle_of_Ironrath,Death,Death
Stafford_Lannister,Battle_of_Oxcross,Death,Death
Thermund,Red_Wedding,Death,Death
Harrion_Karstark,Battle_of_the_Whispering_Wood,Death,Death
Joyeuse_Frey,Red_Wedding,Death,Death
Lannister_spearman,Battle_of_the_Goldroad,Death,Death
Tion_Tarbeck,Siege_of_Tarbeck_Hall,Death,Death
Ellyn_Reyne,Siege_of_Tarbeck_Hall,Death,Death
Walderan_Tarbeck,Siege_of_Tarbeck_Hall,Death,Death
Raymun_Darry,Battle_at_the_Mummer%27s_Ford,Death,Death
Reynard_Reyne,Reyne_Rebellion,Death,Death
Roger_Reyne,Reyne_Rebellion,Death,Death
Night%27s_Queen,Fall_of_the_Night%27s_King,Death,Death
Jaremy_Mallister,Liberation_of_Harrenhal,Death,Death
Jaehaerys_Targaryen_(son_of_Aegon_II),Assassination_at_the_Red_Keep,Death,Death
Wun_Weg_Wun_Dar_Wun,Battle_of_the_Bastards,Death,Death
Styr,Battle_of_Castle_Black,Death,Death
Smalljon_Umber,Battle_of_the_Bastards,Death,Death
Dongo,Battle_of_Castle_Black,Death,Death
Thenn_warg,Battle_of_Castle_Black,Death,Death
Three-Eyed_Raven,Battle_at_the_Cave_of_the_Three-Eyed_Raven,Death,Death
Ormund_Baratheon,War_of_the_Ninepenny_Kings,Death,Death
Moro,Massacre_of_the_Khalar_vezhven,Death,Death
Moro%27s_bloodrider_2,Massacre_of_the_Khalar_vezhven,Death,Death
Cleon,Siege_of_Astapor,Death,Death
Hallis_Mollen,Fall_of_Winterfell,Death,Death
Damon_Morrigen,Trial_by_Seven_of_Maegor_Targaryen,Death,Death
White_Walker_(The_Door),Battle_at_the_Cave_of_the_Three-Eyed_Raven,Death,Death
Moro%27s_bloodrider_1,Massacre_of_the_Khalar_vezhven,Death,Death
Raymont_Baratheon,Faith_Militant_raid_on_the_Red_Keep,Death,Death
Craster,Mutiny_at_Craster%27s_Keep,Death,Death
