Source,Target,Relation,Label
Wun_Weg_Wun_Dar_Wun,Battle_of_the_Bastards,SeenOrMentioned,Last seen
Wun_Weg_Wun_Dar_Wun,Battle_of_the_Bastards,SeenOrMentioned,Death shown in episode
Smalljon_Umber,Battle_of_the_Bastards,SeenOrMentioned,Last seen
Smalljon_Umber,Battle_of_the_Bastards,SeenOrMentioned,Death shown in episode
Harald_Karstark,Battle_of_the_Bastards,SeenOrMentioned,Last seen
Mance_Rayder,Battle_of_the_Bastards,SeenOrMentioned,Mentioned in
Yezzan_zo_Qaggaz,Battle_of_the_Bastards,SeenOrMentioned,Last seen
Razdal_mo_Eraz,Battle_of_the_Bastards,SeenOrMentioned,Death shown in episode
Belicho_Paenymion,Battle_of_the_Bastards,SeenOrMentioned,Last seen
Belicho_Paenymion,Battle_of_the_Bastards,SeenOrMentioned,Death shown in episode
Captain_of_the_archers_(House_Bolton),Battle_of_the_Bastards,SeenOrMentioned,Appeared in
