Source,Target,Relation,Label
Baelish_(founder),House_Baelish_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Baelish_(hedge_knight),House_Baelish_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Elbert_Arryn,Mad_King_Aerys_(Complete_Guide_to_Westeros),SeenOrMentioned,Mentioned in
Lord_Baelish_(father_of_Petyr),House_Baelish_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Tion_Tarbeck,The_Rains_of_Castamere_(Histories_%26_Lore),SeenOrMentioned,Appeared in
Ellyn_Reyne,The_Rains_of_Castamere_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Alys_Harroway,The_Hand_of_the_King,SeenOrMentioned,Mentioned in
Grey_King,House_Greyjoy_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Danelle_Lothston,Harrenhal_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Tion_Lannister,The_Rains_of_Castamere_(Histories_%26_Lore),SeenOrMentioned,Season(s)
Tywald_Lannister,The_Rains_of_Castamere_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Gerold_Lannister,Casterly_Rock_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Bernarr_II_Justman,The_Kingsmoot_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Hugor_of_the_Hill,The_Seven-Pointed_Star_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Herndon_of_the_Horn,House_Tarly_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Qhorwyn_Hoare,The_Kingsmoot_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Artys_I_Arryn,House_Arryn_(Complete_Guide_to_Westeros),SeenOrMentioned,Mentioned in
Artys_I_Arryn,The_Vale_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Artys_I_Arryn,Knights_of_the_Vale_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Jeffory_Mallister,Mad_King_Aerys_(Complete_Guide_to_Westeros),SeenOrMentioned,Mentioned in
Jason_Mallister,Greyjoy_Rebellion_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Jaehaerys_Targaryen_(son_of_Aegon_II),The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Lyman_Beesbury,The_Kingsguard_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Orwyle,The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,First seen
Eustace,The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Appeared in
Dayne_(son_of_Davos),Dorne_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Rodrik_Flint,The_Lord_Commanders,SeenOrMentioned,Mentioned in
Knight_of_the_Laughing_Tree,House_Reed_(Histories_%26_Lore),SeenOrMentioned,First seen
Humfrey_Beesbury,Justice_of_the_Seven_Kingdoms,SeenOrMentioned,Mentioned in
Moro_(son_of_Mengo),The_Dothraki,SeenOrMentioned,Mentioned in
Benedict_Blackmont,Dorne_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Mazor_Alexi,The_Dothraki,SeenOrMentioned,Mentioned in
Nettles,The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Haro,The_Dothraki,SeenOrMentioned,Mentioned in
Gendel,The_Wall_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Zhako,The_Dothraki,SeenOrMentioned,Mentioned in
Loso,The_Dothraki,SeenOrMentioned,Mentioned in
Qano,The_Dothraki,SeenOrMentioned,Mentioned in
Corlys_Velaryon,The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,First seen
Blood_(Former_Gold_Cloak),The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Cheese,The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Gorne,The_Wall_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Harlan_Hoare,The_Kingsmoot_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Aemond_Targaryen,Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Aemond_Targaryen,The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Maelys_Blackfyre,The_Death_of_Kings,SeenOrMentioned,Mentioned in
Kyle_Royce,Mad_King_Aerys_(Complete_Guide_to_Westeros),SeenOrMentioned,Mentioned in
Bethany_Redwyne,House_Tully_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Ryam_Redwyne,The_Hand_of_the_King,SeenOrMentioned,Mentioned in
Rhaenys_Targaryen_(Queen_Who_Never_Was),The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Alicent_Hightower,The_Kingsguard_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Alicent_Hightower,The_Dance_of_Dragons_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Leyton_Hightower,The_Reach_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Harwyn_Hoare,The_Kingsmoot_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Harlon_the_Hunter,House_Tarly_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Griffin_King,House_Arryn_(Complete_Guide_to_Westeros),SeenOrMentioned,Mentioned in
Griffin_King,The_Vale_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Elenei,The_Stormlands_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Nissa_Nissa,The_Lord_of_Light_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Tanselle,The_Kingsguard_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Arson_Iceaxe,The_Wall_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Vickon_Greyjoy,House_Greyjoy_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
Vickon_Greyjoy,The_Kingsmoot_(Histories_%26_Lore),SeenOrMentioned,Mentioned in
