Source,Target,Relation,Label
Qyburn,House_Lannister,Allegiance,Allegiance
Qyburn,House_Baratheon_of_King%27s_Landing,Allegiance,Allegiance
Qyburn,House_Bolton,Allegiance,Allegiance
Margaery_Tyrell,House_Tyrell,Allegiance,Allegiance
Margaery_Tyrell,House_Baratheon_of_King%27s_Landing,Allegiance,Allegiance
Tyene_Sand,House_Martell,Allegiance,Allegiance
Brandon_Stark_(son_of_Rickard),House_Stark,Allegiance,Allegiance
Elaena_Glenmore,House_Glenmore,Allegiance,Allegiance
Elaena_Glenmore,House_Forrester,Allegiance,Allegiance
Gryff_Whitehill,House_Whitehill,Allegiance,Allegiance
Ryon_Forrester,House_Forrester,Allegiance,Allegiance
Biter,House_Lannister,Allegiance,Allegiance
Rorge,House_Lannister,Allegiance,Allegiance
Ludd_Whitehill,House_Whitehill,Allegiance,Allegiance
Polliver,House_Lannister,Allegiance,Allegiance
Willem_Lannister,House_Lannister,Allegiance,Allegiance
Martyn_Lannister,House_Lannister,Allegiance,Allegiance
Alton_Lannister,House_Lannister,Allegiance,Allegiance
Stafford_Lannister,House_Lannister,Allegiance,Allegiance
Joanna_Lannister,House_Lannister,Allegiance,Allegiance
Gared%27s_sister,House_Forrester,Allegiance,Allegiance
Gared%27s_father,House_Forrester,Allegiance,Allegiance
Thermund,House_Forrester,Allegiance,Allegiance
Norren,House_Forrester,Allegiance,Allegiance
Mord,House_Arryn,Allegiance,Allegiance
Lothor_Brune,House_Brune,Allegiance,Allegiance
Lothor_Brune,House_Baelish,Allegiance,Allegiance
Willem_Frey,House_Frey,Allegiance,Allegiance
Robett_Glover,House_Glover,Allegiance,Allegiance
Robett_Glover,House_Stark,Allegiance,Allegiance
Robett_Glover,House_Bolton,Allegiance,Allegiance
Harrion_Karstark,House_Karstark,Allegiance,Allegiance
Harrion_Karstark,House_Stark,Allegiance,Allegiance
Baratheon_(son_of_Robert),House_Baratheon_of_King%27s_Landing,Allegiance,Allegiance
The_Tickler,House_Clegane,Allegiance,Allegiance
Weasel,House_Lannister,Allegiance,Allegiance
Weasel,House_Clegane,Allegiance,Allegiance
Baelish_(founder),House_Baelish,Allegiance,Allegiance
Baelish_(hedge_knight),House_Baelish,Allegiance,Allegiance
Dontos_Hollard,House_Hollard,Allegiance,Allegiance
Tourney_Herald,House_Baratheon_of_King%27s_Landing,Allegiance,Allegiance
Elbert_Arryn,House_Arryn,Allegiance,Allegiance
Hugh,House_Arryn,Allegiance,Allegiance
Lord_Baelish_(father_of_Petyr),House_Baelish,Allegiance,Allegiance
Ryger_Rivers,House_Frey,Allegiance,Allegiance
Talbot,House_Frey,Allegiance,Allegiance
Waldron_Frey,House_Frey,Allegiance,Allegiance
Malcolm,House_Frey,Allegiance,Allegiance
Joyeuse_Frey,House_Frey,Allegiance,Allegiance
Joyeuse_Frey,House_Erenford,Allegiance,Allegiance
Tully_(son_of_Edmure),House_Tully,Allegiance,Allegiance
Kitty_Frey,House_Frey,Allegiance,Allegiance
Frey_soldier_1,House_Frey,Allegiance,Allegiance
Lannister_messenger,House_Lannister,Allegiance,Allegiance
Lannister_scout,House_Lannister,Allegiance,Allegiance
Lannister_spearman,House_Lannister,Allegiance,Allegiance
Lannister_soldier_3_(Dragonstone),House_Lannister,Allegiance,Allegiance
Lannister_soldier_1_(Dragonstone),House_Lannister,Allegiance,Allegiance
Lannister_soldier_(No_One),House_Lannister,Allegiance,Allegiance
Lannister_captain_(Home),House_Lannister,Allegiance,Allegiance
Melara_Hetherspoon,House_Hetherspoon,Allegiance,Allegiance
Tion_Tarbeck,House_Tarbeck,Allegiance,Allegiance
Tion_Tarbeck,House_Reyne,Allegiance,Allegiance
Tion_Tarbeck,House_Lannister,Allegiance,Allegiance
Ellyn_Reyne,House_Reyne,Allegiance,Allegiance
Ellyn_Reyne,House_Tarbeck,Allegiance,Allegiance
Ellyn_Reyne,House_Lannister,Allegiance,Allegiance
Walderan_Tarbeck,House_Tarbeck,Allegiance,Allegiance
Walderan_Tarbeck,House_Reyne,Allegiance,Allegiance
Walderan_Tarbeck,House_Lannister,Allegiance,Allegiance
Knight_of_House_Frey,House_Frey,Allegiance,Allegiance
Lannister_guard_2,House_Lannister,Allegiance,Allegiance
Lannister_soldier_2_(The_Dragon_and_the_Wolf),House_Lannister,Allegiance,Allegiance
Alys_Harroway,House_Harroway,Allegiance,Allegiance
Alys_Harroway,House_Targaryen,Allegiance,Allegiance
Qhored_Hoare,House_Hoare,Allegiance,Allegiance
Grey_King,House_Greyjoy,Allegiance,Allegiance
Raymun_Darry,House_Darry,Allegiance,Allegiance
Danelle_Lothston,House_Lothston,Allegiance,Allegiance
Tion_Lannister,House_Lannister,Allegiance,Allegiance
Tywald_Lannister,House_Lannister,Allegiance,Allegiance
Reynard_Reyne,House_Reyne,Allegiance,Allegiance
