Source,Target,Relation,Label
Thermund,House_Frey,Death,Death
Bowen,House_Frey,Death,Death
Gregor_Forrester,House_Frey,Death,Death
Brynden_Tully,House_Lannister,Death,Death
Brynden_Tully,House_Frey,Death,Death
Royland_Degore,House_Whitehill,Death,Death
Asher_Forrester,House_Whitehill,Death,Death
Duncan_Tuttle,House_Whitehill,Death,Death
Rodrik_Forrester,House_Whitehill,Death,Death
Heward,House_Lannister,Death,Death
Wyl_(House_Stark),House_Lannister,Death,Death
Aemon_Targaryen_(Dragonknight),House_Toyne,Death,Death
Robb_Stark,House_Frey,Death,Death
Ghita,House_of_Black_and_White,Death,Death
Ghita,House_of_Black_and_White,Death,Death
Despondent_man,House_of_Black_and_White,Death,Death
Despondent_man,House_of_Black_and_White,Death,Death
