Source,Target,Relation,Label
Volarik,Casterly_Rock,Allegiance,Allegiance
Citadel_maester_(The_Winds_of_Winter),The_Citadel,Allegiance,Allegiance
Malleon,The_Citadel,Allegiance,Allegiance
Archmaester_(Eastwatch),The_Citadel,Allegiance,Allegiance
Uthero_Zalyne,Braavos,Allegiance,Allegiance
Gold_Cloak_on_the_Kingsroad,King%27s_Landing,Allegiance,Allegiance
Pylos,The_Citadel,Allegiance,Allegiance
Ebrose,The_Citadel,Allegiance,Allegiance
Sandhu,The_Citadel,Allegiance,Allegiance
Oberyn_Martell,The_Citadel,Allegiance,Allegiance
Belicho_Paenymion,Volantis,Allegiance,Allegiance
Kinvara,Volantis,Allegiance,Allegiance
